"V1","V2"
"IL13","IL23R"
"IL21","IL23R"
"IL21","IL13"
"IL2","IL23R"
"IL2","IL13"
"ITGAX","TLR8"
"ITGAX","IL13"
"ITGAX","IL2"
"IL4","IL23R"
"IL4","IL13"
"IL4","IL21"
"IL4","IL2"
"IL4","ITGAX"
"TRIM22","SAMD9L"
"TYK2","IL26"
"TYK2","IL23R"
"TYK2","IL13"
"TYK2","IFNB1"
"TYK2","SOCS4"
"TYK2","IL27"
"TYK2","IL4"
"IDO1","IL2"
"IDO1","IL4"
"IL9","IL23R"
"IL9","IL13"
"IL9","IL2"
"IL9","IL4"
"SOCS5","IL4"
"SOCS5","TYK2"
"GBP5","TRIM22"
"IL17A","IL23R"
"IL17A","IL13"
"IL17A","IL21"
"IL17A","IL2"
"IL17A","IFNB1"
"IL17A","ITGAX"
"IL17A","IL4"
"IL17A","IL9"
"CSF2RA","IL2"
"CSF2RA","IL4"
"STAT4","IL23R"
"STAT4","IL21"
"STAT4","IL27"
"STAT4","IL4"
"STAT4","TYK2"
"IL10RB","IL26"
"IL10RB","IL13"
"IL10RB","IL2"
"IL10RB","IFNB1"
"IL10RB","IL4"
"IL10RB","TYK2"
"IL10RB","IL9"
"IL10RB","STAT4"
"MAML2","MAMLD1"
"FCER2","IL13"
"FCER2","MAMLD1"
"FCER2","MAML2"
"SOCS7","TYK2"
"IFI44","SAMD9L"
"IFI44","IFI6"
"IFI44","TRIM22"
"USP18","USP41"
"USP18","IFI6"
"USP18","IFI44"
"IFNGR2","IL13"
"IFNGR2","IL2"
"IFNGR2","IFNB1"
"IFNGR2","IL4"
"IFNGR2","TYK2"
"OAS2","SAMD9L"
"OAS2","IFI6"
"OAS2","TRIM22"
"OAS2","GBP5"
"OAS2","IFI44"
"OAS2","USP18"
"IL27RA","IL13"
"IL27RA","IL2"
"IL27RA","IL27"
"IL27RA","IL4"
"IL27RA","TYK2"
"IL27RA","STAT4"
"IL6","TLR8"
"IL6","THPO"
"IL6","IL23R"
"IL6","IL13"
"IL6","IL21"
"IL6","IL2"
"IL6","IFNB1"
"IL6","ITGAX"
"IL6","SOCS4"
"IL6","IL27"
"IL6","IL4"
"IL6","TYK2"
"IL6","IDO1"
"IL6","IL9"
"IL6","IL17A"
"IL6","CSF2RA"
"IL6","STAT4"
"IL6","IL10RB"
"IL6","SOCS7"
"IL6","IFNGR2"
"IL6","IL27RA"
"IL12B","IL23R"
"IL12B","IL13"
"IL12B","IL4"
"IL12B","TYK2"
"IL12B","STAT4"
"IL12B","IFNGR2"
"IL22","IL26"
"IL22","IL23R"
"IL22","IL4"
"IL22","TYK2"
"IL22","IL17A"
"IL22","IL10RB"
"IL22","IL27RA"
"IL22","IL6"
"IFNLR1","IFNB1"
"IFNLR1","TYK2"
"IFNLR1","STAT4"
"IFNLR1","IL10RB"
"CXCL10","TLR8"
"CXCL10","IL13"
"CXCL10","IL2"
"CXCL10","IFNB1"
"CXCL10","IL4"
"CXCL10","IDO1"
"CXCL10","IL9"
"CXCL10","GBP5"
"CXCL10","IL17A"
"CXCL10","OAS2"
"CXCL10","IL6"
"EBI3","IL27"
"EBI3","TYK2"
"EBI3","STAT4"
"EBI3","IL27RA"
"CXCL12","IL17A"
"CXCL12","IL6"
"CXCL12","CXCL10"
"IL22RA1","IL13"
"IL22RA1","IL2"
"IL22RA1","IL4"
"IL22RA1","TYK2"
"IL22RA1","IL9"
"IL22RA1","IL10RB"
"IL22RA1","IL6"
"IL22RA1","IL22"
"IFNL1","IL26"
"IFNL1","TLR8"
"IFNL1","IFNB1"
"IFNL1","TYK2"
"IFNL1","STAT4"
"IFNL1","IL10RB"
"IFNL1","IFNGR2"
"IFNL1","IFNLR1"
"IFNL1","IL22RA1"
"OAS1","SAMD9L"
"OAS1","IFI6"
"OAS1","TRIM22"
"OAS1","GBP5"
"OAS1","IFI44"
"OAS1","USP18"
"OAS1","OAS2"
"OAS1","CXCL10"
"SIRPA","ITGAX"
"IFNG","IL23R"
"IFNG","IL13"
