source,target
RPA2,TOP2A
RPA2,CASP8
RPA2,HRAS
RPA2,EGLN3
RPA2,UBE2L6
RPA2,KIF11
RPA2,TP53
RPA2,RNF114
RPA2,CCDC53
APP,UBQLN2
APP,PTCD3
APP,MYH9
APP,S1PR4
APP,UBE2L6
APP,POU5F1
APP,TERT
APP,CUL3
APP,ELAVL2
APP,IL1B
APP,ANXA1
APP,HSPA8
APP,EXOSC9
APP,EZH2
APP,DNALI1
APP,IFI16
APP,RBPMS
APP,FFAR1
APP,DNMT1
APP,VTI1B
APP,FBXL14
APP,HRAS
APP,PPP2R5B
APP,GNB3
APP,TAF1B
APP,CASP8
APP,HSP90B1
APP,GNL3
APP,APP
APP,RAMP1
APP,MRPL38
APP,HIST1H2BD
APP,SRSF3
APP,CFDP1
APP,EGLN3
APP,SPOPL
APP,MRPS7
APP,SKP1
APP,LPL
APP,TP73
APP,KLHL14
APP,SRP54
APP,NRAS
APP,GCC1
APP,HSPE1
APP,RSL24D1
APP,KCTD19
APP,ACO2
APP,NF2
APP,MYLIP
APP,HAUS1
APP,LARP7
APP,TIMM17A
APP,SRC
APP,NXF1
APP,EGF
APP,FN1
APP,RECQL4
APP,PAN2
APP,CCNE2
EP300,SMC3
EP300,EZH2
EP300,PHB
EP300,WIPF3
EP300,HSPB1
EP300,FOXK1
EP300,XIAP
EP300,APP
EP300,LARP7
EP300,NXF1
EP300,MYH9
EP300,DCPS
EP300,TP53
EP300,RNF114
EP300,TGFB1
EP300,SKP1
EP300,PPP1CC
EP300,KIF11
MSH2,GNB3
MSH2,MRPS7
MSH2,GNB5
MSH2,PAN2
MSH2,CUL3
MSH2,DHX16
YWHAZ,LARP7
YWHAZ,UBQLN2
YWHAZ,KDM4B
YWHAZ,RPLP2
COL1A1,PLK4
COL1A1,COL1A1
COL1A1,TOM1
COL1A1,TGFB1
COL1A1,PPP1CC
CCNB1,YWHAZ
CCNB1,TP53
CCNB1,MSH2
CCNB1,DCPS
CCNB1,TAS2R4
CCNB1,TAF1B
CCNB1,NPSR1
CCNB1,SRP54
CCNB1,CASP8
CCNB1,XRCC1
FGFR1,RPL7
FGFR1,RASSF1
FGFR1,S1PR4
FGFR1,AXIN1
FGFR1,ANXA1
FGFR1,APP
FGFR1,FRS3
FGFR1,GATA1
FGFR1,DNALI1
FGFR1,UBQLN2
TGFB1,EGF
TGFB1,TAS2R43
TGFB1,HSPA8
TGFB1,GLMN
TGFB1,RECQL4
TGFB1,FN1
TGFB1,UBE2L6
TGFB1,TEK
TGFB1,UBQLN2
TGFB1,MTOR
FRS3,FBXL14
FRS3,FRS3
FRS3,GNRHR
FRS3,POLR2E
SFN,VTI1B
SFN,EZH2
SFN,SRC
P4HA2,HSPA8
P4HA2,SRSF3
P4HA2,SENP3
P4HA2,FN1
P4HA2,CCAR2
HYPK,CUL3
NRAS,TP53
NRAS,RNF114
NRAS,HSPA8
NRAS,CUL3
NRAS,TRIM27
NRAS,CCNB1
NRAS,PPP2R5B
NRAS,SRP54
NRAS,MRPL14
NRAS,SFN
NRAS,RPL4
NRAS,ATP5B
NRAS,XCL2
GLMN,CDK9
GLMN,TAS2R4
GLMN,CASP8
GLMN,TRIM27
GLMN,FN1
GLMN,RPS15A
GLMN,APEX1
EZH2,REEP6
EZH2,TAS2R4
EZH2,ITGA5
EZH2,MEX3C
EZH2,GNB5
EZH2,MRPL14
EZH2,LARP7
EZH2,RECQL4
EZH2,YWHAZ
EZH2,ELAVL2
EZH2,TAS2R43
EZH2,PRMT6
EZH2,POLR2E
EZH2,PHB
EZH2,PFAS
EZH2,TIMM17A
EZH2,HECTD3
EZH2,SENP3
EZH2,DNA2
EZH2,MRPL22
EZH2,MYH9
EZH2,CDC25B
EZH2,SNAI1
DLG1,TGFB1
TMF1,RNF114
TMF1,RPL7
THOC1,EGLN3
THOC1,YWHAZ
THOC1,XCL2
THOC1,MYL6B
THOC1,POU5F1
THOC1,SNAI1
RPLP2,TAS2R43
RPLP2,ATP5B
RPLP2,PLK4
RPLP2,SMARCE1
RPLP2,TP53
RPLP2,CDH1
RPLP2,ADAM10
HRAS,ARMC8
HRAS,EP300
HRAS,GLMN
HRAS,KIF11
HRAS,PLK4
HRAS,KRR1
HRAS,POLR2E
HRAS,CLASP2
HRAS,FFAR1
HRAS,EZH2
HRAS,EGF
HRAS,RPL26L1
HRAS,C3AR1
HRAS,TP53
HRAS,GNB3
HRAS,RPS15A
HRAS,CASP8
HRAS,CDH1
SRC,TMED7
SRC,LARP7
SRC,KIF3B
SRC,FN1
SRC,CCNK
SRC,TAF1B
SRC,NXF1
SRC,CASP8
SRC,UBQLN2
SRC,TP53
SRC,RECQL4
SRC,IFIT1
TNNC1,CASP8
TP53,CASP8
TP53,TP53
TP53,UBE2L6
TP53,SMARCE1
TP53,TRIM27
TP53,APEX1
TP53,S1PR4
TP53,MTOR
TP53,XRCC1
TP53,SMC3
TP53,TAF1B
TP53,SKP1
TP53,TGFB1
TP53,HYPK
TP53,GNB3
TP53,SRSF3
TP53,TEX10
TP53,HAUS1
TP53,PCYOX1
TP53,ELAVL2
CDH1,APEX1
CDH1,KIF11
CDH1,GNB3
CDH1,MTF1
CDH1,GLI1
CDH1,CKAP5
CDH1,UBE2L6
CDH1,SRP9
CDH1,EP300
CDH1,APP
CDH1,CASP8
CDH1,FBXO2
CDH1,SKP1
CDH1,KCTD19
CDH1,EZH2
CDH1,PCYOX1
CDH1,LARP7
CDH1,POLR2E
CDH1,RECQL4
CDH1,NXF1
CDH1,B3GNT2
CDH1,SNAP23
CDH1,MYL6B
CDH1,MRPS7
CDH1,FFAR1
GATA1,POLR2E
GATA1,FN1
GATA1,EZH2
GATA1,CKAP5
GATA1,CASP8
GATA1,PSME2
GATA1,MYLIP
XRCC1,XRCC1
UBQLN2,NXF1
UBQLN2,IKBKG
UBQLN2,SKP1
UBQLN2,ELAVL2
MTOR,IL1B
MTOR,TAS2R4
MTOR,PPP1CC
MTOR,MRPL14
MTOR,NRAS
MTOR,HSPB1
MTOR,UBQLN2
MTOR,C3AR1
MTOR,FBXO2
SKP1,USP21
SKP1,SNAI1
SKP1,RPS21
SKP1,NF2
SKP1,CD59
SKP1,S1PR4
SKP1,SNAP23
HSPA8,MTOR
HSPA8,FBXL14
HSPA8,MCM4
HSPA8,XIAP
HSPA8,EP300
HSPA8,VTI1B
HSPA8,TP53
HSPA8,ANXA1
HSPA8,XRCC1
HSPA8,RPLP2
HSPA8,XCL2
HSPA8,PFKP
HSPA8,HSPE1
HSPA8,PPP1CC
HSPA8,SYNJ2
HSPA8,ARMC8
SNAP23,NXF1
SNAP23,RPLP2
SNAP23,COL1A1
TOM1,LPL
TOM1,PRMT6
TOM1,RPS21
TOM1,RPL7
TOM1,RSL24D1
RASSF1,MCM4
RASSF1,CDH1
RASSF1,TAB1
HSPB1,ENPP3
HSPB1,VTI1B
HSPB1,RECQL4
HSPB1,SRP9
HSPB1,FBXO22
HSPB1,HSPB1
HSPB1,PLK4
HSPB1,NXF1
HSPB1,FN1
HSPB1,APP
MCM4,OTC
MCM4,TP53
MCM4,HSPB1
MCM4,MIPOL1
MCM4,CCNE2
MCM4,POLR2E
MCM4,SRC
MCM4,SNAI1
CUL3,NF2
CUL3,LARP7
CUL3,PHB
CUL3,RPL26L1
CUL3,HRAS
CUL3,BBS12
CUL3,YWHAZ
CUL3,SNX1
