"V1","V2"
"RAD23A","ubiquitin-specific protease binding"
"RAD23A","proteasome binding"
"RAD23A","positive regulation of cell cycle"
"RAD23A","positive regulation of viral genome replication"
"RAD23A","intracellular membrane-bounded organelle"
"RAD23A","proteasome-mediated ubiquitin-dependent protein catabolic process"
"RAD23A","ubiquitin binding"
"RAD23A","host cell nucleus"
"RAD23A","centriolar satellite"
"RAD23A","protein-containing complex"
"RAD23A","positive regulation of proteasomal ubiquitin-dependent protein catabolic process"
"RAD23A","regulation of proteasomal ubiquitin-dependent protein catabolic process"
"RAD23A","protein destabilization"
"RAD23A","polyubiquitin modification-dependent protein binding"
"RAD23A","kinase binding"
"RAD23A","protein deubiquitination"
"RAD23A","viral process"
"RAD23A","nucleotide-excision repair"
"RAD23A","cytosol"
"RAD23A","cytoplasm"
"RAD23A","nucleoplasm"
"RAD23A","nucleus"
"RAD23A","protein binding"
"RAD23A","single-stranded DNA binding"
"RAD23A","damaged DNA binding"
"RAD23A","proteasome complex"
"PPP2R5D","protein phosphatase activator activity"
"PPP2R5D","regulation of phosphoprotein phosphatase activity"
"PPP2R5D","positive regulation of protein dephosphorylation"
"PPP2R5D","regulation of protein autophosphorylation"
"PPP2R5D","protein phosphatase regulator activity"
"PPP2R5D","negative regulation of peptidyl-threonine phosphorylation"
"PPP2R5D","nervous system development"
"PPP2R5D","signal transduction"
"PPP2R5D","protein dephosphorylation"
"PPP2R5D","cytosol"
"PPP2R5D","nucleoplasm"
"PPP2R5D","nucleus"
"PPP2R5D","protein binding"
"PPP2R5D","phosphoprotein phosphatase activity"
"PPP2R5D","protein phosphatase type 2A complex"
"PPP2R5C","protein phosphatase activator activity"
"PPP2R5C","negative regulation of protein kinase B signaling"
"PPP2R5C","regulation of phosphoprotein phosphatase activity"
"PPP2R5C","proteasome-mediated ubiquitin-dependent protein catabolic process"
"PPP2R5C","regulation of protein autophosphorylation"
"PPP2R5C","protein phosphatase regulator activity"
"PPP2R5C","regulation of phosphatidylinositol 3-kinase signaling"
