source,target
RPA2,TUBA4A
RPA2,SPTBN1
RPA2,SNAI1
RPA2,SPTAN1
RPA2,TPM2
RPA2,TERF2
RPA2,RPA3
RPA2,TMPO
RPA2,YAP1
RPA2,USP7
RPA2,TP53
RPA2,XRCC6
RPA2,UBQLN2
RPA2,ZNF598
RPA2,UBE2M
RPA2,TARDBP
RPA2,WDR76
RPA2,TRIM25
RPA2,USP1
RPA2,YWHAZ
APOB,MYH9
APOB,EGFR
APOB,APOB
APOB,HSPA5
APOB,TMPO
APOB,SYVN1
APOB,CFTR
APOB,LGALS1
APOB,ARPC3
APOB,ITGAM
APOB,CBL
APOB,PIK3C2A
APOB,CLTA
APOB,CSF1
APOB,ARPC4
APOB,APOL1
APOB,CD3G
APOB,PICALM
APOB,HP
APOB,FCHO2
APOB,FN1
APOB,HIP1R
APOB,UBQLN2
APOB,ARPC5
APOB,DAB2
APOB,EPS15
APOB,ARPC1A
APOB,ARPC2
APOB,PPP2CA
APOB,STAB1
APOB,CLTC
APOB,MEN1
APOB,STON2
APOB,IL6
APOB,HIP1
APOB,PACSIN3
APOB,ARRB2
APOB,ARRB1
APOB,CLTB
APOB,CTTN
ARRB2,NAP1L1
ARRB2,CAPZA2
ARRB2,SPTBN1
ARRB2,CFL1
ARRB2,MYH10
ARRB2,RPL22
ARRB2,MYH9
ARRB2,CTTN
ARRB2,HNRNPA1
ARRB2,SPTAN1
ARRB2,PPIA
ARRB2,RPA1
ARRB2,CLTC
ARRB2,HDAC2
ARRB2,CLTB
ARRB2,TUBA4A
ARRB2,PES1
ARRB2,RAD18
ARRB2,HSP90AB1
ARRB2,PPP1R12A
ARRB2,TMPO
ARRB2,CDC42
ARRB2,HSPA5
ARRB2,HNRNPU
ARRB2,PIK3C2A
ARRB2,FLNB
ARRB2,PPP2R4
ARRB2,CAPZA1
ARRB2,YWHAQ
ARRB2,FLNA
ARRB2,CLTA
ARRB2,XRCC6
ARRB2,EFTUD2
ARRB2,MYO1C
ARRB2,EGFR
ARRB2,CSNK2A1
ARRB2,EIF4B
ARRB2,MYC
ARRB2,TMOD3
ARRB2,MYL6
ARRB2,GSN
ARRB2,BOP1
ARRB2,DBN1
ARRB2,S100A9
ARRB2,LIMA1
ARRB2,CFTR
ARRB2,HIP1R
ARRB2,KRAS
ARRB2,RAB11A
ARRB2,CBL
ARRB2,IQGAP1
ARRB2,CCR5
ARRB2,DAB2
ARRB2,HIP1
ARRB2,UBQLN2
ARRB2,FYN
ARRB2,FN1
ARRB2,RAC1
ARRB2,EPS15
ARRB2,GRK5
ARRB2,PICALM
ARRB2,MPRIP
ARRB2,FCHO2
ARRB2,PPP2CA
ARRB2,CD3G
ARRB2,LYN
ARRB2,STON2
ARRB2,PACSIN3
CSF1R,PAN2
CSF1R,LYN
CSF1R,GRB2
CSF1R,PIK3R2
CSF1R,YES1
CSF1R,FYN
CSF1R,SHC1
CSF1R,KIAA1429
CSF1R,HSP90AA1
CSF1R,CSF1R
CSF1R,TYROBP
CSF1R,FCGR2A
CSF1R,ITGAM
CSF1R,MS4A6A
CSF1R,IL10
CSF1R,VCAM1
CSF1R,ITGAX
CSF1R,LILRB2
CSF1R,MRC1
CSF1R,VSIG4
CSF1R,FCGR1A
GRB2,VCAM1
GRB2,PLEC
GRB2,MYH9
GRB2,PAK1
GRB2,MYL12A
GRB2,LNX1
GRB2,HSPA5
GRB2,HNRNPU
GRB2,ITGA4
GRB2,MYL12B
GRB2,NTRK1
GRB2,HP
GRB2,LZTS2
GRB2,HSP90AA1
GRB2,PPP1CA
GRB2,PIK3R2
GRB2,HSP90AB1
GRB2,KRAS
GRB2,IQGAP1
GRB2,PIH1D1
GRB2,SPTBN1
GRB2,S100A9
GRB2,TRIM25
GRB2,WDR1
GRB2,UBASH3B
GRB2,GRB2
GRB2,SHC1
GRB2,YWHAQ
GRB2,MYO18A
GRB2,PPP1CC
GRB2,MCM2
GRB2,MYH11
GRB2,YWHAZ
GRB2,RAC1
GRB2,LYN
GRB2,RHOA
GRB2,IL6
GRB2,YES1
BRCA1,NAP1L1
BRCA1,RPTOR
BRCA1,TP63
BRCA1,PEX5
BRCA1,SP1
BRCA1,TP53
BRCA1,MYH10
BRCA1,CDC5L
BRCA1,PPP1CA
BRCA1,TARDBP
BRCA1,HNRNPU
BRCA1,PPP1R9B
BRCA1,JUP
BRCA1,SPTAN1
BRCA1,SEPT7
BRCA1,MYL12A
BRCA1,CDK9
BRCA1,TCEA2
BRCA1,TPM3
BRCA1,TERF2
BRCA1,H2AFY
BRCA1,IQGAP1
BRCA1,YWHAZ
BRCA1,CDK2
BRCA1,HSP90AA1
BRCA1,PPP1CC
BRCA1,EIF3A
BRCA1,CSNK2A1
BRCA1,RPA1
BRCA1,MCM5
BRCA1,MCM2
BRCA1,FLII
BRCA1,CREBBP
BRCA1,HDAC2
BRCA1,HSP90AB1
BRCA1,TTN
BRCA1,CTNNB1
BRCA1,HUWE1
BRCA1,FLNB
BRCA1,MYC
BRCA1,SEC16A
BRCA1,SPTBN1
BRCA1,PSME3
BRCA1,PALLD
BRCA1,PPP2CA
BRCA1,PPP1CB
BRCA1,TPM1
BRCA1,BRCA1
BRCA1,HSPA5
BRCA1,PLEC
BRCA1,USP7
BRCA1,TUBA4A
BRCA1,ESR2
BRCA1,NCOA3
BRCA1,CAPZB
BRCA1,CAPZA1
BRCA1,TRIM25
BRCA1,HIST1H4A
BRCA1,CSNK2B
BRCA1,EFTUD2
BRCA1,SSFA2
BRCA1,YWHAQ
BRCA1,UBE2I
BRCA1,FLNA
BRCA1,SSB
BRCA1,XRCC6
BRCA1,TERF1
BRCA1,MYH9
BRCA1,RAD18
BRCA1,ESR1
BRCA1,UBE3A
BRCA1,MYH14
BRCA1,LUZP1
BRCA1,EED
BRCA1,RPA2
BRCA1,MSN
BRCA1,RPA3
BRCA1,CLTC
BRCA1,HNRNPA1
BRCA1,CDH1
BRCA1,MARK4
BRCA1,VCAM1
TTN,YWHAQ
CTNNB1,LRRFIP2
CTNNB1,MEN1
CTNNB1,PTMA
CTNNB1,TRAF4
CTNNB1,YWHAQ
CTNNB1,HSP90AB1
CTNNB1,MYO1B
CTNNB1,DDX39B
CTNNB1,HDAC6
CTNNB1,SVIL
CTNNB1,ESR1
CTNNB1,YWHAZ
CTNNB1,HSP90AA1
CTNNB1,MYH10
CTNNB1,YAP1
CTNNB1,RXRA
CTNNB1,EMD
CTNNB1,HDAC2
CTNNB1,XRCC6
CTNNB1,MSN
CTNNB1,TMPO
CTNNB1,HUWE1
CTNNB1,TMOD3
CTNNB1,PPP1R12A
CTNNB1,HSPA5
CTNNB1,MYC
CTNNB1,MCM5
CTNNB1,IQGAP1
CTNNB1,SPECC1L
CTNNB1,SP1
CTNNB1,PPP1CB
CTNNB1,UACA
CTNNB1,ISG15
CTNNB1,PPP2R4
CTNNB1,RAB11A
CTNNB1,FLII
CTNNB1,USP7
CTNNB1,SEC16A
CTNNB1,LIMCH1
CTNNB1,UBE3A
CTNNB1,FYN
CTNNB1,HIST1H4A
CTNNB1,MYL12B
CTNNB1,LZTS2
CTNNB1,EGFR
CTNNB1,JUP
CTNNB1,SPECC1
CTNNB1,CUL1
CTNNB1,RAC1
CTNNB1,KIAA1429
CTNNB1,MCM2
CTNNB1,RPA1
CTNNB1,NTRK1
CTNNB1,KRAS
CTNNB1,TARDBP
CTNNB1,NEK2
CTNNB1,CYLD
CTNNB1,MPRIP
CTNNB1,IMMT
CTNNB1,HNRNPA1
CTNNB1,HSPA1A
CTNNB1,PAN2
CTNNB1,EFTUD2
CTNNB1,TPM3
CTNNB1,MYO5B
CTNNB1,TRIM25
CTNNB1,PPP1R12B
CTNNB1,RPA2
CTNNB1,TPM1
CTNNB1,MYL6
CTNNB1,LMO7
CTNNB1,HNRNPU
CTNNB1,ESR2
CTNNB1,RAD18
CTNNB1,EIF4A3
CTNNB1,SIPA1L3
CTNNB1,MYH9
CTNNB1,MYH14
CTNNB1,MYO1C
CTNNB1,PSMA3
CTNNB1,SNAI1
CTNNB1,EXOC4
CTNNB1,TP53
CTNNB1,PAK1
CTNNB1,PSME3
CTNNB1,PAK2
CTNNB1,MYO6
CTNNB1,LIMA1
CTNNB1,PAK3
CTNNB1,FN1
CTNNB1,RHOA
CTNNB1,PSMB10
CTNNB1,PPP2CA
CTNNB1,EXOC3
CTNNB1,PIP5K1A
CTNNB1,CTTN
MCM2,RPL22
MCM2,MSN
MCM2,RPA2
MCM2,MYH8
MCM2,MYL12A
MCM2,MYH6
MCM2,TUBA4A
MCM2,PALLD
MCM2,MYH1
MCM2,PHB
MCM2,MYH9
MCM2,TPM3
MCM2,MYC
MCM2,MCM5
MCM2,RPA1
MCM2,SEC16A
MCM2,VCAM1
MCM2,MYL9
MCM2,PICALM
