source,target
RPA2,RPS20
RPA2,GRM6
RPA2,PTPRU
RPA2,DIP2A
RPA2,PPAN
RPA2,PABPN1
RPA2,MTA2
RPA2,CD79A
RPA2,PTGES3
RPA2,TOP2A
RPA2,PIH1D1
RPA2,DNTTIP2
RPA2,KCTD3
RPA2,HCAR3
RPA2,DENND5B
RPA2,RPS8
RPA2,ATPAF2
RPA2,PCNA
RPA2,UBE2M
RPA2,HIST1H4K
RPA2,MYO1B
RPA2,TRIM21
RPA2,TACR1
RPA2,HRAS
RPA2,MYC
RPA2,TUBA1A
RPA2,ASB5
RPA2,NLGN3
RPA2,CYLD
RPA2,TNF
RPA2,TOP2B
RPA2,PDIA3
RPA2,SYNCRIP
RPA2,UBE2E1
RPA2,AKT3
RPA2,TRIM25
RPA2,FLOT1
RPA2,NUP107
RPA2,CXCR6
RPA2,ATP6V1F
RPA2,RARB
RPA2,EGLN3
RPA2,ANAPC7
RPA2,ESR2
RPA2,UBE2L6
RPA2,PSMC2
RPA2,DVL2
RPA2,PCBP1
RPA2,CMC4
RPA2,TTC1
RPA2,FBXL16
RPA2,SUMO2
RPA2,DYNC1I2
RPA2,TUBB3
RPA2,TYK2
RPA2,UBC
RPA2,KIF11
RPA2,RNF123
RPA2,RNPS1
RPA2,VAMP2
RPA2,TP53
RPA2,MRM1
RPA2,UBE2C
RPA2,CDC20
RPA2,WDR36
RPA2,TAS1R1
RPA2,DAPK1
RPA2,ENSG00000160200
RPA2,HERC5
RPA2,RNF114
RPA2,TAS2R30
RPA2,RPL7L1
RPA2,PTPN14
RPA2,UBE3C
RPA2,TIMP3
RPA2,HMMR
RPA2,LONRF1
RPA2,SFXN1
RPA2,CSTF1
RPA2,CDC5L
RPA2,GALNT7
RPA2,MAP7D1
RPA2,ZBTB16
STAT3,AVPR1A
STAT3,PDIA6
STAT3,UBA52
STAT3,ILF2
STAT3,NLRP3
STAT3,ASB5
STAT3,PPP2CA
STAT3,TAS2R46
STAT3,SMARCC1
STAT3,KCNAB2
STAT3,WDR36
STAT3,ANG
STAT3,TNFRSF1A
STAT3,TIMP1
STAT3,DARS
STAT3,ATP5B
STAT3,SPSB1
STAT3,HADH
