source,target
FLNC,VCAM1
FLNC,RNF4
FLNC,SPDL1
FLNC,MTDH
FLNC,NUAK2
FLNC,MCM5
FLNC,MYC
FLNC,MCM2
FLNC,PHB
FLNC,IQCB1
FLNC,FN1
FLNC,RPS6KA2
FLNC,NPM1
FLNC,PRKCZ
FLNC,TP63
FLNC,RNF31
FLNC,WIPI2
FLNC,PRKAB2
FLNC,HSPB2
FLNC,IKBKB
FLNC,USP14
FLNC,ITGAV
FLNC,PAK1
FLNC,ITGB3
RPA2,RPLP0
RPA2,TUBA4A
RPA2,VCP
RPA2,TUBB4B
RPA2,STAT3
RPA2,UBE2A
RPA2,UBC
RPA2,TUBB
RPA2,RPL7
RPA2,SLFN11
RPA2,SMC1A
RPA2,SNAI1
RPA2,SPTAN1
RPA2,TXNDC5
RPA2,TERF2
RPA2,SMC3
RPA2,TPX2
RPA2,SKIV2L2
RPA2,RPA3
RPA2,RUVBL2
RPA2,XRCC1
RPA2,SF3B3
RPA2,TMPO
RPA2,YAP1
RPA2,TP53
RPA2,YWHAE
RPA2,TOP2B
RPA2,SNRNP200
RPA2,SH3GLB1
RPA2,UBQLN2
RPA2,SEH1L
RPA2,RTN4
RPA2,TCOF1
RPA2,RPS3A
RPA2,ZNF598
RPA2,UBE2M
RPA2,TARDBP
RPA2,WDR76
RPA2,RPS27A
RPA2,UBB
RPA2,TYMS
RPA2,UBE2N
RPA2,TRIM25
RPA2,RRM2
RPA2,YWHAZ
RPA2,USP10
RPA2,UBA52
STAT3,TRAF6
STAT3,STAT6
STAT3,TIRAP
STAT3,TRIM25
STAT3,STAT3
STAT3,VEGFA
STAT3,TWIST1
STAT3,TNFRSF1A
STAT3,TLR2
STAT3,TNF
STAT3,TYK2
STAT3,VCAM1
STAT3,TP53
STAT3,TLR4
STAT3,TCP1
STAT3,YES1
ALDOA,GAPDH
ALDOA,TERF1
ALDOA,PKM
ALDOA,CUL3
ALDOA,METTL14
ALDOA,FLCN
ALDOA,CFTR
ALDOA,FUS
ALDOA,CDC34
ALDOA,CFL1
ALDOA,UBE2M
ALDOA,TGFBR2
ALDOA,HEXIM1
ALDOA,CUL4B
ALDOA,PGK1
ALDOA,CUL2
ALDOA,HSPD1
ALDOA,SOD1
ALDOA,VPS18
ALDOA,ATXN3
ALDOA,MAP2K7
ALDOA,MYC
ALDOA,ARHGDIA
ALDOA,HUWE1
ALDOA,NTRK1
ALDOA,BRCA1
ALDOA,BRAF
ALDOA,HSPB2
ALDOA,KRAS
ALDOA,ESR2
ALDOA,PSMD4
ALDOA,FN1
ALDOA,PIH1D1
ALDOA,HNRNPA1
ALDOA,APEX1
ALDOA,RAD52
ALDOA,HSP90AB1
