source,target
FLNC,AGTR2
FLNC,DRD2
FLNC,GFM2
FLNC,SNTB2
FLNC,OPRD1
FLNC,CEP70
FLNC,IQCB1
FLNC,STAT1
FLNC,IGFBP4
FLNC,THOC6
FLNC,CSK
FLNC,GNG12
FLNC,RNF123
FLNC,MED17
FLNC,ESR2
RPA2,PABPN1
RPA2,CYP1A1
RPA2,SRSF1
RPA2,PSMA7
RPA2,PLCG1
RPA2,UBE2M
RPA2,HRAS
RPA2,USP7
RPA2,TRIM25
RPA2,ABL1
RPA2,ATP6V1F
RPA2,EGLN3
RPA2,UBE2B
RPA2,ESR2
RPA2,UBC
RPA2,KIF11
RPA2,RNF123
RPA2,VAMP2
RPA2,TP53
RPA2,MRM1
RPA2,SH3RF1
RPA2,CDC20
RPA2,WDR36
RPA2,LSM4
RPA2,TAS1R1
RPA2,PTPN14
RPA2,BAX
RPA2,RPSA
RPA2,CDC5L
ARF1,GRB2
ARF1,YY1
ARF1,RPL7A
ARF1,TRIM25
ARF1,AGT
ARF1,FBXW8
ARF1,PPIA
ARF1,RPSA
ARF1,IRF7
ARF1,TAS1R1
ARF1,BDKRB1
ARF1,HEXIM1
ARF1,EIF3A
ARF1,POLR2J
ARF1,TP53
ARF1,HDAC4
ARF1,RPS27A
ARF1,DCUN1D1
ARF1,KRT40
ARF1,CSK
ARF1,AURKA
ARF1,SLC25A5
APP,P2RX1
APP,P2RY4
APP,HIST1H2AJ
APP,AMOTL2
APP,MMP9
APP,TCEB2
APP,KIF2C
APP,LATS2
APP,NPFFR1
APP,GARS
APP,HSP90AA1
APP,WDR46
APP,CREBBP
APP,HSPA5
APP,TAS1R1
APP,ARPC1B
APP,CUL3
APP,GTF2A1
APP,FUS
APP,TBX5
APP,SH3RF1
APP,FH
APP,HSPD1
APP,CUL7
APP,RBBP8
APP,U2AF1L4
APP,RPL7A
APP,HK1
APP,RPL21
APP,DPF2
APP,MRM1
APP,RNF2
APP,CDK2
APP,CDC20
APP,AURKA
APP,PA2G4
APP,CHD4
APP,PPP2R1B
APP,CSNK2A2
APP,FIP1L1
APP,C9orf142
APP,PDHB
APP,MIA3
APP,UBE2M
APP,CNR1
APP,OSBPL1A
APP,PRKCZ
APP,ISLR
APP,KIAA1143
APP,KALRN
APP,ADCY6
APP,TCF4
APP,HRAS
APP,SORBS3
APP,REEP4
APP,AAR2
APP,IRF7
APP,ASXL1
APP,BLOC1S2
APP,CYB5R3
APP,CUL4B
APP,TMEM30B
APP,PLCD4
APP,BATF3
APP,TMEM30A
APP,SYK
APP,STAT1
APP,NUP37
APP,HSP90B1
APP,PSMB2
APP,U2SURP
APP,PLEC
APP,RPSA
APP,APP
APP,XPO1
APP,SDC3
APP,PTBP1
APP,RPS2
APP,RAB1A
APP,DCUN1D1
APP,IRAK3
APP,HIST1H2AE
APP,DYNC1H1
APP,CUL1
APP,ILF2
APP,TRIO
APP,CISD3
APP,CHERP
APP,RBM28
APP,DUSP5
APP,EGLN3
APP,EGFR
APP,CPSF6
APP,BICD1
APP,PLCG1
APP,ESR2
APP,ARHGAP21
APP,BUB1B
APP,RUVBL2
APP,PPIA
APP,ATP6AP2
APP,ARF1
APP,AGRN
APP,MRPS30
APP,STAM
APP,CDC42
APP,HNRNPD
APP,PRPF39
APP,GNGT2
APP,DUSP10
APP,UBC
APP,LPL
APP,UBE2B
APP,BRIX1
APP,EFTUD2
APP,MCM10
APP,ITSN2
APP,PRMT1
APP,HEXIM1
APP,KTN1
APP,TRIM24
APP,TARM1
APP,PPP2R1A
APP,ASB12
APP,RANGAP1
APP,CDH2
APP,EDN1
APP,UBOX5
APP,RBM39
APP,BMI1
APP,ORC6
APP,GTPBP4
APP,ASB8
APP,BDKRB1
APP,PSMB7
APP,MGST1
APP,PPP1CA
APP,LARP7
APP,MAD1L1
APP,LIMA1
APP,TUBA1C
APP,ATP5G1
APP,NMBR
APP,DKC1
APP,YTHDF2
APP,VAMP8
APP,NR2C2
APP,HIST1H4F
APP,SF1
APP,RPA1
APP,UBB
APP,WDR12
APP,RPS27A
APP,GNRH1
APP,IGF1R
APP,RECQL4
APP,B2M
APP,CENPH
APP,MAP1B
APP,MED31
DAB1,UTP20
DAB1,STAT1
DAB1,NUP50
APOB,BUB1B
APOB,KIAA1429
APOB,EGLN3
APOB,NUP50
APOB,TRAF5
APOB,YY1
APOB,RBBP4
APOB,PLEC
APOB,LARP7
APOB,LGALS1
APOB,FBXO2
APOB,IGF1R
APOB,HEXIM1
APOB,POLR2F
APOB,ADCY6
APOB,GNG4
APOB,PUF60
APOB,CSK
APOB,MRPL21
APOB,EWSR1
APOB,MEOX2
APOB,TCOF1
