source,target
CDKN1A,HSPA8
CDKN1A,EFTUD2
CDKN1A,FBL
CDKN1A,GAL
CDKN1A,HUWE1
SMAD3,UTP20
SMAD3,DNAJC13
SMAD3,UBB
SMAD3,UBC
SMAD3,CUL3
MEF2D,BICD2
GNB2L1,HSPA8
GNB2L1,CD70
GNB2L1,PPP2R2C
GNB2L1,CUL3
GNB2L1,RFC4
SNRPB,CALM1
SNRPB,PHB
SNRPB,UBQLN4
CTBP2,CALM1
CTBP2,BET1L
CTBP2,KIAA1429
CTBP2,CREB1
NUBP1,DNAJC13
UBQLN4,DNAJC13
UBQLN4,H2BFS
MTOR,DNAJC13
MTOR,CTBP2
MTOR,HCAR3
ESR2,CEP135
ESR2,UQCRC1
ESR2,KIAA1429
ESR2,NOS3
ESR2,HDAC5
ESR2,UTP20
ESR2,SNRPB
ESR2,SMAD3
ESR2,EFTUD2
ESR2,GAL
ESR2,SRSF5
ESR2,HSPA8
ESR2,DDX5
ESR2,RPS26
ESR2,DNAJC13
ESR2,FBXO44
ESR2,SLC2A8
ESR2,UBB
ESR2,CD70
ESR2,HDAC1
HSPA8,HUWE1
HSPA8,MRPL50
HSPA8,HSPA8
HSPA8,UBQLN4
HSPA8,POLR2D
HSPA8,HCAR3
HSPA8,KIAA1429
HSPA8,SMAD3
HSPA8,NDUFB1
EXOSC6,FBL
EXOSC6,FBXW7
EXOSC6,DNAJC13
CUL1,UBQLN4
CUL1,NUP85
CUL1,UBC
CUL1,RFC4
CUL1,GNB2L1
CUL1,SNAI1
CUL1,FBXO44
CUL1,MRPL50
CUL1,UBB
CUL1,EFTUD2
CUL1,CEP152
CUL1,STUB1
CUL1,MYO19
FANCA,SNRPF
FANCA,FANCA
FANCA,DNAJC13
FANCA,TAS2R5
AP1S1,CUL1
AP1S1,RRP15
CUL3,HUWE1
CUL3,TAS2R5
CUL3,XIAP
CUL3,HDAC1
CUL3,EXOSC6
CUL3,UBC
CUL3,MTDH
CUL3,ITSN2
CUL3,DNAJC13
CUL3,RRP15
CUL3,PTCD3
CUL3,HDAC5
CUL3,FBL
CUL3,EFTUD2
CUL3,SRSF5
CUL3,UBB
TRIM39,UBC
TRIM39,EXOSC6
TRIM39,FCF1
TRIM39,DNAJC13
TRIM39,RPS26
TCEB3,CDKN1A
XIAP,ESR2
NDUFB1,DNAJC13
NDUFB1,UBB
DUT,UBC
DUT,ESR2
ZUFSP,MC3R
UBC,MTOR
UBC,SNAI1
UBC,UBC
UBC,UBQLN4
UBC,RAB2A
UBC,SNRPB
UBC,PDGFRA
UBC,NUP160
UBC,H2BFS
UBC,HSPA8
UBC,TCEB3
UBC,NUP85
UBC,SLC2A8
UBB,UBB
UBB,UBC
UBB,STUB1
UBB,KIAA1429
UBB,HDAC1
UBB,NPHP1
UBB,BICD2
UBB,SNAI1
UBB,SRSF5
UBB,FCF1
UBB,DNAJC13
RPS26,NDUFA10
RPS26,ZUFSP
RPS26,HCAR3
PTCD3,DNAJC13
PTCD3,POLR2D
RAB2A,HSPA8
RFC4,SNAI1
RFC4,KIAA1429
HDAC1,STUB1
HDAC1,MEPCE
HDAC1,CD70
HDAC1,UBC
HDAC1,FBL
HDAC1,FBXW7
HDAC1,PHB
HDAC5,UBE2B
HDAC5,FBXW7
HDAC5,SYNRG
HDAC5,UBB
HDAC5,KIAA1429
HDAC5,SRSF5
HDAC5,DNAJC13
HDAC5,GNB2L1
EFTUD2,UTP20
EFTUD2,KIAA1429
EFTUD2,SMAD3
EFTUD2,MTOR
EFTUD2,FBL
EFTUD2,MEPCE
EFTUD2,UBB
EFTUD2,RFC4
EFTUD2,PTCD3
EFTUD2,NELFE
UQCRC1,NUP160
UQCRC1,CREB1
UQCRC1,MEPCE
UQCRC1,UBC
PGRMC1,MC3R
PGRMC1,STUB1
RPS16,ESR2
RPS16,EXOSC6
RPS16,UBC
FBL,UBC
FBL,DDX5
FBL,KIAA1429
FBL,MTOR
FBL,CUL1
FBL,HDAC5
SNAI1,HSPA8
SNAI1,STUB1
SNAI1,ESR2
SNAI1,NDUFB1
SNAI1,DUT
SNAI1,DNAJC13
SNRPF,HCAR3
NUP160,KIAA1429
HNRNPDL,DNAJC13
CEP135,KIAA1429
CEP135,UBC
CEP135,NPY5R
CEP135,KRT74
CEP135,RPS26
CEP135,UBB
RRP15,PPP2R2C
RRP15,GNB2L1
RRP15,DNAJC13
DDX5,H2BFS
DDX5,SNRPF
DDX5,HDAC1
DDX5,HIST1H2BD
DDX5,EFTUD2
DDX5,KIAA1429
DDX5,RPS26
DDX5,HNRNPU
DDX5,GNB2L1
DDX5,SNAI1
CTPS1,ESR2
FBXW7,RPS16
FBXW7,GNB2L1
FBXW7,CEP152
FBXW7,PHB
FBXW7,UBC
FBXW7,TRIM39
FBXW7,SMAD3
FBXW7,HSPA8
FBXW7,CRCP
CALM1,EFTUD2
CALM1,HDAC5
CALM1,DNAJC13
CALM1,RPF1
CALM1,XIAP
CALM1,GAL
CREB1,SLC2A8
CREB1,EFTUD2
CREB1,ASB8
CREB1,H2AFJ
HDAC8,UBE2B
HDAC8,EFTUD2
HDAC8,TAS2R5
PDGFRA,DNAJC13
HNRNPU,ITSN2
HNRNPU,DNAJC13
HNRNPU,UBB
HNRNPU,FBL
HNRNPU,CREB1
HNRNPU,POLR2D
HNRNPU,MEPCE
HNRNPU,HSPA8
HNRNPU,EFTUD2
YTHDC1,YTHDC1
YTHDC1,CUL1
POLR2D,UBQLN4
POLR2D,ESR2
POLR2D,RPF1
POLR2D,CUL3
POLR2D,RFC4
POLR2D,UBC
NUP85,HSPA8
NUP85,NUP85
NUP85,SMAD3
NUP85,DNAJC13
NUP85,POLR2D
BLOC1S5,DNAJC13
PHB,FBL
PHB,UBQLN4
PHB,ESR2
PHB,UBC
PHB,SRSF5
PHB,UBB
PHB,STUB1
PHB,CUL3
PHB,ASB8
PHB,DNAJC13
PHB,KIAA1429
SRSF5,KIAA1429
UBE2B,PHB
UBE2B,UQCRC1
UBE2B,RPS16
UBE2B,RPS26
UBE2B,NUBP1
PPP2R2C,CEP135
NPHP1,NPHP1
NPHP1,PHB
CAT,UBB
CAT,SNRPB
CAT,DNAJC13
NOS3,TAAR9
NOS3,HDAC1
HIST1H2BD,KIAA1429
HIST1H2BD,HNRNPU
HIST1H2BD,FBL
HIST1H2BD,GNB2L1
HIST1H2BD,UBC
HIST1H2BD,HSPA8
HIST1H2BD,PGRMC1
HIST1H2BD,SNAI1
HIST1H2BD,DNAJC13
HIST1H2BD,MTDH
STUB1,RPS16
STUB1,RPS26
STUB1,ITSN2
STUB1,UBC
STUB1,NUP85
STUB1,EFTUD2
ITSN2,EFTUD2
ITSN2,HIST1H2BD
ITSN2,KIAA1429
BET1L,ESR2
BET1L,PDGFRA
SYNRG,PPP2R2C
SYNRG,NUP85
ASB8,H2BFS
ASB8,SNAI1
ASB8,CUL3
ASB8,HUWE1
ASB8,DNAJC13
ASB8,ESR2
ASB8,UBB
ASB8,UBC
ASB8,GNB2L1
BICD2,TAAR9
