source,target
MAP2K4,LSM2
MAP2K4,EIF4EBP3
MAP2K4,TH
MAP2K4,HSP90B1
MAP2K4,TNIP2
MAP2K4,ITGAM
MAP2K4,TBL1X
MAP2K4,S1PR5
MAP2K4,UBE3D
MAP2K4,MAP2K4
MAP2K4,SNCA
MAP2K4,NF2
MAP2K4,VTI1A
MAP2K4,IFNA21
MAP2K4,APITD1
MAP2K4,NDC80
MAP2K4,LPAR4
MAP2K4,SRSF9
MAP2K4,XPO1
MAP2K4,BCL2L1
MAP2K4,CXCL8
MAP2K4,KIRREL
MAP2K4,REL
MAP2K4,KAT2B
MAP2K4,COPB2
MAP2K4,PDHB
MAP2K4,EPS15
MAP2K4,ACAA1
MAP2K4,GALNS
MAP2K4,GYLTL1B
MAP2K4,WBP4
MAP2K4,SKP2
MAP2K4,HDAC1
MAP2K4,TNFSF12
MAP2K4,SNAPC1
MAP2K4,MAGT1
MAP2K4,CHD4
MAP2K4,RPL8
FLNC,SETD7
FLNC,S1PR4
FLNC,CCL28
FLNC,CDH13
FLNC,TUBGCP4
FLNC,GAN
FLNC,SIRT7
FLNC,WDR75
FLNC,DRD2
FLNC,GFM2
FLNC,ACADM
FLNC,LAMTOR2
FLNC,TACR1
FLNC,OPRD1
FLNC,SORT1
FLNC,UBE2E2
FLNC,NANOG
FLNC,CBLB
FLNC,IQCB1
FLNC,MYBBP1A
FLNC,THOC6
FLNC,CSK
FLNC,TERF1
FLNC,AP2M1
FLNC,CTR9
FLNC,PSME2
FLNC,RNF41
FLNC,CKAP4
FLNC,TXNDC12
FLNC,TAS2R16
FLNC,SEC24C
FLNC,FBXL4
FLNC,UBE2K
FLNC,ANAPC1
FLNC,ACTG1
FLNC,CUL2
FLNC,SF3B6
FLNC,RNF123
FLNC,ANAPC5
FLNC,HIST1H2BL
FLNC,ESR2
ACTN2,POLR2E
ACTN2,APBB1
ACTN2,UBE2D1
ACTN2,POLR2A
ACTN2,UBE2N
ACTN2,GNG8
ACTN2,RPS17
ACTN2,ASB8
ACTN2,RRP1B
ACTN2,RELA
ACTN2,PIN1
ACTN2,TCF12
ACTN2,COMMD5
ACTN2,SRPR
ACTN2,RBBP4
ACTN2,KLHL5
ACTN2,RPS2
ACTN2,EPRS
ACTN2,INSL3
ACTN2,SNAI1
ACTN2,ARHGDIB
ACTN2,ESR2
ACTN2,ERBB4
ACTN2,LPAR2
ACTN2,APOBEC3B
ACTN2,C10orf2
ACTN2,SH3KBP1
ACTN2,MSLN
ACTN2,HSPA1L
ACTN2,DCAF7
ACTN2,HNRNPD
ACTN2,RBX1
ACTN2,TERF2
ACTN2,HIST1H2AM
ACTN2,CHRM4
ACTN2,MYC
ACTN2,RNPS1
ACTN2,RPS14
ACTN2,DPF2
ACTN2,CCDC88A
ACTN2,PEBP1
ACTN2,SYT1
ACTN2,KRAS
ACTN2,RRP9
ACTN2,PCF11
