"V1","V2"
"XCL2","XCR1"
"XCL1","XCR1"
"XCL1","XCL2"
"PIK3R6","VAV3"
"TXK","VAV3"
"UTS2R","XCR1"
"UTS2R","XCL2"
"UTS2R","XCL1"
"NRG4","NRG2"
"PRSS57","SH2D3A"
"PIP5KL1","PIK3R6"
"GFRA3","PSPN"
"SMPD1","UGCG"
"MCHR1","XCR1"
"MCHR1","XCL2"
"MCHR1","XCL1"
"MCHR1","UTS2R"
"CCKAR","XCR1"
"CCKAR","XCL2"
"CCKAR","XCL1"
"CCKAR","UTS2R"
"CCKAR","MCHR1"
"FFAR4","XCR1"
"FFAR4","XCL2"
"FFAR4","XCL1"
"FFAR4","UTS2R"
"FFAR4","MCHR1"
"FFAR4","CCKAR"
"QRFPR","XCR1"
"QRFPR","XCL2"
"QRFPR","XCL1"
"QRFPR","UTS2R"
"QRFPR","MCHR1"
"QRFPR","CCKAR"
"QRFPR","FFAR4"
"GPRC6A","XCR1"
"GPRC6A","XCL2"
"GPRC6A","XCL1"
"GPRC6A","UTS2R"
"GPRC6A","MCHR1"
"GPRC6A","CCKAR"
"GPRC6A","FFAR4"
"GPRC6A","QRFPR"
"HCRTR2","XCR1"
"HCRTR2","XCL2"
"HCRTR2","XCL1"
"HCRTR2","UTS2R"
"HCRTR2","MCHR1"
"HCRTR2","CCKAR"
"HCRTR2","FFAR4"
"HCRTR2","QRFPR"
"HCRTR2","GPRC6A"
"NTSR2","XCR1"
"NTSR2","XCL2"
"NTSR2","XCL1"
"NTSR2","UTS2R"
"NTSR2","MCHR1"
"NTSR2","CCKAR"
"NTSR2","FFAR4"
"NTSR2","QRFPR"
"NTSR2","GPRC6A"
"NTSR2","HCRTR2"
"GPR4","XCR1"
"GPR4","XCL2"
"GPR4","XCL1"
"GPR4","UTS2R"
"GPR4","MCHR1"
"GPR4","CCKAR"
"GPR4","FFAR4"
"GPR4","QRFPR"
"GPR4","GPRC6A"
"GPR4","HCRTR2"
"GPR4","NTSR2"
"F2RL2","XCR1"
"F2RL2","XCL2"
"F2RL2","XCL1"
"F2RL2","UTS2R"
"F2RL2","MCHR1"
"F2RL2","CCKAR"
"F2RL2","FFAR4"
"F2RL2","QRFPR"
"F2RL2","GPRC6A"
"F2RL2","HCRTR2"
"F2RL2","NTSR2"
"F2RL2","GPR4"
"TACR2","XCR1"
"TACR2","XCL2"
"TACR2","XCL1"
"TACR2","UTS2R"
"TACR2","MCHR1"
"TACR2","CCKAR"
"TACR2","FFAR4"
"TACR2","QRFPR"
"TACR2","GPRC6A"
"TACR2","HCRTR2"
"TACR2","NTSR2"
"TACR2","GPR4"
"TACR2","F2RL2"
"NPFFR2","XCR1"
"NPFFR2","XCL2"
"NPFFR2","XCL1"
"NPFFR2","UTS2R"
"NPFFR2","MCHR1"
"NPFFR2","CCKAR"
"NPFFR2","FFAR4"
"NPFFR2","QRFPR"
"NPFFR2","GPRC6A"
"NPFFR2","HCRTR2"
"NPFFR2","NTSR2"
"NPFFR2","GPR4"
"NPFFR2","F2RL2"
"NPFFR2","TACR2"
"PROK1","XCR1"
"PROK1","XCL2"
"PROK1","XCL1"
"PROK1","UTS2R"
"PROK1","MCHR1"
"PROK1","CCKAR"
"PROK1","FFAR4"
"PROK1","QRFPR"
"PROK1","GPRC6A"
"PROK1","HCRTR2"
"PROK1","NTSR2"
"PROK1","GPR4"
"PROK1","F2RL2"
"PROK1","TACR2"
"PROK1","NPFFR2"
"EDN2","XCR1"
"EDN2","XCL2"
"EDN2","XCL1"
"EDN2","UTS2R"
"EDN2","MCHR1"
"EDN2","CCKAR"
"EDN2","FFAR4"
"EDN2","QRFPR"
"EDN2","GPRC6A"
"EDN2","HCRTR2"
"EDN2","NTSR2"
"EDN2","GPR4"
"EDN2","F2RL2"
"EDN2","TACR2"
"EDN2","NPFFR2"
"EDN2","PROK1"
"FFAR1","XCR1"
"FFAR1","XCL2"
"FFAR1","XCL1"
"FFAR1","UTS2R"
"FFAR1","MCHR1"
"FFAR1","CCKAR"
"FFAR1","FFAR4"
"FFAR1","QRFPR"
"FFAR1","GPRC6A"
"FFAR1","HCRTR2"
"FFAR1","NTSR2"
"FFAR1","GPR4"
"FFAR1","F2RL2"
"FFAR1","TACR2"
"FFAR1","NPFFR2"
"FFAR1","PROK1"
"FFAR1","EDN2"
"NMBR","XCR1"
"NMBR","XCL2"
"NMBR","XCL1"
"NMBR","UTS2R"
"NMBR","MCHR1"
"NMBR","CCKAR"
"NMBR","FFAR4"
"NMBR","QRFPR"
"NMBR","GPRC6A"
"NMBR","HCRTR2"
"NMBR","NTSR2"
"NMBR","GPR4"
"NMBR","F2RL2"
"NMBR","TACR2"
"NMBR","NPFFR2"
"NMBR","PROK1"
