source,target
MPP6,SLC20A1
MPP6,NF2
DLG1,MPP2
DLG1,DLG1
DLG1,LIN7C
DLG1,TJAP1
DLG1,LIN7A
DLG1,LIN7B
CUL1,CUL1
CUL1,MPP2
CUL1,PLK1
CDC5L,MPP2
CDC5L,CDC5L
CDC5L,CUL1
CDC5L,PLK1
ERBB2IP,ERBB2IP
ERBB2IP,MPP2
LIN7B,MPP2
LIN7B,LIN7C
LIN7B,MPP6
CSNK2B,MPP2
CSNK2B,CSNK2B
BEGAIN,BEGAIN
BEGAIN,MPP2
NF2,NF2
CEBPA,CEBPA
CEBPA,MPP2
LIN7A,MPP6
LIN7A,SLC20A1
LIN7A,MPP2
LIN7C,MPP6
LIN7C,SLC20A1
LIN7C,MPP2
LIN7C,NF2
ARMC8,GID4
ARMC8,ARMC8
ARMC8,MPP2
ARMC8,CDA
MPP2,NF2
MPP2,MPP6
MPP2,NGB
MPP2,PLK1
MPP2,SLC20A1
MPP2,TJAP1
CYP2S1,MPP6
CYP2S1,MPP2
ISOC2,MPP2
ISOC2,ISOC2
CDA,LIN7A
CDA,MPP2
CDA,MPP6
GID4,MPP2
