source,target
GATA2,JUN
GATA2,TNIP2
GATA2,HIST1H4A
GATA2,PML
GATA2,ZBTB16
GATA2,RBX1
GATA2,TRAF1
GATA2,SKP1
GATA2,KAT2A
GATA2,PSMA3
GATA2,KDR
GATA2,NOTCH1
GATA2,MYC
PML,RANBP2
PML,USP7
PML,RNF4
PML,SAP130
PML,RBX1
PML,UBE2I
PML,TP53
PML,PSME3
PML,RPL11
PML,UBE2U
PML,TRIM69
PML,RBL2
PML,ZBTB16
PML,UHRF1
PML,TCF7L2
PML,SKP1
PML,STAT1
PML,STAT3
PML,WDR5
PML,UBE3A
PML,SMARCA4
PML,RELA
PML,PML
PML,PSMA3
PML,SQSTM1
PML,SMAD3
PML,RPL5
PML,RNF123
PML,USP11
PML,RNF111
PML,SIAH2
PML,SMAD2
PML,RBCK1
PML,SIAH1
PML,TRIM21
PML,SMURF2
PML,TNRC6B
PML,RAE1
PML,SMURF1
PML,TGFBR2
PML,UBC
PML,VCAM1
PML,UBA52
PML,UBB
PML,TP73
PML,RPS27A
PML,TRIM14
RPA2,RPL15
RPA2,RPLP1
RPA2,RPLP0
RPA2,UBXN1
RPA2,TUBA4A
RPA2,SNRPB
RPA2,VCP
RPA2,TUBB4B
RPA2,STAT3
RPA2,RPL6
RPA2,UBE2A
RPA2,RPL19
RPA2,STRBP
RPA2,UBC
RPA2,TUBB
RPA2,SPTBN1
RPA2,SNAI1
RPA2,TAF15
RPA2,SPTAN1
RPA2,RPS8
RPA2,TCF7L2
RPA2,SSRP1
RPA2,SKIV2L2
RPA2,TRIM28
RPA2,RPL10L
RPA2,RPA3
RPA2,RUVBL2
RPA2,SF3B3
RPA2,XRN2
RPA2,TIAL1
RPA2,RPS7P4
RPA2,RPL18
RPA2,RPS9
RPA2,RPL13P12
RPA2,USP37
RPA2,TRIP12
RPA2,RPL9
RPA2,USP7
RPA2,SF3B1
RPA2,TUBA1C
RPA2,TP53
RPA2,YWHAE
RPA2,SYNCRIP
RPA2,RPS5
RPA2,RPS7
RPA2,U2SURP
RPA2,RPL18A
RPA2,RPS3A
RPA2,RPL13A
RPA2,UBE2M
RPA2,STYX
RPA2,UBE2B
RPA2,RPS27A
RPA2,UBE2L6
RPA2,UBB
RPA2,UBE2N
RPA2,UBA7
RPA2,YWHAZ
RPA2,SLBP
RPA2,UBE2V2
RPA2,UBA52
STAT3,TRIM28
STAT3,TRIM11
STAT3,STAT3
STAT3,VEGFA
STAT3,TIMP1
STAT3,TLR2
STAT3,TNF
STAT3,TLR9
STAT3,VCAM1
STAT3,VIM
STAT3,TP53
STAT3,TLR4
STAT3,TNFSF11
APP,FBXL2
APP,EEF1B2
APP,WDR5
APP,TRIM41
APP,COMMD2
APP,RBM39
APP,INS
APP,TRIM63
APP,HSPA4
APP,S1PR1
APP,CDKN1A
APP,PKM
APP,UBE3C
APP,ATXN3
APP,HSP90AA1
APP,SRSF3
APP,DCUN1D2
APP,KPNA2
APP,ATP5A1
APP,STUB1
APP,MTG1
APP,CUL3
APP,TRIM47
APP,GNA15
APP,RPL30
APP,MYC
APP,VCP
APP,PSMD11
APP,UBAC1
APP,CHEK2
APP,TRIB2
APP,CUL7
APP,QARS
APP,IL7
APP,HP1BP3
APP,PPP1CC
APP,CAPRIN1
APP,CLU
APP,TGFBR2
APP,RPS14
APP,GNB5
APP,C7orf50
APP,NFKBIB
APP,RNF115
APP,SRSF6
APP,SORL1
APP,COPS5
APP,SAE1
APP,PPAN
APP,PARK2
APP,TOP1
APP,PSMD4
APP,SYNCRIP
APP,HSPA8
APP,RPL12
APP,PCBP1
APP,SMURF1
APP,FBXO38
APP,GYS1
APP,FBXW11
APP,UBE2M
APP,G3BP1
APP,RPA2
APP,AURKA
APP,LNX1
APP,MYBBP1A
APP,CDC20
APP,TRIM69
APP,DEPTOR
APP,TPI1
APP,MXI1
APP,SOCS5
APP,DDX18
APP,RPS19
APP,PRDX2
APP,RPS11
APP,RNF138
APP,TUBB
APP,MDM2
APP,APP
APP,HSPD1
APP,DCX
APP,RPS27A
APP,PSME1
APP,ZC3HC1
APP,RPL36
APP,PTBP1
APP,RPL23
APP,ASB6
APP,PDYN
APP,CTNNB1
APP,KDR
APP,EEF1D
APP,TRAIP
APP,MAPK11
APP,MRPL49
APP,RPS16
APP,RPS20
APP,HCK
APP,KLF4
APP,EXOSC3
APP,CCT8
APP,RNF41
APP,RPL11
APP,HBZ
APP,MRPL11
APP,IRS1
APP,RPS10
APP,RXFP3
APP,DDX1
APP,PLK1
APP,POMC
APP,GSK3B
APP,VIM
APP,CDK4
APP,RBPJ
APP,TNIP2
APP,FBXL7
APP,DFFB
APP,PPIA
APP,UBE2E2
APP,VHL
APP,CDC25A
APP,CCND3
APP,ARFGAP3
APP,RNMTL1
APP,RUVBL2
APP,GAPDH
APP,HNRNPA1
APP,UBE3A
APP,ATG7
APP,SMAD3
APP,RPS12
APP,PSMA7
APP,NAE1
APP,SOCS3
APP,JUN
APP,SHMT2
APP,CHEK1
APP,UBE2I
APP,SERBP1
APP,HSPA9
APP,IL15
APP,RCBTB1
APP,PSMB4
APP,LPAR3
APP,ATF4
APP,RPS18
APP,TBK1
APP,HIST1H1C
APP,EGFR
APP,KIAA1429
APP,NOTCH1
APP,EIF6
APP,RPL31
APP,PCBD1
APP,PSMC1
APP,IREB2
APP,EXOSC7
APP,HSD17B10
APP,ING3
APP,SDC1
APP,RPL34
APP,FBF1
APP,PSMA1
APP,SNRNP70
APP,NPM1
APP,RBX1
APP,SMTNL2
APP,PTGS2
APP,STAU1
APP,RPS21
APP,PWP1
APP,RNF34
APP,UBXN7
APP,RPS25
APP,FBXW9
APP,EXOSC1
APP,CDCA3
APP,PPP2R5E
APP,FOS
APP,TRIM39
APP,MRPL19
APP,SPSB2
APP,NUDT16L1
APP,RBCK1
APP,CCL13
APP,CDK3
APP,COPS7B
APP,MAPK8
APP,DDX17
APP,SSTR2
APP,KEAP1
APP,NUAK1
APP,RPS9
APP,RSL1D1
APP,PPP2R5C
APP,PSME2
APP,ASPSCR1
APP,CCNE2
APP,SRSF1
APP,PSMA5
APP,PSMD5
APP,IL1B
APP,HNRNPL
APP,S100A8
APP,SSB
APP,CXCL16
APP,RPL37A
APP,SPANXN3
APP,SRC
APP,YWHAZ
APP,UBE2S
APP,UBB
APP,CIRBP
APP,UBE2G1
APP,CX3CL1
APP,HEBP1
APP,DRD4
APP,MAPK1
APP,BDKRB1
APP,TIMP1
APP,HGF
APP,SERPINE1
APP,C5
APP,CCL1
APP,CXCL6
APP,NFKB1
APP,GNB3
APP,GRM6
APP,GNB4
APP,OPRD1
APP,TAS2R8
APP,TAS2R10
APP,TAS2R7
APP,TAS2R9
APP,C3
APP,S1PR4
APP,CCR7
APP,TAS2R3
APP,TAS2R4
APP,TAS2R5
APP,GNG13
APP,GNG11
APP,GNGT1
APP,MCHR1
APP,GALR3
APP,TAS2R16
APP,SSTR4
APP,NMUR2
APP,HRH4
APP,MTNR1B
APP,GABBR2
APP,CCL21
APP,CCL27
APP,MAPK3
APP,NMU
APP,KNG1
APP,EGF
APP,OPRK1
APP,GAL
APP,SSTR1
APP,TP53
APP,MCHR2
APP,TAS2R42
APP,GNG5
APP,NPY5R
APP,CCR4
APP,HTR1A
APP,SSTR5
APP,TNF
APP,NPY1R
APP,CCL5
APP,RXFP4
APP,GNB2
APP,PRL
APP,GRM3
APP,XCR1
APP,NPY4R
APP,NMUR1
APP,SST
APP,INSL5
APP,CXCR1
APP,GNG7
APP,CXCR5
APP,CCL25
APP,HCAR3
APP,HCAR2
APP,MTNR1A
APP,GALR2
APP,TAS2R39
APP,FPR2
APP,PYY
APP,GPR18
APP,CCR5
APP,TAS2R31
APP,CCR9
APP,CXCL2
APP,S1PR5
APP,P2RY14
APP,CXCL13
APP,PTGDR2
APP,TAS2R1
APP,CXCL10
APP,PPBP
APP,GNAI3
APP,CCR10
APP,PTGER3
APP,GNGT2
APP,GPSM2
APP,OXGR1
APP,GNG8
APP,C5AR1
APP,GABBR1
APP,GRM4
APP,GPER1
APP,CX3CR1
APP,F2R
APP,CASR
APP,CCL19
APP,PNOC
APP,TAS1R2
APP,CXCL1
APP,GNG4
APP,TAS2R13
APP,GPR17
APP,CCL4
APP,GRM7
APP,BDKRB2
APP,NPB
APP,CCR8
