source,target
EGFR,TACR3
EGFR,RPL35A
EGFR,ANKRD17
EGFR,INS
EGFR,SRC
EGFR,MYC
EGFR,FGFR1OP
CCNT1,MRPL36
CCNT1,MYC
CCNT1,SRC
CCNT1,CCNT1
CCNT1,ANKRD17
SRC,FAM83H
SRC,DKC1
SRC,HNRNPL
HNRNPL,COL3A1
HNRNPL,KRT17
HNRNPL,SNAPC3
HNRNPL,SETD1B
HNRNPL,UBE2Z
HNRNPL,PPP1CC
RNF7,INS
RNF7,HNRNPL
RNF7,ANKRD17
KRTAP4-12,EGFR
LZTS2,MYC
LZTS2,UBE2Z
LZTS2,RPL35A
LZTS2,ANKRD17
LZTS2,CAND1
CIAO1,ANKRD17
CEP76,REEP3
KRT17,ANKRD17
KRT17,CCNT1
TBL3,PPP1CC
EIF3C,SRC
EIF3C,EIF3C
EIF3C,EGFR
EIF3C,HNRNPL
PPP2R4,RNF7
MYC,PPP1CC
MYC,RNF7
MYC,CDC16
MYC,CAND1
MYC,EIF3C
MYC,SRC
MYC,INS
MYC,RPL35A
HSP90AB1,PPP1CC
HSP90AB1,KRT17
HSP90AB1,HNRNPL
HSP90AB1,FAM83H
HSP90AB1,TBL3
RPL35A,ANKRD17
RPL35A,KRT17
RPL35A,HNRNPL
BARHL1,ANKRD17
ACTA1,EGFR
ACTA1,ANKRD17
CDC16,EGFR
CDC16,HNRNPL
CDC16,CEP76
MED18,ANKRD17
OTUB1,TBL3
OTUB1,MYC
CAND1,NDUFA8
CAND1,SRC
PPP1CC,ACTA1
PPP1CC,RNF7
PPP1CC,CCNT1
PPP1CC,RTP3
PPP1CC,ANKRD17
DKC1,HNRNPL
DKC1,DKC1
LRAT,LRAT
LRAT,RTP3
COL3A1,ANKRD17
COL3A1,TBL3
COL3A1,PPP1CC
SNAPC3,CDC16
TCF7L2,ISOC1
TCF7L2,ANKRD17
TCF7L2,REEP3
FGFR1OP,RPL22L1
RAB11B,PPP1CC
RAB11B,PFDN5
KIAA0101,HNRNPL
SETD1B,ANKRD17
SETD1B,REEP3
ANKRD17,HNRNPL
ANKRD17,KIAA0101
ANKRD17,RAB11B
ANKRD17,INS
ANKRD17,MYC
ANKRD17,LRAT
ANKRD17,FGFR1OP
ANKRD17,GSTO2
ANKRD17,TACR3
ANKRD17,TBL3
ANKRD17,IARS2
ANKRD17,SNAPC3
ANKRD17,PPP2R4
ANKRD17,CAND1
ANKRD17,OTUB1
ANKRD17,CEP76
ANKRD17,SRC
ANKRD17,NDUFA8
ANKRD17,TNFRSF21
ANKRD17,KRTAP4-12
ANKRD17,CDC16
ANKRD17,GPR132
ANKRD17,CMAS
ANKRD17,ISOC1
ANKRD17,ISOC2
ANKRD17,PFDN5
ANKRD17,HSP90AB1
ANKRD17,DKC1
ANKRD17,RTP3
ANKRD17,EIF3C
ANKRD17,UBE2Z
RPL22L1,ANKRD17
RPL22L1,TNFRSF21
CSN2,MYC
CSN2,ANKRD17
MRPL36,CAND1
MRPL36,MYC
MRPL36,ANKRD17
MRPL36,RTP3
NDUFA8,MYC
FAM83H,ANKRD17
FAM83H,MYC
NGLY1,ANKRD17
IARS2,PPP1CC
IARS2,EGFR
CMAS,DKC1
CMAS,MYC
CYP11B2,ANKRD17
REEP3,ANKRD17
GPR132,RPL35A
RTP3,REEP3
