source,target
ARF1,RABGEF1
ARF1,RICTOR
ARF1,RAB5A
ARF1,ARIH2
ARF1,TSC1
ARF1,RALA
ARF1,SEC23IP
ARF1,RAB1A
ARF1,TRAPPC12
ARF1,B3GNT2
ARF1,CBL
ARF1,CAND1
ARF1,IGF1R
ARF1,TSC2
ARF1,ARF1
ARF1,B4GALT1
ARF1,TRAPPC13
ARF1,SEC24A
ARF1,MTF2
ARF1,UBE2J1
ARF1,HDAC8
ARF1,TRAPPC2L
ARF1,SLC39A7
ARF1,SAR1A
ARF1,SEC24C
ARF1,HERC1
ARF1,PIK3CA
ARF1,INS
GRB2,TSC2
GRB2,LNX1
GRB2,NTRK1
GRB2,IRS1
GRB2,PRKAB1
GRB2,IGF2BP1
GRB2,PTPN11
GRB2,PIH1D1
GRB2,PIK3CA
GRB2,GRB2
GRB2,YWHAH
GRB2,YWHAQ
GRB2,PTK2
GRB2,YWHAE
GRB2,YWHAG
GRB2,YWHAZ
GRB2,YWHAB
GRB2,MAPK1
GRB2,RPS6KB1
GRB2,MAPK3
GRB2,IGF1R
GRB2,IGF1
GRB2,MTOR
GRB2,PTEN
GRB2,INS
YWHAZ,YWHAZ
SMAD3,TP53
SMAD3,SNW1
SMAD3,TSC2
SMAD3,SMAD3
CCND3,CDKN1B
CCND3,DYRK1A
CCND3,TSC2
CCND3,CCNT1
CCND3,GSK3B
IGF1R,PTPN11
IGF1R,TRAPPC2
IGF1R,NTRK1
IGF1R,TP53
IGF1R,YWHAB
IGF1R,YWHAG
IGF1R,RABGEF1
IGF1R,PTK2
IGF1R,YWHAE
IGF1R,IRS1
IGF1R,YWHAQ
IGF1R,TRAPPC13
IGF1R,SLC39A7
IGF1R,RICTOR
IGF1R,SEC24C
IGF1R,PTEN
IGF1R,TSC1
IGF1R,MTOR
IGF1R,TRAPPC12
IGF1R,YWHAZ
IGF1R,TSC2
IGF1R,MAPK1
IGF1R,RPS6KB1
IGF1R,YWHAH
IGF1R,MAPK3
IGF1R,PIK3CA
IGF1R,INS
ESR1,MAPKAPK2
ESR1,RPS6KA3
ESR1,RPS6
ESR1,TSC2
ESR1,TP53
ESR1,FOXO1
ESR1,UBE3A
ESR1,IRS1
ESR1,MTOR
ESR1,SFN
ESR1,SIRT1
ESR1,SMAD3
ESR1,MED1
ESR1,SMAD2
ESR1,RPTOR
ESR1,RPS6KA1
ESR1,PIK3CA
ESR1,IGF1R
ESR1,RUVBL2
ESR1,ESR1
ESR1,TSC1
ESR1,PTEN
ESR1,RABGEF1
ESR1,SUPT6H
ESR1,MAPK1
ESR1,PRKCSH
ESR1,YWHAQ
ESR1,TBK1
ESR1,RPS6KB1
ESR1,MAPK14
ESR1,MAPK3
ESR1,IGF1
ESR1,RPS6KB2
ESR1,STK11
ESR1,MAPK11
ESR1,GRB2
ESR1,INS
ESR1,FOXO3
SFN,TP53
SFN,YWHAZ
SFN,YWHAQ
SFN,YWHAG
SFN,SFN
SFN,YWHAB
SFN,TSC2
SFN,YWHAH
SFN,YWHAE
SFN,TSC1
CCNT1,ESR1
CCNT1,NTRK1
CCNT1,SNW1
CCNT1,TSC2
CCNT1,CCNT1
CCNT1,SMAD3
CCNT1,SMAD2
CCNT1,CTDP1
CCNT1,SUPT6H
P4HA2,TSC2
P4HA2,RICTOR
P4HA2,P4HA3
YWHAQ,YWHAZ
IRS1,SIRT1
IRS1,PIK3CA
IRS1,YWHAB
IRS1,SMAD3
IRS1,YWHAZ
IRS1,RPTOR
IRS1,SFN
IRS1,YWHAH
IRS1,RPS6KB1
IRS1,RNF123
IRS1,YWHAE
IRS1,MTOR
IRS1,PTK2
IRS1,YWHAQ
IRS1,IRS1
IRS1,YWHAG
IRS1,MAPK3
IRS1,PTPN11
IRS1,MAPK1
IRS1,TSC2
IRS1,RHEB
IRS1,RICTOR
IRS1,MLST8
IRS1,NTRK1
IRS1,PDPK1
IRS1,PTEN
IRS1,RPS6KB2
YWHAE,YWHAG
YWHAE,YWHAH
YWHAE,YWHAZ
YWHAE,YWHAQ
PTK2,TSC2
PTK2,RB1CC1
PTK2,TSC1
PTK2,PTPN11
PTK2,TP53
PTK2,PTK2
PTK2,TNS1
PTK2,RPS6KB1
PTK2,RAP1A
CBL,YWHAH
CBL,GRB2
CBL,PIK3CA
CBL,YWHAB
CBL,PTPN11
CBL,RABGEF1
CBL,MAPK14
CBL,PTEN
CBL,IGF1R
CBL,YWHAZ
CBL,CBL
CBL,SFN
CBL,YWHAE
CBL,PTK2
CBL,YWHAQ
CBL,IRS1
CBL,SLC39A7
CBL,TRAPPC2L
CBL,SMAD3
CBL,TRAPPC13
CBL,TSC2
CBL,NTRK1
CBL,INS
CBL,RAB5A
CBL,CD79B
CBL,RAP1A
SREBF1,SREBF1
SREBF1,TSC2
SREBF1,TP53
SREBF1,STK11
AKT1,PTEN
AKT1,IKBKB
AKT1,TP53
AKT1,PIK3CA
AKT1,STK11
AKT1,MAPKAPK2
AKT1,TSC1
AKT1,RPS6KB1
AKT1,IGF1R
AKT1,CDKN1B
AKT1,PTPN11
AKT1,MTOR
AKT1,IRS1
AKT1,MAPKAP1
AKT1,MAPK14
AKT1,TBK1
AKT1,SIRT1
AKT1,PDPK1
AKT1,NTRK1
AKT1,TBC1D7
AKT1,PKD1
AKT1,AKT1S1
AKT1,AKT3
AKT1,ESR1
AKT1,TSC2
AKT1,YWHAZ
AKT1,FOXO1
AKT1,YWHAG
AKT1,SFN
AKT1,GSK3B
AKT1,AKT1
AKT1,AKT2
AKT1,SMAD2
AKT1,RPS6KA1
AKT1,RICTOR
AKT1,EIF4EBP1
AKT1,SUPT6H
AKT1,CALM1
AKT1,RPTOR
AKT1,PTK2
AKT1,SMAD3
AKT1,CCND2
AKT1,YWHAE
AKT1,FOXO3
AKT1,NF1
AKT1,TNS1
AKT1,MAPK1
AKT1,CCND1
AKT1,YWHAH
AKT1,LAMTOR5
AKT1,POU5F1
AKT1,RHEB
AKT1,RRAGB
AKT1,MAPK3
AKT1,LAMTOR1
AKT1,DEPTOR
AKT1,IGF1
AKT1,RPS6KB2
AKT1,MAPK11
AKT1,CAV1
AKT1,LAMTOR4
AKT1,SREBF1
AKT1,LAMTOR2
AKT1,RRAGD
AKT1,YWHAB
AKT1,RRAGC
AKT1,BMI1
AKT1,RPS6
AKT1,RRAGA
AKT1,YWHAQ
AKT1,GRB2
AKT1,SLC38A9
AKT1,INS
AKT1,PRR5
AKT1,LAMTOR3
AKT1,EIF4E
AKT1,MLST8
AKT1,CBY1
AKT2,NTRK1
AKT2,PRKAB1
AKT2,ESR1
AKT2,EIF4EBP1
AKT2,PDPK1
AKT2,GSK3B
AKT2,TNS1
AKT2,SIRT1
AKT2,MAPK1
AKT2,TSC2
AKT2,RPS6KB1
AKT2,CDKN1B
AKT2,MAPK14
AKT2,RHEB
AKT2,MAPK3
AKT2,AKT3
AKT2,PIK3CA
AKT2,MAPKAP1
AKT2,TP53
AKT2,DEPTOR
AKT2,RICTOR
AKT2,TSC1
AKT2,IRS1
AKT2,RPTOR
AKT2,RPS6KB2
AKT2,MAPK11
AKT2,MTOR
AKT2,PTEN
AKT2,FOXO1
AKT2,MLST8
AKT2,PRR5
AKT2,CBY1
AKT2,INS
AKT2,TBC1D7
AKT2,FOXO3
AKT2,IKBKB
SNW1,SNW1
SNW1,TP53
SNW1,TSC2
PAM,TSC2
PAM,TSC1
PIK3CA,SMAD3
PIK3CA,SMAD2
PIK3CA,SGK1
PIK3CA,STK11
PIK3CA,YWHAH
