"node","type"
"32603.GB_HHV6U",0
"32603.GL_HHV6U",0
"32603.GCVK_HHV6U",0
"32603.ICP27_HHV6U",0
"32603.U95_HHV6U",0
"MYO5C",1
"MYO5B",1
"SF3B2",1
"CDC25C",1
"SRSF7",1
"MYO5A",1
"NDUFA13",1
"regulation of cyclin-dependent protein serine/threonine kinase activity",6
"G2/M transition of mitotic cell cycle",6
"microfilament motor activity",6
"regulation of alternative mRNA splicing, via spliceosome",6
"mRNA splicing, via spliceosome",6
"ruffle",6
"photoreceptor outer segment",6
"renal water homeostasis",6
"RNA binding",6
"NADH dehydrogenase activity",6
"protein tyrosine phosphatase activity",6
"calcium ion binding",6
"protein binding",6
"calmodulin binding",6
"ATP binding",6
"cell",6
"nucleus",6
"nucleoplasm",6
"spliceosomal complex",6
"U2-type spliceosomal complex",6
"U2 snRNP",6
"U12-type spliceosomal complex",6
"cytoplasm",6
"mitochondrion",6
"mitochondrial inner membrane",6
"mitochondrial respirasome",6
"mitochondrial respiratory chain complex I",6
"lysosome",6
"early endosome",6
"late endosome",6
"peroxisome",6
"endoplasmic reticulum",6
"smooth endoplasmic reticulum",6
"Golgi apparatus",6
"cytosol",6
"intermediate filament",6
"actin filament",6
"mitochondrial electron transport, NADH to ubiquinone",6
"mRNA processing",6
"RNA export from nucleus",6
"mRNA export from nucleus",6
"exocytosis",6
"post-Golgi vesicle-mediated transport",6
"DNA damage response, signal transduction by p53 class mediator resulting in cell cycle arrest",6
"actin filament organization",6
"regulation of mitotic nuclear division",6
"chemical synaptic transmission",6
"visual perception",6
"NADH dehydrogenase (ubiquinone) activity",6
"zinc ion binding",6
"cell population proliferation",6
"RNA splicing",6
"positive regulation of peptidase activity",6
"positive regulation of G2/M transition of mitotic cell cycle",6
"protein transport",6
"actin cytoskeleton",6
"membrane",6
"integral component of membrane",6
"viral process",6
"vesicle-mediated transport",6
"endosomal transport",6
"myosin complex",6
"unconventional myosin complex",6
"nuclear speck",6
"Rab GTPase binding",6
"protein kinase binding",6
"protein domain specific binding",6
"actin filament-based movement",6
"vesicle transport along actin filament",6
"insulin secretion",6
"negative regulation of cell growth",6
"melanocyte differentiation",6
"growth cone",6
"cytoplasmic vesicle membrane",6
"actin-dependent ATPase activity",6
"mRNA 3'-end processing",6
"regulation of inositol 1,4,5-trisphosphate-sensitive calcium-release channel activity",6
"mitochondrial membrane",6
"vesicle",6
"locomotion involved in locomotory behavior",6
"secretory granule localization",6
"melanosome transport",6
"filopodium tip",6
"insulin-responsive compartment",6
"cellular response to insulin stimulus",6
"mitochondrial respiratory chain complex I assembly",6
"protein-containing complex",6
"peptidyl-tyrosine dephosphorylation",6
"microtubule plus-end",6
"cellular response to interferon-beta",6
"melanin biosynthetic process",6
"melanosome",6
"odontogenesis",6
"myelination",6
"actomyosin",6
"long-chain fatty acid biosynthetic process",6
"identical protein binding",6
"neuron projection",6
"neuronal cell body",6
"positive regulation of cysteine-type endopeptidase activity involved in apoptotic process",6
"protein insertion into mitochondrial inner membrane",6
"apical cortex",6
"mRNA cis splicing, via spliceosome",6
"positive regulation of protein catabolic process",6
"negative regulation of transcription, DNA-templated",6
"positive regulation of mitotic cell cycle",6
"negative regulation of mRNA splicing, via spliceosome",6
"hair follicle maturation",6
"WW domain binding",6
"synapse organization",6
"actin filament binding",6
"cell division",6
"recycling endosome",6
"extracellular exosome",6
"U2-type precatalytic spliceosome",6
"precatalytic spliceosome",6
"catalytic step 2 spliceosome",6
"cellular response to retinoic acid",6
"reactive oxygen species metabolic process",6
"protein localization to plasma membrane",6
"apoptotic signaling pathway",6
"extrinsic apoptotic signaling pathway",6
"disordered domain specific binding",6
"postsynapse",6
"glutamatergic synapse",6
"establishment of endoplasmic reticulum localization to postsynapse",6
"regulation of postsynaptic cytosolic calcium ion concentration",6
"positive regulation of G2/MI transition of meiotic cell cycle",6
"regulation of Golgi organization",6
"cellular response to leukemia inhibitory factor",6
"negative regulation of intrinsic apoptotic signaling pathway",6
