"V1","V2"
"BRF1","RNA polymerase III preinitiation complex assembly"
"BRF1","metal ion binding"
"BRF1","positive regulation of transcription by RNA polymerase III"
"BRF1","TBP-class protein binding"
"BRF1","tRNA transcription"
"BRF1","rRNA transcription"
"BRF1","transcription factor binding"
"BRF1","transcription initiation from RNA polymerase III promoter"
"BRF1","transcription by RNA polymerase III"
"BRF1","DNA-templated transcription, initiation"
"BRF1","nucleoplasm"
"BRF1","nucleus"
"BRF1","protein binding"
"BRF1","RNA polymerase III type 3 promoter sequence-specific DNA binding"
"BRF1","transcription factor TFIIIB complex"
"POU2F2","cell maturation"
"POU2F2","positive regulation of transcription by RNA polymerase II"
"POU2F2","sequence-specific DNA binding"
"POU2F2","intracellular membrane-bounded organelle"
"POU2F2","snRNA transcription by RNA polymerase II"
"POU2F2","cell differentiation"
"POU2F2","protein domain specific binding"
"POU2F2","humoral immune response"
"POU2F2","transcription by RNA polymerase II"
"POU2F2","cytoplasm"
"POU2F2","nucleoplasm"
"POU2F2","nucleus"
"POU2F2","DNA-binding transcription factor activity"
"POU2F2","immunoglobulin secretion involved in immune response"
"POU2F2","mature B cell differentiation"
"POU2F2","DNA-binding transcription activator activity, RNA polymerase II-specific"
"POU2F2","DNA-binding transcription factor activity, RNA polymerase II-specific"
"POU2F2","RNA polymerase II cis-regulatory region sequence-specific DNA binding"
"POU2F2","nuclear chromatin"
"TAF1L","regulation of signal transduction by p53 class mediator"
"TAF1L","lysine-acetylated histone binding"
"TAF1L","positive regulation of transcription by RNA polymerase II"
"TAF1L","positive regulation of transcription, DNA-templated"
"TAF1L","sequence-specific DNA binding"
"TAF1L","TBP-class protein binding"
"TAF1L","histone acetylation"
"TAF1L","male meiotic nuclear division"
"TAF1L","protein phosphorylation"
"TAF1L","transcription initiation from RNA polymerase II promoter"
"TAF1L","transcription by RNA polymerase II"
"TAF1L","regulation of transcription by RNA polymerase II"
"TAF1L","transcription factor TFIID complex"
"TAF1L","nucleoplasm"
"TAF1L","cellular_component"
"TAF1L","protein serine/threonine kinase activity"
"TAF1L","histone acetyltransferase activity"
"MYO5A","regulation of Golgi organization"
"MYO5A","regulation of postsynaptic cytosolic calcium ion concentration"
"MYO5A","establishment of endoplasmic reticulum localization to postsynapse"
"MYO5A","glutamatergic synapse"
"MYO5A","postsynapse"
"MYO5A","disordered domain specific binding"
"MYO5A","protein localization to plasma membrane"
"MYO5A","extracellular exosome"
"MYO5A","recycling endosome"
"MYO5A","actin filament binding"
"MYO5A","synapse organization"
"MYO5A","hair follicle maturation"
"MYO5A","neuronal cell body"
"MYO5A","neuron projection"
"MYO5A","identical protein binding"
"MYO5A","long-chain fatty acid biosynthetic process"
"MYO5A","actomyosin"
"MYO5A","myelination"
"MYO5A","odontogenesis"
"MYO5A","melanosome"
"MYO5A","melanin biosynthetic process"
"MYO5A","microtubule plus-end"
"MYO5A","cellular response to insulin stimulus"
"MYO5A","insulin-responsive compartment"
"MYO5A","filopodium tip"
"MYO5A","melanosome transport"
"MYO5A","secretory granule localization"
"MYO5A","locomotion involved in locomotory behavior"
"MYO5A","vesicle"
"MYO5A","regulation of inositol 1,4,5-trisphosphate-sensitive calcium-release channel activity"
"MYO5A","actin-dependent ATPase activity"
"MYO5A","growth cone"
"MYO5A","melanocyte differentiation"
"MYO5A","insulin secretion"
"MYO5A","vesicle transport along actin filament"
"MYO5A","actin filament-based movement"
"MYO5A","Rab GTPase binding"
"MYO5A","unconventional myosin complex"
"MYO5A","vesicle-mediated transport"
"MYO5A","membrane"
"MYO5A","actin cytoskeleton"
"MYO5A","visual perception"
"MYO5A","chemical synaptic transmission"
"MYO5A","actin filament organization"
"MYO5A","post-Golgi vesicle-mediated transport"
"MYO5A","exocytosis"
"MYO5A","actin filament"
"MYO5A","intermediate filament"
"MYO5A","cytosol"
"MYO5A","Golgi apparatus"
"MYO5A","smooth endoplasmic reticulum"
"MYO5A","endoplasmic reticulum"
"MYO5A","peroxisome"
"MYO5A","late endosome"
"MYO5A","early endosome"
"MYO5A","lysosome"
"MYO5A","cytoplasm"
"MYO5A","cell"
"MYO5A","ATP binding"
"MYO5A","calmodulin binding"
"MYO5A","protein binding"
"MYO5A","calcium ion binding"
"MYO5A","RNA binding"
"MYO5A","photoreceptor outer segment"
"MYO5A","ruffle"
"MYO5A","microfilament motor activity"
"DDX39B","positive regulation of DNA biosynthetic process"
"DDX39B","negative regulation of DNA damage checkpoint"
"DDX39B","positive regulation of vascular smooth muscle cell proliferation"
"DDX39B","positive regulation of cell growth involved in cardiac muscle cell development"
"DDX39B","viral mRNA export from host cell nucleus"
"DDX39B","positive regulation of translation"
"DDX39B","protein-containing complex binding"
"DDX39B","ATP-dependent protein binding"
"DDX39B","identical protein binding"
"DDX39B","positive regulation of DNA-templated transcription, elongation"
"DDX39B","mRNA 3'-end processing"
"DDX39B","U4 snRNA binding"
"DDX39B","U6 snRNA binding"
"DDX39B","ATPase activity"
"DDX39B","nuclear speck"
"DDX39B","nuclear matrix"
"DDX39B","RNA secondary structure unwinding"
"DDX39B","RNA splicing"
"DDX39B","RNA-dependent ATPase activity"
"DDX39B","mRNA export from nucleus"
"DDX39B","RNA export from nucleus"
"DDX39B","cytoplasm"
"DDX39B","U6 snRNP"
"DDX39B","U4 snRNP"
"DDX39B","spliceosomal complex"
"DDX39B","nucleoplasm"
"DDX39B","nucleus"
"DDX39B","ATP binding"
"DDX39B","protein binding"
"DDX39B","RNA helicase activity"
"DDX39B","RNA binding"
"DDX39B","liver development"
"DDX39B","mRNA splicing, via spliceosome"
"DDX39B","transcription export complex"
"DDX39B","spliceosomal complex assembly"
"CDK1","positive regulation of mitochondrial ATP synthesis coupled electron transport"
"CDK1","regulation of mitotic cell cycle phase transition"
"CDK1","positive regulation of protein localization to nucleus"
"CDK1","ciliary basal body-plasma membrane docking"
"CDK1","cyclin-dependent protein kinase activity"
"CDK1","cyclin B1-CDK1 complex"
"CDK1","Golgi disassembly"
"CDK1","mitotic spindle"
"CDK1","cellular response to hydrogen peroxide"
"CDK1","extracellular exosome"
"CDK1","protein-containing complex assembly"
"CDK1","positive regulation of cardiac muscle cell proliferation"
"CDK1","ventricular cardiac muscle cell development"
"CDK1","cell division"
"CDK1","response to axon injury"
"CDK1","rhythmic process"
"CDK1","viral entry into host cell"
"CDK1","response to copper ion"
"CDK1","response to cadmium ion"
"CDK1","regulation of embryonic development"
"CDK1","positive regulation of DNA replication"
"CDK1","response to ethanol"
"CDK1","negative regulation of apoptotic process"
"CDK1","regulation of circadian rhythm"
"CDK1","positive regulation of protein import into nucleus"
"CDK1","histone kinase activity"
"CDK1","protein localization to kinetochore"
"CDK1","anaphase-promoting complex-dependent catabolic process"
"CDK1","animal organ regeneration"
"CDK1","epithelial cell differentiation"
"CDK1","Hsp70 protein binding"
"CDK1","midbody"
"CDK1","cyclin binding"
"CDK1","chromosome condensation"
"CDK1","peptidyl-threonine phosphorylation"
"CDK1","peptidyl-serine phosphorylation"
"CDK1","protein deubiquitination"
"CDK1","histone phosphorylation"
"CDK1","cell migration"
"CDK1","membrane"
"CDK1","response to activity"
"CDK1","response to amine"
"CDK1","response to organic cyclic compound"
