source,target
ACTN2,GPER1
ACTN2,GNG8
ACTN2,POLE4
ACTN2,RPS17
ACTN2,RPS6KB1
ACTN2,RPS2
ACTN2,EPRS
ACTN2,PPP2R5E
ACTN2,ESR2
ACTN2,IQGAP1
ACTN2,ERBB4
ACTN2,SH3KBP1
ACTN2,OTX1
ACTN2,RBX1
ACTN2,MYC
ACTN2,KRAS
ACTN2,TRIM25
ACTN2,NDC80
ACTN2,CHRM2
ACTN2,RHOA
ACTN2,RLN3
ACTN2,TACC3
ACTN2,MOV10
ACTN2,RNF2
PML,VCP
PML,UBE3A
PML,SH3GL2
PML,ANAPC10
PML,GNG13
PML,TP53
PML,RPA1
PML,CACYBP
PML,ARID4B
PML,PTEN
PML,GNG8
PML,SMAD3
PML,HEBP1
PML,MRPL22
PML,CUL1
PML,GNG12
PML,ELAVL1
PML,SEC24B
PML,RIOK1
PML,FOXB1
PML,SMC1A
PML,FOXA1
PML,MCM2
PML,CWC22
XRN1,TMED2
XRN1,TRIM27
XRN1,EPRS
XRN1,NT5E
XRN1,TRIM41
XRN1,UBC
XRN1,UBE2V1
XRN1,UBB
XRN1,RPS24
XRN1,TRIM25
XRN1,SDC1
XRN1,FBXW10
XRN1,TPD52
XRN1,CDK1
XRN1,PRELP
XRN1,ASB18
APP,P2RY4
APP,UBQLN2
APP,HIST1H2AD
APP,SLC2A8
APP,TUBA4A
APP,UBE3A
APP,GBP1
APP,SPTAN1
APP,HSP90AA1
APP,HSPA5
APP,MRPS27
APP,CUL3
APP,EXOSC4
APP,GNG11
APP,MYC
APP,UBE2J1
APP,SMC1A
APP,MRPL32
APP,PSMA1
APP,HIST2H2AC
APP,FAR2
APP,RPS11
APP,TRIM14
APP,ZMAT5
APP,CEP57
APP,HEBP1
APP,DIMT1
APP,MAPRE1
APP,ANXA1
APP,NUDT21
APP,NDUFS2
APP,HIST2H3A
APP,PIK3R2
APP,PTPN6
APP,AVPR1A
APP,CWC22
APP,KNG1
APP,SRSF6
APP,SAMD4B
APP,IARS
APP,RNF2
APP,RPS27
APP,SERPING1
APP,CDK2
APP,EPRS
APP,VIPR2
APP,AURKA
APP,PA2G4
APP,RPL28
APP,OCRL
APP,EIF5B
APP,SYNCRIP
APP,HSPA8
APP,M6PR
APP,MTA1
APP,TRA
APP,SRRM2
APP,IFI16
APP,SUZ12
APP,COTL1
APP,CNR1
APP,TUBA1A
APP,TAS1R3
APP,TYK2
APP,SF3A2
APP,PDHA2
APP,BAIAP2
APP,MECOM
APP,NDUFA3
APP,SH3KBP1
APP,SEC61B
APP,VTN
APP,PML
APP,R3HDM2
APP,UNC93B1
APP,TRIM50
APP,REEP4
APP,AAR2
APP,KDM1A
APP,WDR77
APP,ASXL1
APP,SNW1
APP,ARID4B
APP,CUL4B
APP,FBXL18
APP,TRIM28
APP,RPL9
APP,APLNR
APP,DUSP13
APP,SCN9A
APP,MAGEA11
APP,MOV10
APP,YWHAB
APP,ASB18
APP,GLIS2
APP,APP
APP,RBBP5
APP,XPO1
APP,UQCRC1
APP,UTS2
APP,TSC22D3
APP,PDS5B
APP,GNAT3
APP,RPS2
APP,ENY2
APP,UBE3D
APP,RPS16
APP,HSD17B10
APP,DYNC1H1
APP,CUL1
APP,ILF2
APP,HIF1A
APP,NCBP1
APP,FBXL13
APP,HGS
APP,HIST1H2BD
APP,CHERP
APP,RBM28
APP,KAT2A
APP,DUSP5
APP,RTP1
APP,TRIM32
APP,SSSCA1
APP,EGFR
APP,PFDN2
APP,IGFBP7
APP,ZBTB16
APP,ESR2
APP,RPS28
APP,TRIM41
APP,COPB1
APP,NUP214
APP,CCR10
APP,BUB1B
APP,RPL22L1
APP,IMP4
APP,CLP1
APP,CCT7
APP,CKB
APP,MED14
APP,CDC42
APP,RFC3
APP,PROC
APP,GPER1
APP,GNGT2
APP,NPB
APP,UBC
APP,BTBD1
APP,MRPS7
APP,HNRNPA1
APP,SKP1
APP,NPHP1
APP,VWF
APP,SMAD3
APP,RABGGTB
APP,KRTAP10-8
APP,HLA-DRB1
APP,CD2BP2
APP,NAE1
APP,SKIV2L2
APP,REEP3
APP,KLHL13
APP,ERBB4
APP,BTBD6
APP,RHOU
APP,UBE2A
APP,ZNF217
APP,RPS24
APP,RACGAP1
APP,PSMB4
APP,BZW2
APP,NDC80
APP,ACO2
APP,RAC3
APP,NT5E
APP,CXCL3
APP,TMPO
APP,SIRT7
APP,SDC1
APP,DDX24
APP,UNK
APP,UBA5
APP,LARP7
APP,TUBA1C
APP,TCF7L2
APP,CYBB
APP,TMOD2
APP,RIOK1
APP,DISC1
APP,EAF1
APP,RBX1
APP,TACC3
APP,VAMP8
APP,WRN
APP,HNRNPM
APP,NR2C2
APP,RHOQ
APP,MRPL37
APP,GNG8
APP,SF1
APP,TAS2R38
APP,SMAD2
APP,VCP
APP,THBS1
APP,RPA1
APP,UBB
APP,RPS27A
APP,FZD4
APP,FAU
APP,PPM1G
APP,PLCB2
APP,MCM2
APP,ACTA1
APP,DDX5
APP,FBXO7
GRB2,TACR2
GRB2,RPS11
GRB2,FOXP1
GRB2,RAC1
GRB2,IL4
GRB2,GNG11
GRB2,ALYREF
GRB2,PPP1CC
GRB2,HERC6
GRB2,VMP1
GRB2,TRIM50
GRB2,CANX
GRB2,NTRK1
GRB2,NUP107
GRB2,HSP90AA1
GRB2,RAE1
GRB2,CNR1
GRB2,HNRNPA1
GRB2,RBBP6
GRB2,RC3H2
GRB2,BARD1
GRB2,UBA3
GRB2,UNC45A
GRB2,MVB12A
GRB2,TOP2A
GRB2,RPS4X
GRB2,CUL1
GRB2,LPAR3
GRB2,UBC
GRB2,DISC1
GRB2,MAGOH
GRB2,DNAJC7
GRB2,ATP5A1
GRB2,HIST1H3A
GRB2,UQCRC1
GRB2,CAT
GRB2,SHC1
GRB2,OCRL
GRB2,VNN1
GRB2,PTPN2
GRB2,RPL9
GRB2,HNRNPA2B1
GRB2,MCM2
