"V1","V2"
"PPP2R5D","protein phosphatase activator activity"
"PPP2R5D","regulation of phosphoprotein phosphatase activity"
"PPP2R5D","positive regulation of protein dephosphorylation"
"PPP2R5D","regulation of protein autophosphorylation"
"PPP2R5D","protein phosphatase regulator activity"
"PPP2R5D","negative regulation of peptidyl-threonine phosphorylation"
"PPP2R5D","nervous system development"
"PPP2R5D","signal transduction"
"PPP2R5D","protein dephosphorylation"
"PPP2R5D","cytosol"
"PPP2R5D","nucleoplasm"
"PPP2R5D","nucleus"
"PPP2R5D","protein binding"
"PPP2R5D","phosphoprotein phosphatase activity"
"PPP2R5D","protein phosphatase type 2A complex"
"PPP2R5C","protein phosphatase activator activity"
"PPP2R5C","negative regulation of protein kinase B signaling"
"PPP2R5C","regulation of phosphoprotein phosphatase activity"
"PPP2R5C","proteasome-mediated ubiquitin-dependent protein catabolic process"
"PPP2R5C","regulation of protein autophosphorylation"
"PPP2R5C","protein phosphatase regulator activity"
"PPP2R5C","regulation of phosphatidylinositol 3-kinase signaling"
"PPP2R5C","negative regulation of cell population proliferation"
"PPP2R5C","signal transduction"
"PPP2R5C","protein dephosphorylation"
"PPP2R5C","cytosol"
"PPP2R5C","Golgi apparatus"
"PPP2R5C","nucleoplasm"
"PPP2R5C","nucleus"
"PPP2R5C","protein binding"
"PPP2R5C","chromosome, centromeric region"
"PPP2R5C","protein phosphatase type 2A complex"
"PPP2R5C","PPP2R5D"
"IL10","negative regulation of endothelial cell apoptotic process"
"IL10","positive regulation of vascular smooth muscle cell proliferation"
"IL10","negative regulation of vascular smooth muscle cell proliferation"
"IL10","negative regulation of sensory perception of pain"
"IL10","positive regulation of sprouting angiogenesis"
"IL10","regulation of complement-dependent cytotoxicity"
"IL10","negative regulation of hydrogen peroxide-induced neuron death"
"IL10","regulation of response to wounding"
"IL10","positive regulation of pri-miRNA transcription by RNA polymerase II"
"IL10","liver regeneration"
"IL10","endothelial cell apoptotic process"
"IL10","negative regulation of chemokine (C-C motif) ligand 5 production"
"IL10","cellular response to estradiol stimulus"
"IL10","cellular response to lipopolysaccharide"
"IL10","branching involved in labyrinthine layer morphogenesis"
"IL10","negative regulation of cytokine activity"
"IL10","response to glucocorticoid"
"IL10","positive regulation of DNA-binding transcription factor activity"
"IL10","negative regulation of membrane protein ectodomain proteolysis"
