source,target
FLNC,VCAM1
FLNC,RNF4
FLNC,SPDL1
FLNC,MTDH
FLNC,NUAK2
FLNC,MCM5
FLNC,OBSL1
FLNC,MYC
FLNC,MCM2
FLNC,MECOM
FLNC,PHB
FLNC,NUP88
FLNC,IQCB1
FLNC,FN1
FLNC,RPS6KA2
FLNC,NPM1
FLNC,NUP133
FLNC,PSMD13
FLNC,PRKCZ
FLNC,WDR77
FLNC,TP63
FLNC,PSMD3
FLNC,PSMD12
FLNC,RNF31
FLNC,WIPI2
FLNC,PSMC4
FLNC,PRKAB2
FLNC,HSPB2
FLNC,SRSF9
FLNC,IKBKB
FLNC,USP14
FLNC,ITGAV
FLNC,PAK1
FLNC,ITGB3
PML,SYNE2
PML,RANBP2
PML,USP7
PML,RNF4
PML,SUMO3
PML,RARA
PML,RBX1
PML,TRIM22
PML,RAD51
PML,UBE2I
PML,TP53
PML,PSME3
PML,SIRT1
PML,TRIB3
PML,RPL11
PML,TCTN3
PML,SP1
PML,PYCARD
PML,RB1
PML,SETDB1
PML,UHRF1
PML,POLR2E
PML,TERF2IP
PML,TERT
PML,SIN3A
PML,TRIM25
PML,SKP1
PML,VDAC2
PML,TP63
PML,SRF
PML,SF1
PML,SUZ12
PML,YAP1
PML,STAT1
PML,STAT3
PML,SH3GL1
PML,UBE3A
PML,SMARCA4
PML,RELA
PML,PML
PML,TOP2B
PML,PSMA3
PML,SQSTM1
PML,TRIM27
PML,PPARGC1A
PML,SMAD3
PML,RXRA
PML,RPL5
PML,RNF123
PML,RNF111
PML,STAT2
PML,PPARG
PML,SP3
PML,SMAD2
PML,TOMM20
PML,RBCK1
PML,TGFB1
PML,TGFB3
PML,TRIM21
PML,RPTOR
PML,TRIM29
PML,RAE1
PML,TGFBR2
PML,TGFBR1
PML,POM121
PML,TPR
PML,TRIM2
PML,UBC
PML,VCAM1
PML,POM121C
PML,UBA52
PML,TRIM10
PML,TRIM17
PML,PTEN
PML,UBB
PML,TP73
PML,RPS27A
PML,TRIM14
RPA2,RPL15
RPA2,RPLP1
RPA2,SFPQ
RPA2,RPLP0
RPA2,TUBA4A
RPA2,VCP
RPA2,TUBB4B
RPA2,STAT3
RPA2,RPL6
RPA2,UBE2A
RPA2,RPL19
RPA2,XRN1
RPA2,UBC
RPA2,TUBB
RPA2,RPL7
RPA2,SLFN11
RPA2,SMC1A
RPA2,SNAI1
RPA2,SPTAN1
RPA2,TXNDC5
RPA2,TERF2
RPA2,SMC3
RPA2,RPS8
RPA2,TPX2
RPA2,SMARCC2
RPA2,SKIV2L2
RPA2,TLE1
RPA2,RPL10L
RPA2,RPA3
RPA2,RUVBL2
RPA2,XRCC1
RPA2,SF3B3
