"node","type"
"11613.NSS_TSWV1",0
"GTF2H1",1
"regulation of cyclin-dependent protein serine/threonine kinase activity",6
"transcription factor TFIIH core complex",6
"nucleotide-excision repair, DNA duplex unwinding",6
"chromatin binding",6
"protein kinase activity",6
"protein binding",6
"nucleoplasm",6
"transcription factor TFIIH holo complex",6
"DNA repair",6
"transcription-coupled nucleotide-excision repair",6
"nucleotide-excision repair, preincision complex stabilization",6
"nucleotide-excision repair, preincision complex assembly",6
"nucleotide-excision repair, DNA incision, 3'-to lesion",6
"nucleotide-excision repair, DNA incision, 5'-to lesion",6
"transcription by RNA polymerase I",6
"transcription initiation from RNA polymerase I promoter",6
"transcription elongation from RNA polymerase I promoter",6
"termination of RNA polymerase I transcription",6
"transcription by RNA polymerase II",6
"transcription initiation from RNA polymerase II promoter",6
"transcription elongation from RNA polymerase II promoter",6
"7-methylguanosine mRNA capping",6
"DNA-dependent ATPase activity",6
"RNA polymerase II CTD heptapeptide repeat kinase activity",6
"nucleotide-excision repair, DNA incision",6
"positive regulation of transcription by RNA polymerase II",6
"phosphorylation of RNA polymerase II C-terminal domain",6
"global genome nucleotide-excision repair",6
