source,target
FLNC,VCAM1
FLNC,RNF4
FLNC,SPDL1
FLNC,MTDH
FLNC,MCM5
FLNC,OBSL1
FLNC,MYC
FLNC,MCM2
FLNC,MECOM
FLNC,PHB
FLNC,NUP88
FLNC,FN1
FLNC,NPM1
FLNC,NUP133
FLNC,PRKCZ
FLNC,RAPGEF2
FLNC,WDR77
FLNC,SF3A3
FLNC,SIRT7
FLNC,PSMC4
FLNC,PRKAB2
FLNC,HSPB2
FLNC,SRSF9
FLNC,KCND2
FLNC,ITGB8
PML,RANBP2
PML,RNF4
PML,SUMO3
PML,TET2
PML,SUMO2
PML,RBX1
PML,TRIM22
PML,TP53
PML,SIRT1
PML,RPL11
PML,RUNX1
PML,SP1
PML,RB1
PML,POLR2E
PML,TERT
PML,TRIM25
PML,TP53BP1
PML,SKP1
PML,VDAC2
PML,SRF
PML,YAP1
PML,STAT1
PML,STAT3
PML,TUBA3C
PML,RFC4
PML,SLC1A2
PML,RELA
PML,PML
PML,PSMA3
PML,SQSTM1
PML,TRIM27
PML,SMAD3
PML,RPL5
PML,RNF123
PML,PPARG
PML,SMAD2
PML,TGFB1
PML,RPTOR
PML,RAE1
PML,POM121
PML,TPR
PML,UBC
PML,VCAM1
PML,POM121C
PML,UBA52
PML,PTEN
PML,UBB
PML,RPS27A
PML,TRIM14
STAT3,TRAF6
STAT3,TRIM28
STAT3,TRIM25
STAT3,STMN1
STAT3,STAT3
STAT3,SYK
STAT3,ZC3H7A
STAT3,TGFB1
STAT3,TNF
STAT3,VCAM1
STAT3,VIM
STAT3,TP53
STAT3,TCP1
STAT3,YES1
XRN1,ZC3H7A
XRN1,XRN2
ALDOA,GAPDH
ALDOA,FABP5
ALDOA,TERF1
ALDOA,MLH1
ALDOA,PKM
ALDOA,CUL3
ALDOA,GPX4
ALDOA,METTL14
ALDOA,TAGLN
ALDOA,FLCN
ALDOA,CFTR
ALDOA,ITGA4
ALDOA,FUS
ALDOA,CDC34
ALDOA,CFL1
ALDOA,LIG4
ALDOA,UBE2M
ALDOA,USP15
ALDOA,FKBP2
ALDOA,MYOC
ALDOA,HEXIM1
ALDOA,WDR77
ALDOA,CUL4B
ALDOA,PGK1
ALDOA,CUL2
ALDOA,HSPD1
ALDOA,SOD1
ALDOA,MDH2
ALDOA,TAGLN2
ALDOA,SUMO2
ALDOA,TRAP1
ALDOA,ATP5J
ALDOA,ATXN3
ALDOA,ASS1
ALDOA,MAP2K7
ALDOA,PCNA
ALDOA,MYC
ALDOA,HUWE1
ALDOA,FKBP7
ALDOA,NTRK1
ALDOA,BRCA1
ALDOA,HSPB2
ALDOA,KRAS
ALDOA,ESR2
ALDOA,PSMD4
ALDOA,FN1
