"V1","V2"
"IL18","positive regulation of T-helper 1 cell cytokine production"
"IL18","positive regulation of NIK/NF-kappaB signaling"
"IL18","positive regulation of neuroinflammatory response"
"IL18","positive regulation of cold-induced thermogenesis"
"IL18","cellular response to organic cyclic compound"
"IL18","triglyceride homeostasis"
"IL18","positive regulation of protein kinase B signaling"
"IL18","positive regulation of NK T cell proliferation"
"IL18","positive regulation of NF-kappaB transcription factor activity"
"IL18","positive regulation of inflammatory response"
"IL18","positive regulation of smooth muscle cell proliferation"
"IL18","positive regulation of transcription by RNA polymerase II"
"IL18","negative regulation of myoblast differentiation"
"IL18","positive regulation of T-helper 2 cell differentiation"
"IL18","interleukin-18 receptor binding"
"IL18","cholesterol homeostasis"
"IL18","positive regulation of tyrosine phosphorylation of STAT protein"
"IL18","natural killer cell mediated cytotoxicity"
"IL18","granulocyte macrophage colony-stimulating factor biosynthetic process"
"IL18","interleukin-13 biosynthetic process"
"IL18","neutrophil activation"
"IL18","positive regulation of activated T cell proliferation"
"IL18","interferon-gamma biosynthetic process"
"IL18","interleukin-2 biosynthetic process"
"IL18","type 2 immune response"
"IL18","T-helper 1 type immune response"
"IL18","chemokine biosynthetic process"
"IL18","T-helper 1 cell cytokine production"
"IL18","interleukin-18-mediated signaling pathway"
"IL18","positive regulation of tissue remodeling"
"IL18","positive regulation of natural killer cell proliferation"
"IL18","positive regulation of interleukin-17 production"
"IL18","positive regulation of interferon-gamma production"
"IL18","positive regulation of granulocyte macrophage colony-stimulating factor production"
"IL18","interleukin-6 production"
"IL18","activation of protein kinase B activity"
"IL18","lipopolysaccharide-mediated signaling pathway"
"IL18","sleep"
"IL18","regulation of cell adhesion"
"IL18","natural killer cell activation"
"IL18","cytokine-mediated signaling pathway"
"IL18","positive regulation of phosphatidylinositol 3-kinase signaling"
"IL18","positive regulation of macrophage derived foam cell differentiation"
"IL18","cell population proliferation"
"IL18","cell-cell signaling"
"IL18","inflammatory response"
"IL18","cytosol"
"IL18","extracellular space"
"IL18","extracellular region"
"IL18","protein binding"
"IL18","cytokine activity"
"IL18","angiogenesis"
"IL18","MAPK cascade"
"10276.Q77GA0_SWPV1","IL18"
"10276.Q77GA0_SWPV1","IL18"
