source,target
MAP2K4,PABPC1
MAP2K4,TRIM25
MAP2K4,SOD1
MAP2K4,POLR2H
MAP2K4,XRCC3
MAP2K4,DDX5
MAP2K4,KNTC1
MAP2K4,YWHAH
MAP2K4,UBC
MAP2K4,UBQLN4
MAP2K4,PARK2
MAP2K4,EGFR
MAP2K4,KRT9
MAP2K4,CD59
MAP2K4,HDAC11
MAP2K4,AJUBA
MAP2K4,NUDC
MAP2K4,CAMK2D
MAP2K4,WTAP
MAP2K4,SRRM2
MAP2K4,PIK3CA
MAP2K4,KLF6
MAP2K4,COG2
MAP2K4,AP1M1
MAP2K4,ERI1
MAP2K4,CCNB1
MAP2K4,GSTA2
MAP2K4,KIAA1429
GATA2,FBXW8
GATA2,NTRK1
GATA2,VCAM1
GATA2,COPS3
GATA2,EIF3E
GATA2,HIST1H3A
GATA2,GAPVD1
GATA2,BCL2L1
GATA2,UBE2H
GATA2,HSD3B2
GATA2,TOLLIP
GATA2,KBTBD13
GATA2,HNRNPA2B1
GATA2,CUL3
GATA2,TCEB2
GATA2,CUL4B
GATA2,DCTN3
GATA2,MRPS14
GATA2,HECTD2
GATA2,ASB14
GATA2,ARRB2
GATA2,PCBP1
GATA2,GPC3
GATA2,EXOSC1
PML,DYNLL1
PML,RC3H1
PML,GNG5
PML,TNRC6C
PML,REL
PML,SCO1
PML,PLS3
PML,BDKRB1
PML,CKS2
PML,AAR2
PML,ITFG1
PML,SSTR5
PML,HNRNPA1
PML,RUNX3
PML,HIST1H2BJ
PML,RPL39
PML,HNRNPA2B1
PML,RTP5
PML,KDM4B
PML,CDC5L
PML,ATP5C1
PML,VHL
PML,ENSG00000257411
PML,TERT
PML,HNRNPA3
PML,CKS1B
PML,UBE2F
PML,UBE2N
PML,SUZ12
PML,FZD8
PML,TYMS
PML,IGFBP5
PML,GRAP2
PML,CWC22
PML,ELP2
PML,AGO2
PML,RTP2
PML,TRIP12
PML,MAPK8
PML,DYNC1LI1
PML,KIF22
PML,RPS27A
PML,H2AFB1
PML,PHB
PML,EWSR1
PML,CACNG7
PML,P4HB
PML,UBE2L3
PML,HIST1H3A
PML,NOS1
PML,KIAA1429
PML,WDFY1
PML,PSMD11
PML,NUP85
PML,TRIM62
PML,UBE2M
PML,SEH1L
PML,TPM2
PML,SMURF2
PML,HEXIM1
PML,TRIM14
PML,SRSF6
PML,HSPA5
PML,POLR2I
PML,DCTN5
PML,HACE1
PML,OPRM1
PML,TAS2R30
PML,RNPS1
PML,ZWINT
RPA2,ESR2
RPA2,HSP90AA1
RPA2,COL6A3
RPA2,ASB9
RPA2,UBXN1
RPA2,VPS72
RPA2,PSMA1
RPA2,TLR3
RPA2,GSK3B
RPA2,TERF2
RPA2,RPL6
RPA2,RPL23
RPA2,DHCR7
RPA2,WWOX
RPA2,RABGGTB
RPA2,NTS
RPA2,ART3
RPA2,UBE2C
RPA2,RPL37A
RPA2,SRSF11
RPA2,TACR1
RPA2,SKP2
RPA2,FFAR4
RPA2,TANK
RPA2,PCP2
RPA2,MRPL18
RPA2,OLFM4
RPA2,HSPA1A
RPA2,XPO1
RPA2,RPS3
RPA2,DAP3
RPA2,SOCS2
RPA2,TRIM63
RPA2,RHOD
RPA2,RECQL4
RPA2,SPSB1
RPA2,PRDX3
RPA2,PRKACA
RPA2,ARCN1
RPA2,ARHGAP35
RPA2,FBXL22
RPA2,RACGAP1
RPA2,TP73
RPA2,XRCC6
RPA2,DCAF4L2
RPA2,HSP90B1
RPA2,TACR3
RPA2,RPS7
RPA2,TMEM30A
RPA2,ARRB2
RPA2,SOCS3
RPA2,USP9X
RPA2,CUL4B
RPA2,LEO1
RPA2,RNF114
RPA2,TFRC
RPA2,UBC
RPA2,RPS6KA1
RPA2,HERC3
RPA2,DVL2
RPA2,MTOR
RPA2,GNB1
RPA2,WDR5
RPA2,PGAM1
RPA2,EGFR
RPA2,TYMS
RPA2,CXCR5
RPA2,FOSL2
RPA2,MAPT
RPA2,XRN2
RPA2,SYK
RPA2,CDC16
RPA2,TIMELESS
RPA2,CDC27
RPA2,PIK3R3
RPA2,CXCL13
RPA2,KIF20A
RPA2,LAMC1
RPA2,TAS2R8
RPA2,M6PR
RPA2,TP53
RPA2,CAND1
RPA2,KIF3A
RPA2,MYBBP1A
RPA2,DPY30
RPA2,VPS37C
RPA2,PRMT5
RPA2,TRAF7
RPA2,NCALD
RPA2,GART
RPA2,OXGR1
RPA2,NEDD4
RPA2,PSME3
RPA2,FBXO17
RPA2,UBA52
RPA2,BDKRB2
RPA2,P2RY11
RPA2,LARP1
RPA2,UBB
RPA2,GSTA2
RPA2,TRIM28
RPA2,STUB1
RPA2,OBSL1
RPA2,PTGS2
RPA2,P2RY14
RPA2,SRM
RPA2,FCAR
RPA2,EAF1
RPA2,RPA3
RPA2,DCTN5
RPA2,NDUFB10
RPA2,DEFB121
RPA2,ARRB1
RPA2,STX5
RPA2,EXOSC2
RPA2,CUL1
RPA2,UBE2V1
RPA2,DRD1
RPA2,RBX1
RPA2,ERG
RPA2,DDX18
STAT3,HDGF
STAT3,PRPF8
STAT3,AIFM1
STAT3,TMEM63A
STAT3,NTRK1
STAT3,PTPN1
STAT3,YWHAG
STAT3,RFC5
STAT3,UBA52
STAT3,RHOA
STAT3,ATP2A2
STAT3,RAN
STAT3,PPP2CA
STAT3,NMUR1
STAT3,TRIM11
STAT3,YKT6
STAT3,UBE2M
STAT3,MAPK1
STAT3,FZR1
STAT3,REEP1
STAT3,MRPL13
STAT3,H2AFV
STAT3,EIF4B
STAT3,KIAA1429
STAT3,PROS1
STAT3,HNRNPC
STAT3,PRDX6
STAT3,ABCE1
STAT3,RPS13
STAT3,RNF123
STAT3,P2RY14
STAT3,FN1
STAT3,PPBP
STAT3,TCTN2
STAT3,RBL2
STAT3,KIF5A
STAT3,TAS1R2
STAT3,SPSB4
STAT3,CNR2
STAT3,MED30
