"V1","V2"
"EHMT1","regulation of signal transduction by p53 class mediator"
"EHMT1","positive regulation of cold-induced thermogenesis"
"EHMT1","C2H2 zinc finger domain binding"
"EHMT1","histone H3-K27 methylation"
"EHMT1","negative regulation of G0 to G1 transition"
"EHMT1","response to fungicide"
"EHMT1","histone H3-K9 methylation"
"EHMT1","histone methyltransferase activity (H3-K27 specific)"
"EHMT1","histone methyltransferase activity (H3-K9 specific)"
"EHMT1","regulation of embryonic development"
"EHMT1","negative regulation of transcription, DNA-templated"
"EHMT1","peptidyl-lysine dimethylation"
"EHMT1","peptidyl-lysine monomethylation"
"EHMT1","histone-lysine N-methyltransferase activity"
"EHMT1","nuclear body"
"EHMT1","histone methylation"
"EHMT1","protein-lysine N-methyltransferase activity"
"EHMT1","zinc ion binding"
"EHMT1","methyltransferase activity"
"EHMT1","chromatin organization"
"EHMT1","DNA methylation"
"EHMT1","chromosome"
"EHMT1","nucleoplasm"
"EHMT1","nucleus"
"EHMT1","protein binding"
"EHMT1","p53 binding"
"EHMT1","negative regulation of transcription by RNA polymerase II"
"CREB1","cellular response to leukemia inhibitory factor"
"CREB1","arrestin family protein binding"
"CREB1","ATF4-CREB1 transcription factor complex"
"CREB1","cellular response to insulin-like growth factor stimulus"
"CREB1","cellular response to nerve growth factor stimulus"
"CREB1","response to L-glutamate"
"CREB1","negative regulation of neuron death"
"CREB1","positive regulation of long-term synaptic potentiation"
"CREB1","cellular response to fatty acid"
"CREB1","cellular response to retinoic acid"
"CREB1","cellular response to zinc ion"
"CREB1","type I pneumocyte differentiation"
"CREB1","lung saccule development"
"CREB1","regulation of glial cell proliferation"
"CREB1","positive regulation of cardiac muscle tissue development"
"CREB1","protein stabilization"
"CREB1","regulation of fibroblast proliferation"
"CREB1","positive regulation of lipid biosynthetic process"
"CREB1","positive regulation of hormone secretion"
"CREB1","positive regulation of transcription by RNA polymerase II"
"CREB1","positive regulation of RNA polymerase II transcriptional preinitiation complex assembly"
"CREB1","positive regulation of transcription, DNA-templated"
"CREB1","positive regulation of osteoclast differentiation"
"CREB1","positive regulation of fat cell differentiation"
"CREB1","positive regulation of apoptotic process"
"CREB1","identical protein binding"
"CREB1","regulation of circadian rhythm"
"CREB1","positive regulation of multicellular organism growth"
"CREB1","cellular response to platelet-derived growth factor stimulus"
"CREB1","cellular response to hepatocyte growth factor stimulus"
"CREB1","cAMP response element binding"
"CREB1","response to nicotine"
"CREB1","histone acetyltransferase binding"
"CREB1","chemotaxis to arachidonic acid"
"CREB1","response to glucagon"
"CREB1","secretory granule organization"
"CREB1","positive regulation of transforming growth factor beta3 production"
"CREB1","Hsp70 protein binding"
"CREB1","axon"
"CREB1","pituitary gland development"
"CREB1","enzyme binding"
"CREB1","viral process"
"CREB1","response to activity"
"CREB1","negative regulation of transcription by competitive promoter binding"
"CREB1","response to organic substance"
"CREB1","visual learning"
"CREB1","regulation of cell size"
