source,target
PML,TP53
PML,SFXN3
PML,SENP1
PML,ZMYM2
PML,SIN3A
PML,TRIM25
PML,TP53BP1
PML,VDAC2
PML,TP63
PML,SUZ12
PML,YAP1
PML,STAT1
PML,RFC4
PML,RELA
PML,PML
PML,SQSTM1
PML,UQCRQ
PML,RNF123
PML,STAT2
PML,TOMM20
PML,UBC
PML,RBBP4
PML,UBA52
PML,UBB
PML,TP73
PML,RPS27A
PML,TRIM14
RPA2,VCP
RPA2,UBC
RPA2,TOP2A
RPA2,SMC1A
RPA2,SPTAN1
RPA2,WDR33
RPA2,SMC3
RPA2,TP53BP1
RPA2,RPA3
RPA2,YTHDF3
RPA2,YAP1
RPA2,TP53
RPA2,XRCC6
RPA2,SNRNP200
RPA2,XRCC5
RPA2,ZNF598
RPA2,TARDBP
RPA2,RPS27A
RPA2,USP43
RPA2,UBE2L6
RPA2,UBB
RPA2,UBE2N
RPA2,TRIM25
RPA2,UBA7
RPA2,USP10
RPA2,UBA52
RPA2,XRCC3
ALDOA,GAPDH
ALDOA,ATP6V1E1
ALDOA,SUZ12
ALDOA,PKM
ALDOA,CUL3
ALDOA,DNM1L
ALDOA,TAGLN
ALDOA,CFTR
ALDOA,CFL1
ALDOA,CUL4B
ALDOA,PGK1
ALDOA,CUL2
ALDOA,HSPD1
ALDOA,ATP5J
ALDOA,ATXN3
ALDOA,PCNA
ALDOA,MYC
ALDOA,HUWE1
ALDOA,SOAT1
ALDOA,NTRK1
ALDOA,BRAF
ALDOA,ESR2
ALDOA,COX4I1
ALDOA,APEX1
ALDOA,IFNA4
ALDOA,HSP90AB1
ALDOA,TRIM25
ALDOA,EGFR
ALDOA,KIAA1429
ALDOA,RECQL4
ALDOA,HDAC5
ALDOA,LDHA
ALDOA,NCSTN
ALDOA,HSD17B10
ALDOA,ENO1
ALDOA,ATF2
ALDOA,ISG15
ALDOA,TKT
ALDOA,HSP90AA1
ALDOA,ALDOA
ALDOA,APP
ALDOA,ILF2
ALDOA,SCCPDH
ALDOA,NHLRC2
ALDOA,SPTAN1
ALDOA,APOOL
ALDOA,PDHA1
ALDOA,ESR1
ALDOA,GPI
APP,HAGH
APP,ATP6V1E1
APP,DNAJB7
APP,IFIT3
APP,HSPA4
APP,PKM
APP,ATXN3
APP,HSP90AA1
APP,LRRC59
APP,IFNA5
APP,BRMS1
APP,SRSF3
APP,ATP5A1
APP,STUB1
APP,TACO1
APP,CUL3
APP,MYC
APP,VCP
APP,CA9
APP,CCNL1
APP,IARS2
APP,EIF4E2
APP,RGS3
APP,OPA1
APP,NDUFA4
APP,ATP5C1
APP,UBQLN1
APP,RNF2
APP,TMEM126B
APP,DHX58
APP,SLC22A6
APP,NDUFS1
APP,MTMR14
APP,HSPA8
APP,IFNA8
APP,DNAJB6
APP,POLH
APP,G3BP1
APP,RPA2
APP,POLE3
APP,OAS2
APP,NDUFS3
APP,SENP1
APP,HDAC4
APP,SAMHD1
APP,MICU1
APP,CHCHD6
APP,PLS3
APP,COX4I1
APP,ETFB
APP,WARS
APP,CUL4B
APP,XAF1
APP,NDUFA5
APP,XRCC3
APP,APP
APP,HSPD1
APP,HIGD2A
APP,RPS27A
APP,STOML2
APP,PTBP1
APP,CTNNB1
APP,ATP5O
APP,CDK18
APP,DDX42
APP,EIF2S2
APP,IFI6
APP,C11orf73
APP,C2orf47
APP,IFIH1
APP,EIF4E
APP,ECH1
APP,TIMMDC1
APP,ESR2
APP,VIM
APP,IFNW1
APP,PHGDH
APP,UBE2E2
APP,NME3
APP,HSPA2
APP,CIRH1A
APP,WIBG
APP,POLD3
APP,PYCR2
APP,GAPDH
APP,DNAAF2
APP,DYRK1A
APP,TARBP2
APP,PSMA7
APP,LACTB
APP,UQCRC1
APP,DYNLT1
APP,ZC3HAV1
APP,TRIM25
APP,POLI
APP,SHMT2
APP,VDAC2
APP,MX1
APP,SERBP1
APP,IKBIP
APP,HSPA9
APP,EGFR
APP,NDUFV1
APP,KIAA1429
APP,ICT1
APP,HSD17B10
APP,KRT36
APP,SNRNP70
APP,STAU1
APP,TUFM
APP,CISD2
APP,FKBP5
APP,NCSTN
APP,TARDBP
APP,FUBP3
APP,ATG16L1
APP,ATF2
APP,CDCA3
APP,IRF2
APP,KIAA1191
APP,DNAJB1
APP,DDX17
APP,OPA3
APP,CSNK2A1
APP,CFL1
APP,NDUFS6
APP,HNRNPL
APP,PPP1R10
APP,LAP3
APP,NDUFS2
APP,UQCRC2
APP,UBB
APP,STIP1
APP,PON1
APP,MAPK3
APP,SYP
APP,PIK3CA
APP,TP53
APP,HTR2C
APP,CALU
APP,TNF
APP,P2RY6
APP,PRNP
APP,CXCL10
APP,HSPA5
APP,NTRK1
APP,NHLRC2
APP,SCCPDH
APP,LPAR6
APP,RELA
CTNNB1,HNRNPA2B1
CTNNB1,NDUFV1
CTNNB1,HSPA8
CTNNB1,EGR1
CTNNB1,LMNA
CTNNB1,HSP90AB1
CTNNB1,STUB1
CTNNB1,PKM
CTNNB1,GAPDH
CTNNB1,HDAC6
CTNNB1,EEF2
CTNNB1,SERBP1
CTNNB1,ILK
CTNNB1,HSPD1
CTNNB1,ESR1
CTNNB1,HSP90AA1
CTNNB1,HERC5
CTNNB1,ITFG1
CTNNB1,YAP1
CTNNB1,USP18
CTNNB1,XRCC6
CTNNB1,SOX2
CTNNB1,MTHFD1
CTNNB1,USP21
CTNNB1,MSN
CTNNB1,HUWE1
CTNNB1,TMOD3
CTNNB1,CUL3
CTNNB1,HSPA5
CTNNB1,MYC
CTNNB1,IQGAP1
CTNNB1,XRCC5
CTNNB1,SFN
CTNNB1,TUBA1A
CTNNB1,ELAVL1
CTNNB1,PHGDH
CTNNB1,ISG15
CTNNB1,HSPB1
CTNNB1,UBE2N
CTNNB1,UQCRC1
CTNNB1,HIF1A
CTNNB1,SMAD4
CTNNB1,GBAS
CTNNB1,UBE2L6
CTNNB1,SLC25A1
CTNNB1,PIK3CA
CTNNB1,HSPA9
CTNNB1,SLC25A13
CTNNB1,SHMT2
CTNNB1,STAT1
CTNNB1,EGFR
CTNNB1,PIN1
CTNNB1,FAS
CTNNB1,STIP1
CTNNB1,NXF1
CTNNB1,CUL4A
CTNNB1,USP43
CTNNB1,PML
CTNNB1,MAPK6
CTNNB1,KIAA1429
CTNNB1,HSPA1B
CTNNB1,USP10
CTNNB1,RPA1
CTNNB1,UCHL3
CTNNB1,EWSR1
CTNNB1,SLC25A3
CTNNB1,HNRNPK
CTNNB1,NTRK1
CTNNB1,PCNA
CTNNB1,TARDBP
CTNNB1,VDAC2
CTNNB1,DDX17
CTNNB1,G3BP1
CTNNB1,CYLD
CTNNB1,PGK1
CTNNB1,HDAC4
CTNNB1,IMMT
CTNNB1,GANAB
CTNNB1,FBXW7
CTNNB1,HSPA1A
CTNNB1,EZR
CTNNB1,XPO1
CTNNB1,MOV10
CTNNB1,TOP2A
CTNNB1,EGLN3
CTNNB1,TRIM25
CTNNB1,GNB2L1
CTNNB1,RPA2
CTNNB1,LACTB
CTNNB1,HNRNPU
CTNNB1,MATR3
CTNNB1,STAU1
CTNNB1,PHB2
CTNNB1,DNAJC11
CTNNB1,RPS27A
CTNNB1,ESR2
CTNNB1,TFAM
CTNNB1,EIF4A3
CTNNB1,ILF3
CTNNB1,MYH9
CTNNB1,TXN
CTNNB1,RAB7A
CTNNB1,TP53
CTNNB1,NCSTN
CTNNB1,LRRK2
CTNNB1,UBB
CTNNB1,MYO6
CTNNB1,UBC
CTNNB1,IRF3
CTNNB1,UBA52
CTNNB1,PSMB8
CTNNB1,PSMA7
RPA1,TRIM14
RPA1,SPTAN1
RPA1,TP53
RPA1,TOP2A
RPA1,WDR33
RPA1,RPA2
RPA1,TFAM
RPA1,ZNF598
RPA1,XRCC6
RPA1,SNRNP200
RPA1,SMC3
RPA1,SMC1A
RPA1,YTHDF3
RPA1,VIM
RPA1,TRIM25
RPA1,XRCC5
RPA1,YAP1
RPA1,UBC
RPA1,RPA1
RPA1,RPA3
RPA1,TARDBP
RPA1,SFXN1
RPA1,TP53BP1
RPA1,VCP
RPA1,USP10
RPA1,UBA52
RPA1,XRCC3
RPA1,USP43
RPA1,UBB
RPA1,RPS27A
RPA1,UBE2N
RPA1,UBE2L6
RPA1,UBA7
RPA3,TAF2
RPA3,SMC1A
RPA3,UBC
RPA3,XRCC5
RPA3,YTHDF3
RPA3,TIMM13
RPA3,SNRNP200
RPA3,TOP2A
RPA3,TRIM14
RPA3,XRCC6
RPA3,TSC22D1
RPA3,WDR33
RPA3,SMC3
RPA3,TARDBP
RPA3,SPTAN1
RPA3,ZNF598
RPA3,RPA3
RPA3,TP53
RPA3,USP43
RPA3,UBB
RPA3,RPS27A
RPA3,UBE2N
RPA3,VCP
RPA3,TRIM25
RPA3,USP10
RPA3,UBE2L6
RPA3,UBA52
RPA3,UBA7
RPA3,XRCC3
CDC42,UQCRC2
CDC42,HCCS
CDC42,SLC25A3
CDC42,ELAVL1
CDC42,LRRK2
CDC42,TNF
CDC42,IQGAP1
CDC42,CDC42
CDC42,SFXN1
CDC42,STUB1
CDC42,TNK2
CDC42,TP53
CDC42,MAPK6
CDC42,RAB7A
CDC42,EGLN3
CDC42,EEF1G
CDC42,PRDX3
CDC42,ESR2
CDC42,MAP4
CDC42,CUL4A
CDC42,PRDX1
CDC42,UBC
CDC42,TRIAP1
CDC42,MYO6
CDC42,ETFA
CDC42,POLR1D
CDC42,RECQL4
CDC42,RAB1A
CDC42,COX17
CDC42,MYH9
CDC42,PFN1
CDC42,DEPDC7
CDC42,PLCG1
CDC42,MAPK3
CDC42,PIK3CA
CDC42,RPS27A
CDC42,EGFR
CDC42,UBB
CDC42,NUP43
CDC42,CTNNB1
CDC42,NF2
CDC42,EZR
CDC42,FLNA
CDC42,GDI2
CDC42,LAMB3
CDC42,PAFAH1B1
CDC42,MAP3K1
CDC42,CFL1
CDC42,XPO1
CDC42,UBA52
CDC42,SEPT2
CDC42,NTRK1
CDC42,MAPK4
CLTC,FLNA
CLTC,NTRK1
CLTC,NXF1
CLTC,VDAC2
CLTC,IQGAP1
CLTC,PIK3CA
CLTC,TUFM
CLTC,TECR
CLTC,MYO6
CLTC,STAU1
CLTC,GRWD1
CLTC,DYRK1A
CLTC,MEPCE
CLTC,RPA1
CLTC,ZNF746
CLTC,CYLD
CLTC,HDAC5
CLTC,HSPA4
CLTC,NDUFS1
CLTC,TNK2
CLTC,SOAT1
CLTC,VDAC1
CLTC,PHB
CLTC,TP53
CLTC,COX2
CLTC,KIAA1429
CLTC,ISG15
CLTC,RPA3
CLTC,KRT17
CLTC,ESR1
CLTC,NR2C2
CLTC,RECQL4
CLTC,PRDM16
CLTC,HSPA1A
CLTC,XRCC6
CLTC,PHB2
CLTC,MECOM
CLTC,RPA2
CLTC,CUL3
CLTC,HSPA8
CLTC,UQCRQ
CLTC,MYH9
CLTC,CUL2
CLTC,NDUFA9
CLTC,STOM
CLTC,UCHL3
CLTC,TNF
CLTC,UQCRC2
CLTC,LRRK2
CLTC,RNF123
CLTC,HUWE1
CLTC,SLC25A3
CLTC,ZNF598
CLTC,NEDD8
CLTC,TOMM22
CLTC,RC3H2
CLTC,FBXO7
CLTC,MYC
CLTC,SLC25A1
CLTC,RAB7A
CLTC,RPS27A
CLTC,EGFR
CLTC,UBB
CLTC,VAMP2
CLTC,FAS
CLTC,MSN
CLTC,EZR
CLTC,RPS6KA3
CLTC,XPO1
CLTC,UBA52
CLTC,HLA-DPA1
CLTC,UBC
TXN,WDR1
TXN,VDAC1
TXN,ZNF598
TXN,VIM
TXN,TXNRD1
ATF2,HSPB1
ATF2,CCT4
ATF2,ATP1A1
ATF2,CFL1
ATF2,PHB2
ATF2,STIP1
ATF2,MAPK3
ATF2,GAPDH
ATF2,SLC25A13
ATF2,SLC25A12
ATF2,CTNNB1
ATF2,PHB
ATF2,VDAC2
ATF2,NACA
ATF2,EEF2
ATF2,CALU
ATF2,GLS
ATF2,VDAC1
ATF2,SHMT2
ATF2,SMAD4
ATF2,CSNK2A1
ATF2,GRPEL1
ATF2,KRT18
ATF2,KRT8
ATF2,MARCKS
ATF2,KRT7
ATF2,HADHA
ATF2,CCT2
ATF2,HADHB
ATF2,IMMT
ATF2,CUL3
ATF2,CCT3
ATF2,PML
ATF2,TIMM9
ATF2,HDAC4
ATF2,ATF2
ATF2,BASP1
ATF2,RAB7A
ATF2,PFN1
ATF2,GANAB
ATF2,ATP5O
ATF2,UQCRC1
ATF2,PKM
ATF2,CLIC1
ATF2,SFN
ATF2,CCND1
ATF2,VIM
ATF2,HSP90AA1
ATF2,GSTP1
ATF2,ENO1
ATF2,UQCRC2
ATF2,SFXN1
ATF2,LDHA
ATF2,ATP5B
ATF2,PCNA
ATF2,HSPD1
ATF2,HDAC5
ATF2,EGR1
ATF2,IRF1
ATF2,IRF2
ATF2,TP53
ATF2,MECOM
ATF2,ESR1
ATF2,SUZ12
ATF2,IRF4
ATF2,IRF7
ATF2,RBBP4
