source,target
FLNC,MTDH
FLNC,MYC
FLNC,PRKCZ
FLNC,TP63
FLNC,RNF31
FLNC,IKBKB
APP,TRAPPC9
APP,WDR5
APP,ATG12
APP,TAB2
APP,INS
APP,IFIT3
APP,CDKN1A
APP,TANK
APP,HSP90AA1
APP,CUL3
APP,MYC
APP,USP2
APP,CLU
APP,NFKBIB
APP,COPS5
APP,DHX58
APP,LRPPRC
APP,NLRP2
APP,CSNK1E
APP,BTK
APP,FBXW11
APP,IFI16
APP,G3BP1
APP,AURKA
APP,OAS2
APP,SPATA2
APP,XAF1
APP,PRKCI
APP,MDM2
APP,APP
APP,RPS27A
APP,PRKCD
APP,CTNNB1
APP,IFI6
APP,PPARG
APP,CDC37
APP,KLF4
APP,MAP3K11
APP,STK26
APP,IRS1
APP,IFIH1
APP,PELI3
APP,PLK1
APP,TNIP2
APP,TBC1D7
APP,PPIA
APP,VHL
APP,CDC25A
APP,JUN
APP,TRIM25
APP,MX1
APP,TBK1
APP,TRAF6
APP,ERC1
APP,FKBP5
APP,PDPK1
APP,RBCK1
APP,TIRAP
APP,KEAP1
APP,CSNK2A1
APP,TRIM40
APP,HOMER3
APP,SRC
APP,UBB
APP,NGFR
APP,NFKB1
APP,IDE
APP,TP53
APP,HMGB1
APP,TNF
APP,CASP8
APP,CXCL10
APP,NGF
APP,GRK5
APP,NTRK1
APP,NFKB2
APP,HTT
APP,CXCL8
APP,FOXO3
APP,RELA
APP,IL6
BRCA1,RNF216
BRCA1,RICTOR
BRCA1,PRMT1
BRCA1,RPTOR
BRCA1,TP63
BRCA1,SP1
BRCA1,TP53
BRCA1,NCL
BRCA1,PPP1CA
BRCA1,NMI
BRCA1,HNRNPU
BRCA1,HIF1A
BRCA1,ERC1
BRCA1,UBE2D1
BRCA1,XIAP
BRCA1,CDKN2A
BRCA1,PYCARD
BRCA1,STAT1
BRCA1,IFI16
BRCA1,UBC
BRCA1,MTOR
BRCA1,FKBP4
BRCA1,USP2
BRCA1,UBE2D3
BRCA1,JUN
BRCA1,SKP1
BRCA1,HSP90AA1
BRCA1,TRIM27
BRCA1,CSNK2A1
BRCA1,MAP3K3
BRCA1,KEAP1
BRCA1,SKP2
BRCA1,PRKDC
BRCA1,CREBBP
BRCA1,HDAC2
BRCA1,HSP90AB1
BRCA1,CTNNB1
BRCA1,HUWE1
BRCA1,EZH2
BRCA1,MYC
BRCA1,PPP2CA
BRCA1,BRCA1
BRCA1,MAP4K4
BRCA1,RELA
BRCA1,PLK1
BRCA1,TFAP2C
BRCA1,USP7
BRCA1,UBE2N
BRCA1,UBE2K
BRCA1,WDR5
BRCA1,NCOA3
BRCA1,MAP3K14
BRCA1,TPX2
BRCA1,GNB2L1
BRCA1,TRIM25
BRCA1,CDC37
BRCA1,CSNK2B
BRCA1,TP73
BRCA1,FLNA
BRCA1,MAP3K1
BRCA1,DNMT1
BRCA1,RB1
BRCA1,USP11
BRCA1,FANCA
BRCA1,E2F4
BRCA1,FOXO3
BRCA1,FLNC
BRCA1,YBX1
BRCA1,MYCN
BRCA1,PYGL
BRCA1,KDM1A
BRCA1,PCBP2
BRCA1,CLTC
BRCA1,HSPB1
BRCA1,RAN
