source,target
PML,DYNLL1
PML,RC3H1
PML,GNG5
PML,DDX20
PML,AAR2
PML,ITFG1
PML,RUNX3
PML,HIST1H2BJ
PML,RPL39
PML,UTP11L
PML,RTP5
PML,CDC5L
PML,VHL
PML,KBTBD8
PML,WDR45B
PML,HNRNPA3
PML,RPL35A
PML,CKS1B
PML,U2AF2
PML,MRM1
PML,FZD8
PML,DNAJC19
PML,IGFBP5
PML,AGO2
PML,MAPK8
PML,SKI
PML,RPS27A
PML,H2AFB1
PML,PHB
PML,EWSR1
PML,RPS11
PML,KIAA1429
PML,CLTCL1
PML,TUBB2B
PML,TPM2
PML,SRSF6
PML,HACE1
PML,PPA1
RPA2,SART3
RPA2,ESR2
RPA2,HSP90AA1
RPA2,ASB9
RPA2,UBXN1
RPA2,GSK3B
RPA2,ALDH1B1
RPA2,TERF2
RPA2,RPL23
RPA2,NOS1AP
RPA2,WWOX
RPA2,GLDC
RPA2,SKP2
RPA2,FFAR4
RPA2,XPO1
RPA2,RPS3
RPA2,DAP3
RPA2,TRIM63
RPA2,RECQL4
RPA2,SEC13
RPA2,SPSB1
RPA2,FBXL22
RPA2,MCTS1
RPA2,MAP1LC3B
RPA2,RACGAP1
RPA2,TP73
RPA2,XRCC6
RPA2,PPIB
RPA2,CUL4B
RPA2,RNF114
RPA2,UBC
RPA2,MTOR
RPA2,GNB1
RPA2,EGFR
RPA2,CXCR5
RPA2,MAPT
RPA2,TIMELESS
RPA2,PIK3R3
RPA2,IKBKG
RPA2,TAS2R8
RPA2,CAND1
RPA2,PTPRK
RPA2,CXCL11
RPA2,PKM
RPA2,ZNF746
RPA2,PIK3R2
RPA2,PSME3
RPA2,UBA52
RPA2,AMELX
RPA2,UBB
RPA2,STUB1
RPA2,OBSL1
RPA2,RPA3
RPA2,CACNG8
RPA2,EIF2S3
RPA2,STX5
RPA2,WDR75
RPA2,UBE2V1
RPA2,DDX18
XRN1,NXF1
XRN1,HSP90AA1
XRN1,COPS6
XRN1,HIST1H2BB
XRN1,HEBP1
XRN1,TCTN3
XRN1,RNF31
XRN1,TOP2A
XRN1,NSA2
XRN1,FOXP3
XRN1,CKAP5
XRN1,NTRK1
XRN1,RASA1
XRN1,MYH2
XRN1,RHOB
XRN1,MYC
XRN1,TRIM25
XRN1,HELZ2
APP,DYNLL2
APP,EIF3L
APP,HSPA8
APP,GNG5
APP,ACTL6A
APP,BIRC3
APP,MED9
APP,CCL5
APP,NSA2
APP,MRPS15
APP,TRAF6
APP,ANAPC1
APP,SF3B2
APP,HNRNPR
APP,RPA3
APP,SST
APP,MCM2
APP,ZNF645
APP,GEMIN2
APP,DRD5
APP,RTP5
APP,ARNT
APP,VCAN
APP,DYNLRB2
APP,YBX3
APP,PTPRJ
APP,EGLN3
APP,F2
APP,HSP90AA1
APP,WDYHV1
APP,EFTUD2
APP,SPCS2
APP,UBE2J2
APP,RBBP4
APP,MAPK3
APP,CBL
APP,TGOLN2
APP,ASB14
APP,LTN1
APP,KIF11
APP,ELAVL1
APP,BCS1L
APP,FBXW5
APP,SMAD4
APP,EPRS
APP,SENP3
APP,BAG3
APP,C1QBP
APP,POLR2L
APP,GPR39
APP,NTRK1
APP,SYT9
APP,NAF1
APP,RAC2
APP,HLA-DQB1
APP,FBXL20
APP,MLKL
APP,FBXW10
APP,FGB
APP,RIOK1
APP,CUL3
APP,KCNAB1
APP,KRT20
APP,ITFG1
APP,RPS16
APP,FN1
APP,RC3H2
APP,PIK3R1
APP,RPN2
APP,STON2
APP,CDKN1A
APP,GTSE1
APP,CDC26
APP,RNF2
APP,CYLD
APP,MRPL50
APP,RPL21
APP,NOL6
APP,COPS6
APP,SFN
APP,MT-ND2
APP,SNW1
APP,ARF6
APP,CDKL4
APP,RAD21
APP,SH3KBP1
APP,ATF6B
APP,CLTCL1
APP,MIB2
APP,RPL23A
APP,SLC2A1
APP,CRK
APP,APAF1
APP,RPS24
APP,AP2M1
APP,H3F3B
APP,RPLP2
APP,TAF5
APP,CCR5
APP,TBC1D1
APP,KLHL22
APP,FUS
APP,AURKA
APP,QARS
APP,PLAUR
APP,PSME3
APP,TRRAP
APP,DAPK1
APP,HIST2H3A
APP,UNC93B1
APP,NOTCH1
APP,GRWD1
APP,CCR7
APP,KMT2B
APP,RPL9
APP,XPO1
APP,MTIF2
APP,GNB2L1
APP,FBXW4
APP,MRE11A
APP,RPS25
APP,OBSL1
APP,VIPR2
APP,HSD17B10
APP,TRIM25
APP,TESK2
APP,DCAF4
APP,SUCLA2
APP,SNRPN
APP,NUBP1
APP,ALDOC
APP,USP43
APP,YBX1
APP,COX4I1
APP,RPS3
APP,PRKDC
APP,RPL35A
APP,HRH4
APP,PRKCA
APP,HIST1H2BD
APP,SDHA
APP,XRN1
APP,MLNR
APP,FTH1
APP,PLK1
APP,ZNF2
APP,SMC3
APP,DYRK2
APP,TNF
APP,TRIM71
APP,MAP2K3
APP,CDC34
APP,TCF7L2
APP,BRCA1
APP,ADCY1
APP,TIMELESS
APP,QRFP
APP,APP
APP,CCND1
APP,ITGB1
APP,UBA5
APP,INSL5
APP,RPS27A
APP,WDR48
APP,DDX31
APP,ZC3HC1
APP,SCN5A
APP,HIST1H2BJ
APP,FFAR4
APP,EXOSC5
APP,UPF3B
APP,IFT81
APP,HELZ2
APP,PPP1R8
APP,CHEK2
APP,USP14
APP,CTNNB1
APP,MAP3K5
APP,RANBP2
APP,EEF1D
APP,FANCI
APP,INS
APP,TPX2
APP,RNF31
APP,ATP6V1A
APP,PRKAR1B
APP,VEGFC
APP,COPB2
APP,HES1
APP,CLINT1
APP,ATG7
APP,NR3C1
APP,APLNR
APP,SUMO3
APP,NXF1
APP,IL6
APP,TJP2
APP,TAF9
APP,KLF4
APP,PPP2R5A
APP,FBXO7
APP,RAB7A
