"node","type"
"12461.ORF3_HEVCH",0
"DUSP1",2
"TSG101",2
"HPN",2
"AMBP",2
"DUSP6",2
"TRADD",2
"SH3KBP1",2
"CYLD",2
"ELAVL1",2
"EPHA2",2
"EGFR",2
"RAB9A",2
"KRT18",2
"MOV10",2
"FN1",2
"AP2A2",2
"HRAS",2
"ALDOA",2
"MYC",2
"MAPK1",2
"NTRK1",2
"ACTN4",2
"CRK",2
"DNMT1",2
"EP300",2
"BCAR1",2
"MGRN1",2
"HNRNPL",2
"AP2B1",2
"KIAA1429",2
"HGS",2
"ANLN",2
"DAB2IP",2
"SRRM2",2
"GNAI2",2
"EPN1",2
"NPLOC4",2
"ENO1",2
"FADD",2
"PDCD6IP",2
"EWSR1",2
"CHUK",2
"CDC23",2
"SH3GL2",2
"CANX",2
"CAV1",2
"CDC5L",2
"HNRNPC",2
"DCAF15",2
"APOOL",2
"IKBKG",2
"MRPL12",2
"INPPL1",2
"ARRB1",2
"GNB2L1",2
"ESR2",2
"CFTR",2
"CDH1",2
"DAXX",2
"APOB",2
"RNF31",2
"JUN",2
"AP2A1",2
"MAP3K7",2
"APOA1",2
"UBC",2
"HSPA4",2
"ANAPC5",2
"MAPK7",2
"TP53",2
"ATP5A1",2
"NONO",2
"MDM2",2
"A2M",2
"LRPPRC",2
"CDC42",2
"BCL10",2
"CD81",2
"TRAF1",2
"BID",2
"ETV5",2
"GRB2",2
"C9",2
"LCK",2
"MDC1",2
"FGF8",2
"MAD2L2",2
"VCP",2
"HSP90AA1",2
"TNFRSF1A",2
"PFKM",2
"EGLN3",2
"HSPA8",2
"PSIP1",2
"IKBKB",2
"DUSP4",2
"CDC16",2
"ARAP3",2
"CLTC",2
"CASP3",2
"SCARB2",2
"CBL",2
"MDFI",2
"CBLC",2
"CAPZA1",2
"ATAD3A",2
"GJA1",2
"CAND1",2
"ADRB2",2
"NEDD4L",2
"RNF115",2
"MTA3",2
"CAPZA2",2
"FAF1",2
"ARHGEF7",2
"DDX6",2
"AHSG",2
"SYNPO",2
"KIT",2
"KIF23",2
"ABL1",2
"ERBB4",2
"TNIP1",2
"TOM1",2
"NUFIP2",2
"NXF1",2
"GNAI3",2
"FAM217B",2
"GNAS",2
"ITPR2",2
"RNF126",2
"TFRC",2
"ICMT",2
"DMRTB1",2
"RBPMS",2
"FBXO25",2
"NR3C1",2
"AURKB",2
"MAP4",2
"CHMP3",2
"ARHGAP17",2
"FCHO1",2
"THOC2",2
"KRT15",2
"CASP8",2
"CCAR2",2
"PIK3CA",2
"GGA1",2
"FBXO28",2
"LITAF",2
"ACTC1",2
"ARRB2",2
"FGB",2
"NCK1",2
"HAUS1",2
"ANAPC4",2
"CTDP1",2
"BAG6",2
"LRSAM1",2
"PIK3C2A",2
"GTSE1",2
"CHP1",2
"STAT3",2
"C2orf47",2
"PIN1",2
"ANAPC7",2
"TCP10L",2
"HIPK2",2
"SRSF7",2
"FHL3",2
"KCTD3",2
"RAB5C",2
"CNOT7",2
"PPP2R1A",2
"SYT11",2
"MAVS",2
"ANXA7",2
"MAPK6",2
"RELA",2
"ARPC4",2
"IQGAP1",2
"DAB2",2
"AR",2
"DDX17",2
"TRA",2
"CKAP4",2
"SH3GL1",2
"NDUFAF4",2
"FAM9B",2
"CDA",2
"ITPR3",2
"NSF",2
"FLOT1",2
"TRAF2",2
"PRPF4",2
"COX4I1",2
"PAK2",2
"TRIM25",2
"CDKN2A",2
"AKAP9",2
"ELMSAN1",2
"CHMP2B",2
"GAK",2
"DVL2",2
"G3BP1",2
"PDGFRB",2
"RAB11FIP4",2
"CEP55",2
"KRT31",2
"AP2M1",2
"CFLAR",2
"SEPT9",2
"CBLB",2
"OPTN",2
"RPGRIP1L",2
"IRAK1",2
"RAF1",2
"EIF3C",2
"LYN",2
"MKRN3",2
"JUNB",2
"TNIP2",2
"EPS15",2
"AAAS",2
"CDKN1A",2
"EYA2",2
"ALB",2
"RAB11A",2
"MAPK14",2
"MAPK11",2
"QKI",2
"MAT2A",2
"NOL3",2
"FZD4",2
"NEDD4",2
"AVP",2
"PSMA3",2
"BIRC2",2
"MAP3K1",2
"CAPZB",2
"BCR",2
"HSPA1A",2
"UBQLN2",2
"MAP4K2",2
"SEPT11",2
"BLNK",2
"TNFAIP3",2
"DNM3",2
"ARHGEF1",2
"FASN",2
"PABPC1",2
"BIN1",2
"AFG3L2",2
"MAPT",2
"DAG1",2
"KHDRBS1",2
"LMTK2",2
"NEDD1",2
"FCHO2",2
"SHARPIN",2
"SRPK1",2
"HNRNPK",2
"HNRNPUL1",2
"PKP3",2
"GTF2B",2
"SCAMP3",2
"MCM5",2
"SKP2",2
"TRAIP",2
"CD2AP",2
"BIRC3",2
"MAP3K4",2
"SNF8",2
"ACTR3",2
"NIF3L1",2
"LRRK2",2
"SH3GLB2",2
"FYN",2
"RFC3",2
"RANBP2",2
"ACTR2",2
"RAB5A",2
"BTG2",2
"IL7R",2
"RPS27A",2
"UGDH",2
"SFPQ",2
"CAPRIN1",2
"INPP5D",2
"TAB2",2
"CD63",2
