source,target
PML,SYNE2
PML,RANBP2
PML,RNF4
PML,TRIM22
PML,RAD51
PML,TP53
PML,SIRT1
PML,RPL11
PML,TCTN3
PML,SP1
PML,RB1
PML,SETDB1
PML,UHRF1
PML,VDAC3
PML,POLR2E
PML,TERT
PML,SIN3A
PML,TRIM25
PML,SKP1
PML,VDAC2
PML,STAT3
PML,UBE3A
PML,SMARCA4
PML,PML
PML,PSMA3
PML,TRIM27
PML,RPL5
PML,RNF123
PML,RNF111
PML,STAT2
PML,PPARG
PML,TOMM20
PML,RBCK1
PML,RPTOR
PML,RAE1
PML,TGFBR2
PML,TGFBR1
PML,POM121
PML,TPR
PML,TRIM2
PML,UBC
PML,VCAM1
PML,POM121C
PML,UBA52
PML,TRIM10
PML,TRIM17
PML,PTEN
PML,UBB
PML,RPS27A
STAT3,STAT6
STAT3,TRIM25
STAT3,STAT3
STAT3,VEGFA
STAT3,TYK2
STAT3,VCAM1
STAT3,TP53
STAT3,TCP1
STAT3,YES1
ALDOA,GAPDH
ALDOA,ATP6V1E1
ALDOA,TERF1
ALDOA,PKM
ALDOA,CUL3
ALDOA,METTL14
ALDOA,FLCN
ALDOA,CFTR
ALDOA,ITGA4
ALDOA,FUS
ALDOA,CDC34
ALDOA,CFL1
ALDOA,UBE2M
ALDOA,OSBPL10
ALDOA,TGFBR2
ALDOA,HEXIM1
ALDOA,CUL4B
ALDOA,PGK1
ALDOA,SOD2
ALDOA,CUL2
ALDOA,HSPD1
ALDOA,SOD1
ALDOA,VPS18
ALDOA,ATXN3
ALDOA,ASS1
ALDOA,MAP2K7
ALDOA,MYC
ALDOA,HUWE1
ALDOA,SOAT1
ALDOA,NTRK1
ALDOA,BRCA1
ALDOA,BRAF
ALDOA,HSPB2
ALDOA,KRAS
ALDOA,ESR2
ALDOA,PSMD4
ALDOA,FN1
ALDOA,PIH1D1
ALDOA,COX4I1
ALDOA,HNRNPA1
ALDOA,RAD52
ALDOA,HSP90AB1
ALDOA,VCAM1
ALDOA,NDUFS4
ALDOA,TRIM25
ALDOA,FANCA
ALDOA,H2AFX
ALDOA,EGFR
ALDOA,PPIF
ALDOA,KIAA1429
ALDOA,CDC73
ALDOA,PSMA3
ALDOA,JUP
ALDOA,MCM2
ALDOA,RNF4
ALDOA,IQCB1
ALDOA,RECQL4
ALDOA,HSPE1
ALDOA,CDK2
ALDOA,HDAC5
ALDOA,EFTUD2
ALDOA,LDHA
ALDOA,CDH1
ALDOA,NCSTN
ALDOA,HSD17B10
ALDOA,ENO1
ALDOA,ATF2
ALDOA,DUT
ALDOA,ISG15
ALDOA,LINC01554
ALDOA,XRN1
ALDOA,LMAN1
ALDOA,PRPF8
ALDOA,TKT
ALDOA,HSP90AA1
ALDOA,ALDOA
ALDOA,ISLR
ALDOA,EGF
ALDOA,APP
ALDOA,HK2
ALDOA,SPTAN1
ALDOA,MAGED2
ALDOA,ESR1
ALDOA,CYFIP1
ALDOA,VTI1B
ALDOA,VEGFA
APP,FBXL2
APP,ICK
APP,EEF1B2
APP,SMG5
APP,NTRK3
APP,TRIM41
APP,PAK6
APP,TAB2
