"node","type"
"1330524.PRO_5000489504",0
"RTN2",2
"RTN1",2
"RTN4",2
"BECN1",2
"IKBKB",2
"CYLD",2
"ELAVL1",2
"EPHA2",2
"EGFR",2
"RAB9A",2
"BAK1",2
"CDK6",2
"NTRK1",2
"AGR2",2
"FAM134C",2
"CSNK2B",2
"KRAS",2
"DDB1",2
"KIAA1429",2
"CUL1",2
"HSPA5",2
"FADD",2
"HNRNPM",2
"BRCA1",2
"CHUK",2
"RNF2",2
"HIF1A",2
"CDC37",2
"ATG16L1",2
"CANX",2
"ILF3",2
"LMNA",2
"RNF4",2
"PPARG",2
"ITCH",2
"HNRNPU",2
"CDC34",2
"IKBKG",2
"NR4A1",2
"AURKA",2
"GNB2L1",2
"TRIM27",2
"ESR2",2
"CDH1",2
"EIF2AK2",2
"FBXW11",2
"RNF31",2
"JUN",2
"MAP3K7",2
"MAP2K5",2
"UBC",2
"MDN1",2
"AKT3",2
"MTOR",2
"TP53",2
"COPS3",2
"BNIP3",2
"CRMP1",2
"COPS5",2
"BCL10",2
"TRAF1",2
"ACBD3",2
"SPOP",2
"APEX1",2
"HSP90AA1",2
"TNFRSF1A",2
"EGLN3",2
"HSD17B10",2
"PRKDC",2
"PRKD2",2
"CLTC",2
"BTRC",2
"SMAD2",2
"FRS2",2
"CASP3",2
"E2F4",2
"SLAMF1",2
"CUL3",2
"ARNT",2
"COPS4",2
"ARHGDIA",2
"DYRK2",2
"RPS27",2
"NEDD4L",2
"EXOC4",2
"AKT1",2
"FOXO1",2
"DAPK2",2
"FAF1",2
"PTOV1",2
"PPM1B",2
"CTNNB1",2
"MAP3K11",2
"TEAD2",2
"LAMP1",2
"BACE1",2
"CREBBP",2
"PPP2CA",2
"RPTOR",2
"PIK3CB",2
"ATG101",2
"ATXN3",2
"CIRBP",2
"IFITM3",2
"HUWE1",2
"GAPDH",2
"ATL3",2
"GPR161",2
"HSP90AB1",2
"RPA3",2
"CASP8",2
"ATP1B3",2
"CHAF1A",2
"PIK3CA",2
"ATG4B",2
"TUFM",2
"DYNC1I1",2
"HERC5",2
"ARL6IP1",2
"DDX46",2
"PIK3C2A",2
"HDAC8",2
"FXR2",2
"SMN1",2
"STAT3",2
"BCL2",2
"SNX1",2
"SLC9A3R2",2
"PPP1CA",2
"PTEN",2
"MAVS",2
"MAPK6",2
"RELA",2
"CDK4",2
"DERL1",2
"IRS1",2
"RPA2",2
"PARK2",2
"AR",2
"CFL1",2
"ARAF",2
"POT1",2
"NOD1",2
"NRAS",2
"KEAP1",2
"NFKBIA",2
"METTL14",2
"MCL1",2
"GSPT1",2
"TRAF2",2
"LATS2",2
"MUC1",2
"TRIM25",2
"ATG4A",2
"CDKN2A",2
"ATG4C",2
"NCOA3",2
"EEF1D",2
"LSM3",2
"FANCG",2
"ATP1B1",2
"PELI2",2
"UBE2D1",2
"IRS4",2
"DYNLL1",2
"EPPK1",2
"ATG3",2
"GFI1B",2
"ATG14",2
"ATG7",2
"GLI1",2
"IRAK1",2
"RAF1",2
"CAMK2G",2
"ATIC",2
"ATF2",2
"TNIP2",2
"KTN1",2
"GCH1",2
"HLA-DPB1",2
"GOPC",2
"CXCL8",2
"CUEDC2",2
"HSPB1",2
"MAPK14",2
"DAPK1",2
"ATP1B4",2
"NEDD4",2
"BIRC2",2
"ATP5O",2
"MAP3K1",2
"HSPA1A",2
"MEOX2",2
"ATG9A",2
"UBE2D2",2
"FKBP4",2
"UBQLN2",2
"ANXA5",2
"RNF8",2
"ATG12",2
"TNFAIP3",2
"AMBRA1",2
"PTPN5",2
"ACAA2",2
"BIN1",2
"AFG3L2",2
"AKT2",2
"SHARPIN",2
"IKBKE",2
"PINK1",2
"HTT",2
"HADHB",2
"RNF216",2
"BIRC3",2
"PEBP1",2
"USP10",2
"NOD2",2
"RAB5A",2
"ERBB2",2
"PRKAG1",2
"FZR1",2
"RPS27A",2
"MCRS1",2
"IFIH1",2
"FGFR1",2
"FPR2",2
"TAB2",2
"GABARAPL1",2
"PRKAA1",2
"SOCS2",2
"TRAF6",2
"MAPK8",2
"FLNC",2
"REL",2
"IRS2",2
"NAPA",2
"EPAS1",2
"RPA1",2
"COPS7A",2
"NFKB1",2
"DYNLL2",2
"MBP",2
"ATG5",2
"TSC1",2
"BAD",2
"MAP4K4",2
"PPP4R2",2
"TIRAP",2
"FOXO3",2
"TMEM216",2
"BAIAP2",2
"MTDH",2
"HTR2C",2
"MAP1LC3A",2
"PGK1",2
"RICTOR",2
"S100A8",2
"IKBKAP",2
"LAMP2",2
"TRADD",2
"UBE2V1",2
"PPP4C",2
"FANCA",2
"PYGL",2
"GABARAP",2
"FLNA",2
"PRKAB2",2
"NRBF2",2
"NBR1",2
"PSMD10",2
"RAD23A",2
"TRIM21",2
"CYB5R3",2
"TRAF5",2
"RTN3",2
"LAMA4",2
"DAPK3",2
"HOMER3",2
"PIK3C3",2
"TJP1",2
"IPPK",2
"ARL6IP5",2
"MAP2K3",2
"COMMD7",2
"CASP10",2
"PRKCI",2
"BCL2L1",2
"MAP1LC3B",2
"EXOC8",2
"SLC25A13",2
"IRAK4",2
"GABARAPL2",2
"RAB7A",2
"CD40",2
"HK1",2
"CYCS",2
"PRKCZ",2
"FKBP5",2
"CDKN2B",2
"TAB1",2
"BCL2L11",2
"MYD88",2
"VAPA",2
"DZIP3",2
"SPAST",2
"MDM4",2
"SMC1A",2
"PIK3R1",2
"PRKCA",2
"LPAR1",2
"HYPK",2
"RNF41",2
"IRGM",2
"RAN",2
"DDX58",2
"NF2",2
"SKP1",2
"GRHPR",2
"PRKCD",2
"KAT2A",2
"CCND2",2
"RIPK2",2
"PLK1",2
"UQCRC2",2
"HMGB1",2
"NDRG1",2
"PRKAA2",2
"FGFR4",2
"PSG1",2
"TERF1",2
"STK11",2
"PRR13",2
"PLEKHF2",2
"SASH1",2
"DUSP1",2
"HSDL1",2
"TNF",2
"TLR1",2
"MAP3K14",2
"RBCK1",2
"BRAP",2
"PDGFRA",2
"TANK",2
"SNX2",2
"TNIK",2
"ITPR1",2
"FASLG",2
"TP63",2
"IRF3",2
"MAP3K3",2
"RB1CC1",2
"SPG21",2
"ATN1",2
"GYPB",2
"TERT",2
"ERC1",2
"CSF2RB",2
"SQSTM1",2
