"V1","V2"
"SMAD5","positive regulation of transcription from RNA polymerase II promoter involved in cellular response to chemical stimulus"
"SMAD5","cellular response to organic cyclic compound"
"SMAD5","SMAD protein complex"
"SMAD5","SMAD protein signal transduction"
"SMAD5","bone development"
"SMAD5","cardiac muscle contraction"
"SMAD5","cartilage development"
"SMAD5","metal ion binding"
"SMAD5","positive regulation of transcription, DNA-templated"
"SMAD5","positive regulation of osteoblast differentiation"
"SMAD5","protein-containing complex"
"SMAD5","ubiquitin protein ligase binding"
"SMAD5","transforming growth factor beta receptor, pathway-specific cytoplasmic mediator activity"
"SMAD5","BMP signaling pathway"
"SMAD5","erythrocyte differentiation"
"SMAD5","DEAD/H-box RNA helicase binding"
"SMAD5","embryonic pattern specification"
"SMAD5","germ cell development"
"SMAD5","transforming growth factor beta receptor signaling pathway"
"SMAD5","signal transduction"
"SMAD5","protein phosphorylation"
"SMAD5","cytosol"
"SMAD5","cytoplasm"
"SMAD5","transcription factor complex"
"SMAD5","nucleoplasm"
"SMAD5","nucleus"
"SMAD5","protein binding"
"SMAD5","osteoblast fate commitment"
"SMAD5","Mullerian duct regression"
"SMAD5","ureteric bud development"
"SMAD5","DNA-binding transcription repressor activity, RNA polymerase II-specific"
"SMAD5","DNA-binding transcription factor activity, RNA polymerase II-specific"
"SMAD5","RNA polymerase II cis-regulatory region sequence-specific DNA binding"
"SMAD5","nuclear chromatin"
"SMAD5","negative regulation of transcription by RNA polymerase II"
"SMAD9","positive regulation of transcription from RNA polymerase II promoter involved in cellular response to chemical stimulus"
"SMAD9","cellular response to BMP stimulus"
"SMAD9","SMAD protein complex"
"SMAD9","SMAD protein signal transduction"
"SMAD9","metal ion binding"
"SMAD9","transforming growth factor beta receptor, pathway-specific cytoplasmic mediator activity"
"SMAD9","BMP signaling pathway"
"SMAD9","transforming growth factor beta receptor signaling pathway"
"SMAD9","cytosol"
"SMAD9","cytoplasm"
"SMAD9","transcription factor complex"
"SMAD9","nucleoplasm"
"SMAD9","nucleus"
"SMAD9","intracellular"
"SMAD9","protein binding"
"SMAD9","DNA binding"
"SMAD9","DNA-binding transcription factor activity, RNA polymerase II-specific"
"SMAD9","nuclear chromatin"
"SMAD9","SMAD5"
"SMAD4","positive regulation of histone H3-K9 acetylation"
"SMAD4","negative regulation of cardiac myofibril assembly"
"SMAD4","positive regulation of transcription from RNA polymerase II promoter involved in cellular response to chemical stimulus"
"SMAD4","molecular function regulator"
"SMAD4","seminiferous tubule development"
"SMAD4","nephrogenic mesenchyme morphogenesis"
"SMAD4","metanephric mesenchyme morphogenesis"
"SMAD4","cellular response to BMP stimulus"
"SMAD4","response to transforming growth factor beta"
"SMAD4","SMAD protein complex"
"SMAD4","R-SMAD binding"
"SMAD4","I-SMAD binding"
"SMAD4","negative regulation of ERK1 and ERK2 cascade"
"SMAD4","interleukin-6-mediated signaling pathway"
"SMAD4","secondary palate development"
"SMAD4","pri-miRNA transcription by RNA polymerase II"
"SMAD4","female gonad morphogenesis"
"SMAD4","endocardial cell differentiation"
"SMAD4","negative regulation of cell death"
"SMAD4","ventricular septum morphogenesis"
"SMAD4","SMAD protein signal transduction"
"SMAD4","positive regulation of SMAD protein signal transduction"
"SMAD4","uterus development"
"SMAD4","regulation of hair follicle development"
"SMAD4","positive regulation of histone H3-K4 methylation"
"SMAD4","regulation of binding"
"SMAD4","formation of anatomical boundary"
"SMAD4","sebaceous gland development"
"SMAD4","neuron fate commitment"
"SMAD4","developmental growth"
"SMAD4","mesendoderm development"
"SMAD4","positive regulation of follicle-stimulating hormone secretion"
"SMAD4","metal ion binding"
"SMAD4","positive regulation of transcription by RNA polymerase II"
"SMAD4","positive regulation of transcription, DNA-templated"
"SMAD4","negative regulation of transcription, DNA-templated"
"SMAD4","transcription regulatory region DNA binding"
"SMAD4","sequence-specific DNA binding"
"SMAD4","sulfate binding"
"SMAD4","protein homodimerization activity"
"SMAD4","identical protein binding"
"SMAD4","embryonic digit morphogenesis"
"SMAD4","endothelial cell activation"
"SMAD4","atrioventricular canal development"
"SMAD4","intracellular signal transduction"
"SMAD4","somatic stem cell population maintenance"
"SMAD4","positive regulation of luteinizing hormone secretion"
"SMAD4","regulation of transforming growth factor beta2 production"
"SMAD4","somite rostral/caudal axis specification"
"SMAD4","activin responsive factor complex"
"SMAD4","transforming growth factor beta receptor, common-partner cytoplasmic mediator activity"
"SMAD4","positive regulation of BMP signaling pathway"
"SMAD4","positive regulation of transforming growth factor beta receptor signaling pathway"
"SMAD4","BMP signaling pathway"
"SMAD4","negative regulation of cell growth"
"SMAD4","regulation of transforming growth factor beta receptor signaling pathway"
"SMAD4","protein deubiquitination"
"SMAD4","neural crest cell differentiation"
"SMAD4","positive regulation of pathway-restricted SMAD protein phosphorylation"
"SMAD4","positive regulation of epithelial to mesenchymal transition"
"SMAD4","negative regulation of cardiac muscle hypertrophy"
"SMAD4","negative regulation of cell population proliferation"
"SMAD4","cell population proliferation"
"SMAD4","axon guidance"
"SMAD4","single fertilization"
"SMAD4","spermatogenesis"
"SMAD4","SMAD protein complex assembly"
"SMAD4","transforming growth factor beta receptor signaling pathway"
"SMAD4","cellular iron ion homeostasis"
"SMAD4","cytosol"
"SMAD4","centrosome"
"SMAD4","cytoplasm"
"SMAD4","transcription factor complex"
"SMAD4","nucleoplasm"
"SMAD4","nucleus"
"SMAD4","cell"
"SMAD4","collagen binding"
"SMAD4","protein binding"
"SMAD4","transcription coregulator activity"
"SMAD4","DNA-binding transcription factor activity"
"SMAD4","chromatin binding"
"SMAD4","DNA binding"
"SMAD4","brainstem development"
"SMAD4","positive regulation of cell proliferation involved in heart valve morphogenesis"
"SMAD4","left ventricular cardiac muscle tissue morphogenesis"
"SMAD4","epithelial to mesenchymal transition involved in endocardial cushion formation"
"SMAD4","atrioventricular valve formation"
"SMAD4","outflow tract septum morphogenesis"
"SMAD4","gastrulation with mouth forming second"
"SMAD4","in utero embryonic development"
"SMAD4","response to hypoxia"
