"V1","V2"
"IKBKB","transferrin receptor binding"
"IKBKB","negative regulation of bicellular tight junction assembly"
"IKBKB","regulation of establishment of endothelial barrier"
"IKBKB","scaffold protein binding"
"IKBKB","protein localization to plasma membrane"
"IKBKB","cellular response to tumor necrosis factor"
"IKBKB","interleukin-1-mediated signaling pathway"
"IKBKB","stress-activated MAPK cascade"
"IKBKB","positive regulation of NF-kappaB transcription factor activity"
"IKBKB","T cell receptor signaling pathway"
"IKBKB","protein heterodimerization activity"
"IKBKB","positive regulation of transcription by RNA polymerase II"
"IKBKB","positive regulation of transcription, DNA-templated"
"IKBKB","membrane raft"
"IKBKB","innate immune response"
"IKBKB","positive regulation of I-kappaB kinase/NF-kappaB signaling"
"IKBKB","negative regulation of apoptotic process"
"IKBKB","protein homodimerization activity"
"IKBKB","identical protein binding"
"IKBKB","regulation of phosphorylation"
"IKBKB","Fc-epsilon receptor signaling pathway"
"IKBKB","TRIF-dependent toll-like receptor signaling pathway"
"IKBKB","CD40 receptor complex"
"IKBKB","negative regulation of myosin-light-chain-phosphatase activity"
"IKBKB","tumor necrosis factor-mediated signaling pathway"
"IKBKB","cortical actin cytoskeleton organization"
"IKBKB","protein kinase binding"
"IKBKB","peptidyl-serine phosphorylation"
"IKBKB","viral process"
"IKBKB","regulation of tumor necrosis factor-mediated signaling pathway"
"IKBKB","cytoplasmic side of plasma membrane"
"IKBKB","response to virus"
"IKBKB","IkappaB kinase complex"
"IKBKB","IkappaB kinase activity"
"IKBKB","I-kappaB phosphorylation"
"IKBKB","I-kappaB kinase/NF-kappaB signaling"
"IKBKB","inflammatory response"
"IKBKB","protein phosphorylation"
"IKBKB","cytosol"
"IKBKB","cytoplasm"
"IKBKB","nucleus"
"IKBKB","ATP binding"
"IKBKB","protein binding"
"IKBKB","protein serine/threonine kinase activity"
"IKBKB","protein kinase activity"
"IKBKB","MyD88-independent toll-like receptor signaling pathway"
"IKBKB","antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent"
"IKBKB","stimulatory C-type lectin receptor signaling pathway"
"DNAJB5","chaperone binding"
"DNAJB5","chaperone cofactor-dependent protein refolding"
"DNAJB5","unfolded protein binding"
"DNAJB5","response to unfolded protein"
"DNAJB5","cytosol"
"DNAJB5","nucleus"
"DNAJB5","protein binding"
"DNAJB5","negative regulation of transcription by RNA polymerase II"
"AGFG1","membrane organization"
"AGFG1","metal ion binding"
"AGFG1","intermediate filament organization"
"AGFG1","positive regulation of GTPase activity"
"AGFG1","intracellular membrane-bounded organelle"
"AGFG1","neuronal cell body"
"AGFG1","cell projection"
"AGFG1","cytoplasmic vesicle"
"AGFG1","spermatid nucleus differentiation"
"AGFG1","multicellular organism development"
"AGFG1","mRNA export from nucleus"
"AGFG1","cytosol"
"AGFG1","nuclear pore"
"AGFG1","protein binding"
"AGFG1","GTPase activator activity"
"AGFG1","RNA binding"
"AGFG1","DNA binding"
"AGFG1","acrosome assembly"
"XPO1","ribonucleoprotein complex"
"XPO1","intracellular transport of virus"
"XPO1","mRNA transport"
"XPO1","regulation of protein export from nucleus"
"XPO1","host cell"
"XPO1","regulation of mRNA stability"
"XPO1","intracellular membrane-bounded organelle"
"XPO1","response to drug"
"XPO1","ribosome biogenesis"
"XPO1","protein localization to nucleus"
"XPO1","protein-containing complex"
"XPO1","regulation of proteasomal ubiquitin-dependent protein catabolic process"
"XPO1","nuclear membrane"
"XPO1","protein domain specific binding"
"XPO1","viral process"
"XPO1","membrane"
"XPO1","Cajal body"
"XPO1","regulation of centrosome duplication"
"XPO1","Ran GTPase binding"
"XPO1","nucleocytoplasmic transport"
"XPO1","protein export from nucleus"
"XPO1","cytosol"
"XPO1","cytoplasm"
"XPO1","nucleolus"
"XPO1","nucleoplasm"
"XPO1","annulate lamellae"
"XPO1","nuclear envelope"
"XPO1","nucleus"
"XPO1","protein binding"
"XPO1","nuclear export signal receptor activity"
"XPO1","RNA binding"
"XPO1","kinetochore"
"XPO1","negative regulation of transcription by RNA polymerase II"
"XPO1","ribosomal small subunit export from nucleus"
"XPO1","ribosomal large subunit export from nucleus"
"XPO1","ribosomal subunit export from nucleus"
"XPO1","AGFG1"
"SLC25A6","transmembrane transport"
"SLC25A6","regulation of insulin secretion"
"SLC25A6","viral process"
"SLC25A6","integral component of membrane"
"SLC25A6","ATP transport"
"SLC25A6","ADP transport"
"SLC25A6","apoptotic process"
"SLC25A6","protein targeting to mitochondrion"
"SLC25A6","TIM23 mitochondrial import inner membrane translocase complex"
"SLC25A6","mitochondrial inner membrane"
"SLC25A6","mitochondrion"
"SLC25A6","nucleus"
"SLC25A6","protein binding"
"SLC25A6","ATP:ADP antiporter activity"
"DDX58","positive regulation of interleukin-6 secretion"
"DDX58","ribonucleoprotein complex"
"DDX58","positive regulation of tumor necrosis factor secretion"
"DDX58","positive regulation of interferon-alpha secretion"
"DDX58","antiviral innate immune response"
"DDX58","cellular response to exogenous dsRNA"
"DDX58","positive regulation of response to cytokine stimulus"
"DDX58","defense response to virus"
"DDX58","positive regulation of DNA-binding transcription factor activity"
"DDX58","positive regulation of transcription by RNA polymerase II"
"DDX58","innate immune response"
"DDX58","response to exogenous dsRNA"
"DDX58","identical protein binding"
"DDX58","RIG-I signaling pathway"
"DDX58","cytoplasmic pattern recognition receptor signaling pathway in response to virus"
"DDX58","positive regulation of interferon-beta secretion"
"DDX58","regulation of type III interferon production"
"DDX58","positive regulation of interleukin-8 production"
"DDX58","positive regulation of interleukin-6 production"
"DDX58","positive regulation of interferon-beta production"
"DDX58","positive regulation of interferon-alpha production"
"DDX58","positive regulation of granulocyte macrophage colony-stimulating factor production"
"DDX58","ruffle membrane"
"DDX58","negative regulation of type I interferon production"
"DDX58","ubiquitin protein ligase binding"
"DDX58","regulation of cell migration"
"DDX58","protein deubiquitination"
"DDX58","viral process"
"DDX58","actin cytoskeleton"
"DDX58","positive regulation of gene expression"
"DDX58","response to virus"
"DDX58","detection of virus"
