"node","type"
"10407.X_HBVCJ",0
"10407.CAPSD_HBVCJ",0
"10407.HBEAG_HBVCJ",0
"SIRT1",1
"MMP2",1
"RIPK2",1
"TGFB1",1
"SERPINE1",1
"TNFSF10",1
"CAPNS1",1
"WISP1",1
"PSMC1",1
"CDH1",1
"EPCAM",1
"IL7",1
"TUBB4A",1
"ATF2",1
"STAT3",1
"ICAM1",1
"PDCD6",1
"VDAC1",1
"IGF1R",1
"TP53",1
"TNFRSF10B",1
"IL18",1
"BAX",1
"BIRC5",1
"IL7R",1
"RSF1",1
"CFLAR",1
"SOCS3",1
"SMAD4",1
"STAT1",1
"PTGS2",1
"GTF2B",1
"PSMA7",1
"AFP",1
"CREB1",1
"TNF",1
"single strand break repair",6
"regulation of DNA recombination",6
"G2/M transition of mitotic cell cycle",6
"negative regulation of transcription by RNA polymerase II",6
"histone acetyltransferase complex",6
"Golgi membrane",6
"MAPK cascade",6
"chromatin silencing at rDNA",6
"activation of MAPKKK activity",6
"activation of MAPK activity",6
"protein polyubiquitination",6
"microtubule cytoskeleton organization",6
"nuclear chromosome",6
"mitotic cell cycle",6
"magnesium ion binding",6
"proteasome complex",6
"pyrimidine dimer repair by nucleotide-excision repair",6
"DNA synthesis involved in DNA repair",6
"DNA strand renaturation",6
"chromosome, centromeric region",6
"condensed chromosome kinetochore",6
"nuclear chromatin",6
"cell morphogenesis",6
"RNA polymerase II regulatory region sequence-specific DNA binding",6
"RNA polymerase II cis-regulatory region sequence-specific DNA binding",6
"RNA polymerase II core promoter sequence-specific DNA binding",6
"DNA-binding transcription factor activity, RNA polymerase II-specific",6
"cis-regulatory region sequence-specific DNA binding",6
"RNA polymerase II complex binding",6
"core promoter sequence-specific DNA binding",6
"core promoter binding",6
"RNA polymerase II transcription factor binding",6
"TFIID-class transcription factor complex binding",6
"RNA polymerase II activating transcription factor binding",6
"RNA polymerase II repressing transcription factor binding",6
"RNA polymerase II complex recruiting activity",6
"transcriptional start site selection at RNA polymerase II promoter",6
"transcription coactivator binding",6
"RNA polymerase II transcription coactivator binding",6
"DNA-binding transcription activator activity, RNA polymerase II-specific",6
"chronological cell aging",6
"prostaglandin biosynthetic process",6
"angiogenesis",6
"ovarian follicle development",6
"ovulation from ovarian follicle",6
"vasculogenesis",6
"virus receptor activity",6
"ureteric bud development",6
"branching involved in ureteric bud morphogenesis",6
"temperature homeostasis",6
"behavioral fear response",6
"response to hypoxia",6
"cellular glucose homeostasis",6
"in utero embryonic development",6
"gastrulation with mouth forming second",6
"eye photoreceptor cell differentiation",6
"somitogenesis",6
"neuron migration",6
"immunological synapse",6
"microglial cell activation",6
"T cell homeostatic proliferation",6
"B cell homeostasis",6
"B cell apoptotic process",6
"phosphotyrosine residue binding",6
"positive regulation of cytokine production",6
"kidney development",6
"release of cytochrome c from mitochondria",6
"epithelial to mesenchymal transition",6
"neural tube closure",6
"protein insertion into mitochondrial membrane involved in apoptotic signaling pathway",6
"phagocytic cup",6
"regulation of leukocyte mediated cytotoxicity",6
"negative regulation of T cell mediated cytotoxicity",6
"negative regulation of protein phosphorylation",6
"positive regulation of protein phosphorylation",6
"negative regulation of endothelial cell proliferation",6
"positive regulation of endothelial cell proliferation",6
"blood vessel maturation",6
"intramembranous ossification",6
"positive regulation of cytokine-mediated signaling pathway",6
"blood vessel remodeling",6
"response to amphetamine",6
"protease binding",6
"p53 binding",6
"positive regulation of mesenchymal cell proliferation",6
"chondrocyte differentiation",6
"stimulatory C-type lectin receptor signaling pathway",6
"positive regulation of defense response to virus by host",6
"hematopoietic progenitor cell differentiation",6
"connective tissue replacement involved in inflammatory response wound healing",6
"adaptive immune response",6
"myeloid cell homeostasis",6
"T cell activation via T cell receptor contact with antigen bound to MHC molecule on antigen presenting cell",6
"T cell proliferation involved in immune response",6
"B cell lineage commitment",6
"B cell negative selection",6
"B cell homeostatic proliferation",6
"T cell lineage commitment",6
"immunoglobulin production",6
"acute inflammatory response to antigenic stimulus",6
"chronic inflammatory response to antigenic stimulus",6
"T cell antigen processing and presentation",6
"antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent",6
"platelet degranulation",6
"positive regulation of cellular extravasation",6
"negative regulation of cytokine secretion involved in immune response",6
"positive regulation of adaptive immune response",6
"positive regulation of chronic inflammatory response to antigenic stimulus",6
"positive regulation of B cell apoptotic process",6
"positive regulation of humoral immune response mediated by circulating immunoglobulin",6
"response to ischemia",6
"outflow tract septum morphogenesis",6
"outflow tract morphogenesis",6
"heart valve morphogenesis",6
"aortic valve morphogenesis",6
"atrioventricular valve formation",6
"epithelial to mesenchymal transition involved in endocardial cushion formation",6
"left ventricular cardiac muscle tissue morphogenesis",6
"positive regulation of cell proliferation involved in heart valve morphogenesis",6
"negative regulation of mesenchymal to epithelial transition involved in metanephros morphogenesis",6
"brainstem development",6
"DNA binding",6
"chromatin binding",6
"double-stranded DNA binding",6
"DNA-binding transcription factor activity",6
"transcription coregulator activity",6
"transcription coactivator activity",6
"transcription corepressor activity",6
"RNA binding",6
"mRNA 3'-UTR binding",6
"antigen binding",6
"GTPase activity",6
"NAD+ ADP-ribosyltransferase activity",6
"endopeptidase activity",6
"calcium-dependent cysteine-type endopeptidase activity",6
"metalloendopeptidase activity",6
"serine-type endopeptidase activity",6
"threonine-type endopeptidase activity",6
"histone acetyltransferase activity",6
"histone deacetylase activity",6
"peroxidase activity",6
"prostaglandin-endoperoxide synthase activity",6
"protein serine/threonine kinase activity",6
"protein tyrosine kinase activity",6
"transmembrane receptor protein tyrosine kinase activity",6
"non-membrane spanning protein tyrosine kinase activity",6
"protein kinase inhibitor activity",6
"serine-type endopeptidase inhibitor activity",6
"nuclear receptor activity",6
"transmembrane signaling receptor activity",6
"cytokine receptor activity",6
"interleukin-7 receptor activity",6
