source,target
PML,RANBP2
PML,SP100
PML,USP7
PML,TDG
PML,SUMO1
PML,RNF4
PML,SUMO3
PML,TOPBP1
PML,TULP3
PML,SUMO2
PML,RBX1
PML,RAD51
PML,UBE2I
PML,TP53
PML,WRN
PML,SIRT1
PML,UBE2U
PML,RUNX1
PML,SFXN3
PML,SPI1
PML,SENP1
PML,TRIM69
PML,SP1
PML,PYCARD
PML,ZBTB16
PML,TERT
PML,TRIM25
PML,TP53BP1
PML,SKP1
PML,ZNF451
PML,TP63
PML,YAP1
PML,STAT1
PML,STAT3
PML,RNF125
PML,UBE3A
PML,SMARCA4
PML,SATB1
PML,RELA
PML,PML
PML,SQSTM1
PML,TRIM27
PML,RNF123
PML,RNF111
PML,STAT2
PML,PPARG
PML,SIAH2
PML,SMAD2
PML,TES
PML,RBCK1
PML,SIAH1
PML,TRIM21
PML,SMURF2
PML,RPTOR
PML,RAE1
PML,TRIM5
PML,SMURF1
PML,TGFBR1
PML,POM121
PML,TPR
PML,UBC
PML,RBBP4
PML,TRIM8
PML,POM121C
PML,UBA52
PML,PTEN
PML,UBB
PML,RPS27A
PML,TNRC6A
PML,TRIM3
PML,TRIM14
RPA2,SEC22B
RPA2,SDF4
RPA2,TGOLN2
RPA2,STRA13
RPA2,VCP
RPA2,TUBB4B
RPA2,THOC6
RPA2,STAT3
RPA2,WRN
RPA2,UBE2A
RPA2,UBC
RPA2,TUBB
RPA2,TOP2A
RPA2,TAGLN2
RPA2,WDR82
RPA2,TOP3A
RPA2,TAF15
RPA2,TPX2
RPA2,XPC
RPA2,TP53BP1
RPA2,RPA3
RPA2,RUVBL2
RPA2,TUBB2A
RPA2,SF3B3
RPA2,XRN2
RPA2,TRIP12
RPA2,TMPO
RPA2,YAP1
RPA2,SCAMP3
RPA2,USP7
RPA2,SF3B1
RPA2,TP53
RPA2,XRCC6
RPA2,YWHAE
RPA2,UBQLN2
RPA2,XPA
RPA2,SEH1L
RPA2,TFRC
RPA2,ZNF598
RPA2,UBE2M
RPA2,STYX
RPA2,TOPBP1
RPA2,UFD1L
RPA2,ZRANB3
RPA2,UBE2B
RPA2,RPS27A
RPA2,UBE2L6
RPA2,UBB
RPA2,WDR48
RPA2,UBE2N
RPA2,TRIM25
RPA2,UBA7
RPA2,USP1
RPA2,UBE2T
RPA2,SPO11
RPA2,SUMO3
RPA2,YWHAZ
RPA2,SUMO2
RPA2,SUMO1
RPA2,UBE2V2
RPA2,UBA52
RPA2,TCEA1
RPA2,XRCC3
STAT3,TRAF6
STAT3,STAT6
STAT3,TIRAP
STAT3,STAT5B
STAT3,TRIM25
STAT3,TDG
STAT3,TRIM11
STAT3,STAT3
STAT3,TBC1D22B
STAT3,TWIST1
STAT3,TES
STAT3,SUPT20H
STAT3,TLR2
STAT3,TNF
STAT3,TLR9
STAT3,TYK2
STAT3,VIM
STAT3,STAT4
STAT3,TP53
STAT3,STAT5A
STAT3,TLR4
STAT3,YES1
ALDOA,GAPDH
ALDOA,TRIM63
ALDOA,MLH1
ALDOA,PKM
ALDOA,CUL3
ALDOA,ECHS1
ALDOA,GPD1L
ALDOA,CFTR
ALDOA,FUS
ALDOA,CDC34
ALDOA,LIG4
ALDOA,UBE2M
ALDOA,USP15
ALDOA,FKBP2
ALDOA,CUL4B
ALDOA,ISYNA1
ALDOA,CUL2
ALDOA,TAGLN2
ALDOA,SUMO2
ALDOA,ATXN3
ALDOA,MAP2K7
ALDOA,PCNA
ALDOA,MYC
ALDOA,ARHGDIA
ALDOA,MYH7B
ALDOA,HUWE1
ALDOA,SUMO4
ALDOA,NTRK1
ALDOA,BRCA1
ALDOA,KRAS
ALDOA,ESR2
ALDOA,HNRNPA1
ALDOA,APEX1
ALDOA,RAD52
ALDOA,IFNA4
ALDOA,TRIM25
ALDOA,PIAS4
ALDOA,FANCA
ALDOA,EGFR
ALDOA,ALDOB
ALDOA,KIAA1429
ALDOA,LGALS1
ALDOA,MCM2
ALDOA,RNF4
ALDOA,RECQL4
ALDOA,EFTUD2
ALDOA,NCSTN
