source,target
RPA2,VCP
RPA2,WRN
RPA2,RPL19
RPA2,UBC
RPA2,TUBB
RPA2,SNAI1
RPA2,RPA4
RPA2,TERF2
RPA2,RPS8
RPA2,TCF7L2
RPA2,XPC
RPA2,SSRP1
RPA2,TLE1
RPA2,TRIM28
RPA2,RPA3
RPA2,XRCC1
RPA2,TIAL1
RPA2,TMPO
RPA2,YAP1
RPA2,TP53
RPA2,XRCC6
RPA2,TOP2B
RPA2,XRCC5
RPA2,XPA
RPA2,SUPT16H
RPA2,RPS3A
RPA2,UBE2M
RPA2,TARDBP
RPA2,WDR76
RPA2,TOPBP1
RPA2,RPS27A
RPA2,UBB
RPA2,UBE2N
RPA2,TRIM25
RPA2,RRM2
RPA2,SUMO3
RPA2,SUMO2
RPA2,SUMO1
RPA2,TIMELESS
RPA2,UBE2V2
RPA2,USP10
RPA2,UBA52
EP300,HIST1H1A
EP300,PGR
EP300,IMMT
EP300,ING4
EP300,MAPT
EP300,SMAD2
EP300,SMAD3
EP300,SMAD4
EP300,SP1
EP300,HIF1A
EP300,HIST1H3A
EP300,NFATC1
EP300,YAP1
EP300,PIAS1
EP300,MDM2
EP300,IRF2
EP300,NFATC2
EP300,MED23
EP300,RAD50
EP300,HIPK2
EP300,HDAC1
EP300,HIST1H4A
EP300,SENP3
EP300,THRA
EP300,EZH2
EP300,SNAI1
EP300,MYC
EP300,POLB
EP300,JUN
EP300,TERF2
EP300,ESR1
EP300,H3F3A
EP300,KLF5
EP300,PRKAA1
EP300,MAPK1
EP300,ILF3
EP300,PIN1
EP300,HDAC3
EP300,PRMT1
EP300,NOTCH1
EP300,NBN
EP300,NR3C1
EP300,ZBTB16
EP300,SIRT1
EP300,UBE2I
EP300,KIAA1429
EP300,RARA
EP300,XRCC5
EP300,XRCC6
EP300,NFKB1
EP300,NPM1
EP300,PCNA
EP300,HDAC2
EP300,HIST1H2BB
EP300,HIST1H2AB
EP300,TCF3
EP300,FOXO1
EP300,KAT2B
EP300,PRKDC
EP300,FEN1
EP300,HMGN2
EP300,NFKBIA
EP300,POLD2
EP300,HIST3H3
EP300,RBM14
EP300,MAPK8
EP300,EP300
EP300,TCF7L2
EP300,VHL
EP300,TRIM25
EP300,ERG
EP300,TAL1
EP300,ETS1
EP300,UBE2M
EP300,RELA
EP300,MYB
EP300,MTF1
EP300,PARP1
EP300,MRE11A
EP300,HMGB1
EP300,XPA
EP300,PIAS3
EP300,USF1
EP300,HMGN1
EP300,KLF8
EP300,EWSR1
EP300,MYBL2
EP300,PIK3R1
EP300,NCOA6
EP300,SNW1
EP300,TP53
EP300,SUMO2
EP300,UBC
EP300,RECQL4
EP300,ERCC1
EP300,RFC2
EP300,RBX1
EP300,GZMB
EP300,POLE2
EP300,RPA3
EP300,HDAC5
EP300,HES1
EP300,POLK
EP300,MED17
EP300,RPA1
EP300,KRAS
EP300,GTF2H4
EP300,MNAT1
EP300,XRCC1
EP300,GTF2F1
EP300,POU2F1
EP300,TNF
EP300,HIST2H2AA3
EP300,POLE
EP300,H2AFZ
EP300,SUMO1
EP300,OGT
EP300,ERCC2
EP300,MED14
EP300,POLD4
EP300,LIG3
EP300,SUZ12
EP300,MOV10
EP300,MED6
EP300,POLE4
EP300,LIG1
EP300,RFC5
EP300,HSPA1A
EP300,RFC4
EP300,RPA2
EP300,MED7
EP300,UBA52
EP300,THRAP3
EP300,HSPA2
EP300,GTF2H5
EP300,ERCC4
EP300,MED24
EP300,ERCC5
EP300,H2AFX
EP300,POLD3
EP300,TLE1
EP300,UBB
EP300,GTF2H2
EP300,RPS27A
EP300,GTF2H1
EP300,POLE3
EP300,POLD1
EP300,HIST1H2BA
EP300,MED1
EP300,SFN
EP300,GTF2H3
EP300,HDAC9
EP300,SMARCA4
EP300,HDAC4
EP300,RFC1
EP300,HIST1H4C
EP300,THRB
EP300,ERCC3
EP300,MED12
EP300,RFC3
ARRB2,RPS27A
ARRB2,CAMK2D
ARRB2,CENPB
ARRB2,PABPC1
ARRB2,HNRNPA1
ARRB2,UBC
ARRB2,RPA1
ARRB2,RPL35
ARRB2,HDAC2
ARRB2,MDM2
ARRB2,HIST1H1A
ARRB2,SENP1
ARRB2,H2AFX
ARRB2,RPL14
ARRB2,THRAP3
ARRB2,TMPO
ARRB2,VCP
ARRB2,SIRT1
ARRB2,MAPK1
ARRB2,NFKBIA
ARRB2,ILF3
ARRB2,HIST1H1C
ARRB2,UBA52
ARRB2,RPS6
ARRB2,G3BP2
ARRB2,WDR77
ARRB2,CDK7
ARRB2,RPL19
ARRB2,PABPC4
ARRB2,XRCC5
ARRB2,XRCC6
ARRB2,UBB
ARRB2,EFTUD2
ARRB2,RPS8
ARRB2,RPS3A
ARRB2,STUB1
ARRB2,EGFR
ARRB2,PRDM16
ARRB2,TRIM28
ARRB2,MYC
ARRB2,CUL3
ARRB2,ATG16L1
ARRB2,PRMT1
ARRB2,HNRNPH1
ARRB2,NPM1
ARRB2,NFKB1
ARRB2,KRAS
ARRB2,NOTCH1
ARRB2,BRAF
ARRB2,SND1
ARRB2,FN1
ARRB2,LMNA
ARRB2,RELA
ARRB2,LYN
BARD1,MAPK1
BARD1,RBBP8
BARD1,TP53
BARD1,PIAS4
BARD1,MRE11A
BARD1,RFC2
BARD1,H2AFX
BARD1,TOP1
BARD1,EWSR1
BARD1,HIST1H4A
BARD1,MED17
BARD1,UIMC1
BARD1,NBN
BARD1,KRAS
BARD1,FAM175A
BARD1,RELA
BARD1,TNKS
BARD1,HIST1H3A
BARD1,RAD51
BARD1,VCP
BARD1,UBC
BARD1,TOPBP1
BARD1,H2AFY
BARD1,TERF2
BARD1,LGALS3
BARD1,ESR1
BARD1,PARP1
BARD1,NFKBIA
BARD1,THRAP3
BARD1,WRN
BARD1,PARG
BARD1,MOV10
BARD1,PIAS1
BARD1,SNRNP70
BARD1,UBE2N
BARD1,CHD3
BARD1,NPM1
BARD1,XRCC6
BARD1,XRCC5
BARD1,CDK9
BARD1,BRCA1
BARD1,BARD1
BARD1,LARP7
BARD1,BRCA2
BARD1,CDK2
BARD1,PPM1G
BARD1,BCL2
BARD1,RAD50
BARD1,ELAVL1
BARD1,MEPCE
BARD1,ERCC1
BARD1,POLE2
BARD1,RPA3
BARD1,POLK
BARD1,RPA1
BARD1,RNF4
BARD1,POLE
BARD1,SUMO1
BARD1,POLD4
BARD1,POLD2
BARD1,HIST3H3
BARD1,POLE4
BARD1,CUL7
BARD1,UBE2V2
BARD1,BMI1
BARD1,RFC5
BARD1,RNF168
BARD1,CHEK1
BARD1,RFC4
BARD1,RPA2
BARD1,UBA52
BARD1,BUB1B
BARD1,BLM
BARD1,ERCC4
BARD1,POLD3
BARD1,SUMO2
BARD1,UBB
BARD1,TIMELESS
BARD1,FANCD2
BARD1,RPS27A
BARD1,PCNA
BARD1,CBX2
BARD1,POLE3
BARD1,POLD1
BARD1,RNF2
BARD1,UBE2I
BARD1,HIST1H2BA
BARD1,PRKDC
BARD1,RFC1
BARD1,HIST1H2BB
BARD1,CBX4
BARD1,RFC3
BRCA1,PRMT1
BRCA1,DDX24
BRCA1,SP1
BRCA1,TP53
BRCA1,RPL23A
BRCA1,RAD50
BRCA1,CDC5L
BRCA1,HIST1H2AB
BRCA1,EIF4G1
BRCA1,LGALS3
BRCA1,TARDBP
BRCA1,MOV10
BRCA1,NUP214
BRCA1,TOPBP1
BRCA1,ZNF423
BRCA1,HIF1A
BRCA1,TOP1
BRCA1,PIAS4
BRCA1,MRE11A
BRCA1,POLB
BRCA1,RECQL
BRCA1,PIAS1
BRCA1,PGR
BRCA1,UIMC1
BRCA1,UBC
BRCA1,PABPC1
BRCA1,NBN
BRCA1,CAPRIN1
BRCA1,SMAD3
BRCA1,CENPB
BRCA1,CDK9
BRCA1,TCEA2
BRCA1,RPL35
BRCA1,TERF2
BRCA1,H2AFY
BRCA1,NUP153
BRCA1,PARP1
BRCA1,JUN
BRCA1,CDK2
BRCA1,RBBP8
BRCA1,ETS1
BRCA1,MED17
BRCA1,CAMK2D
BRCA1,NUFIP2
BRCA1,HDAC1
BRCA1,RPA1
BRCA1,RFC4
BRCA1,PRKDC
BRCA1,MNAT1
BRCA1,IGF2BP3
BRCA1,RPL27A
BRCA1,CREBBP
BRCA1,HDAC2
BRCA1,RAD51
BRCA1,CTNNB1
BRCA1,HUWE1
BRCA1,CASP1
BRCA1,H2AFX
BRCA1,EZH2
BRCA1,RPL14
BRCA1,ERCC1
BRCA1,VCP
BRCA1,XRCC5
BRCA1,MYC
BRCA1,ERCC5
BRCA1,OGT
BRCA1,RNF168
BRCA1,RPL10
BRCA1,WRN
BRCA1,POLE
BRCA1,BRCA2
BRCA1,FANCD2
BRCA1,RAD23B
BRCA1,BRCA1
BRCA1,CDK8
BRCA1,ILF3
BRCA1,RELA
BRCA1,POLD1
BRCA1,MAPK1
BRCA1,RPS6
BRCA1,EP300
BRCA1,CHEK1
BRCA1,UBE2N
BRCA1,GTF2H4
BRCA1,RBM14
BRCA1,TRIM25
BRCA1,LMNA
BRCA1,RFC1
BRCA1,PCNA
BRCA1,SUPT16H
BRCA1,POU2F1
BRCA1,E2F1
BRCA1,HIST1H4A
BRCA1,CCNH
BRCA1,EFTUD2
BRCA1,POM121
BRCA1,UBE2I
BRCA1,TIAL1
BRCA1,BUB3
BRCA1,TUBB
BRCA1,RFC2
BRCA1,RPS3A
BRCA1,CDK7
BRCA1,DDB1
BRCA1,DNMT1
BRCA1,XRCC6
BRCA1,PABPC4
BRCA1,ERCC6
BRCA1,EWSR1
BRCA1,TNKS
BRCA1,FAM175A
BRCA1,CASP9
BRCA1,SUMO1
BRCA1,ESR1
BRCA1,SMARCA4
BRCA1,MED12
BRCA1,ERCC4
BRCA1,SUMO2
BRCA1,TRIM28
BRCA1,DDX6
BRCA1,CARM1
BRCA1,CETN1
BRCA1,RPA2
BRCA1,IFI30
BRCA1,PIK3R1
BRCA1,CAND1
BRCA1,RPA3
BRCA1,FXR2
BRCA1,SND1
BRCA1,SSRP1
BRCA1,DDX21
BRCA1,NPM1
