"V1","V2"
"APOBEC3G","ribonucleoprotein complex"
"APOBEC3G","DNA demethylation"
"APOBEC3G","DNA cytosine deamination"
"APOBEC3G","defense response to virus"
"APOBEC3G","negative regulation of viral process"
"APOBEC3G","deoxycytidine deaminase activity"
"APOBEC3G","negative regulation of single stranded viral RNA replication via double stranded DNA intermediate"
"APOBEC3G","innate immune response"
"APOBEC3G","negative regulation of viral genome replication"
"APOBEC3G","identical protein binding"
"APOBEC3G","apolipoprotein B mRNA editing enzyme complex"
"APOBEC3G","cytidine to uridine editing"
"APOBEC3G","base conversion or substitution editing"
"APOBEC3G","viral process"
"APOBEC3G","negative regulation of transposition"
"APOBEC3G","cytidine deamination"
"APOBEC3G","zinc ion binding"
"APOBEC3G","cytosol"
"APOBEC3G","cytoplasm"
"APOBEC3G","nucleus"
"APOBEC3G","protein binding"
"APOBEC3G","cytidine deaminase activity"
"APOBEC3G","RNA binding"
"APOBEC3G","positive regulation of defense response to virus by host"
"APOBEC3G","P-body"
"11723.VIF_SIVM1","APOBEC3G"
"11723.VIF_SIVM1","APOBEC3G"
