"node","type"
"11072.PRO_0000037847",0
"11072.PRO_0000037852",0
"IRAK3",1
"IFNB1",1
"magnesium ion binding",6
"negative regulation of cytokine-mediated signaling pathway",6
"adaptive immune response",6
"T cell activation involved in immune response",6
"B cell activation involved in immune response",6
"natural killer cell activation involved in immune response",6
"MyD88-dependent toll-like receptor signaling pathway",6
"protein serine/threonine kinase activity",6
"cytokine activity",6
"type I interferon receptor binding",6
"ATP binding",6
"extracellular region",6
"extracellular space",6
"nucleus",6
"cytoplasm",6
"plasma membrane",6
"protein phosphorylation",6
"humoral immune response",6
"cell surface receptor signaling pathway",6
"blood coagulation",6
"chloramphenicol O-acetyltransferase activity",6
"response to virus",6
"positive regulation of macrophage tolerance induction",6
"negative regulation of macrophage cytokine production",6
"cytokine-mediated signaling pathway",6
"natural killer cell activation",6
"B cell differentiation",6
"negative regulation of NF-kappaB transcription factor activity",6
"response to peptidoglycan",6
"response to lipopolysaccharide",6
"negative regulation of interleukin-12 production",6
"negative regulation of interleukin-6 production",6
"negative regulation of tumor necrosis factor production",6
"positive regulation of peptidyl-serine phosphorylation of STAT protein",6
"negative regulation of toll-like receptor signaling pathway",6
"cellular response to interferon-beta",6
"intracellular signal transduction",6
"B cell proliferation",6
"negative regulation of protein catabolic process",6
"protein homodimerization activity",6
"negative regulation of protein-containing complex disassembly",6
"regulation of protein-containing complex disassembly",6
"response to exogenous dsRNA",6
"negative regulation of MAP kinase activity",6
"negative regulation of viral genome replication",6
"positive regulation of innate immune response",6
"regulation of MHC class I biosynthetic process",6
"negative regulation of T cell differentiation",6
"negative regulation of innate immune response",6
"positive regulation of transcription by RNA polymerase II",6
"protein autophosphorylation",6
"protein heterodimerization activity",6
"positive regulation of NF-kappaB transcription factor activity",6
"defense response to virus",6
"type I interferon signaling pathway",6
"interleukin-1-mediated signaling pathway",6
"response to interleukin-1",6
"cellular response to exogenous dsRNA",6
"negative regulation of T-helper 2 cell cytokine production",6
"positive regulation of apoptotic signaling pathway",6
