"node","type"
"194440.TAX_HTL1C",0
"194440.HBZ_HTL1C",0
"194440.P30II_HTL1C",0
"194440.P12I_HTL1C",0
"IL2",2
"JUND",2
"EIF2S3",2
"ATM",2
"CALR",2
"SUV39H2",2
"JUN",2
"CREB1",2
"EHMT1",2
"EIF2S3L",2
"ELAVL1",2
"GLTSCR2",2
"HDAC5",2
"POLK",2
"MCM2",2
"EGFR",2
"MAGEC2",2
"PIM1",2
"EFTUD2",2
"RARS",2
"CDK7",2
"CDK6",2
"MOV10",2
"CYC1",2
"PSMA6",2
"PTRF",2
"FN1",2
"ARIH1",2
"PSMA5",2
"HRAS",2
"HIST1H2BB",2
"KPNA2",2
"MYC",2
"SIRT1",2
"GSK3B",2
"MAPK1",2
"KCNH2",2
"NTRK1",2
"AGR2",2
"CCNA1",2
"CCNA2",2
"NIPSNAP1",2
"EP300",2
"SUMO1",2
"TUBA1C",2
"EEF1G",2
"ITFG1",2
"ESR1",2
"EP400",2
"DDX1",2
"CCNT1",2
"CDC73",2
"HSP90B1",2
"CCT7",2
"KRAS",2
"NCOR2",2
"MLH1",2
"HNRNPL",2
"EZH2",2
"EIF5B",2
"KIAA1429",2
"CUL7",2
"APP",2
"MUS81",2
"HSPA5",2
"HUS1",2
"MECP2",2
"ENO1",2
"CD247",2
"EIF3E",2
"H2AFX",2
"HOXB9",2
"GPS2",2
"BRCA2",2
"RAB3IP",2
"HNRNPM",2
"EWSR1",2
"DACH1",2
"BRCA1",2
"EIF1B",2
"RPL21",2
"HIST1H4A",2
"CDC23",2
"RNF2",2
"CRP",2
"PMS1",2
"HIF1A",2
"TPM3",2
"HMOX1",2
"RPL27A",2
"MOGS",2
"CANX",2
"EZR",2
"RPL23A",2
"EIF4G2",2
"CEBPB",2
"CREB5",2
"RPL13A",2
"RNF4",2
"CCDC93",2
"RNF123",2
"EYA4",2
"CDC5L",2
"PPARG",2
"HDAC1",2
"EIF3A",2
"COPS6",2
"CDK9",2
"PEX5",2
"ITCH",2
"CA9",2
"MAGEA11",2
"HNRNPU",2
"IKBKG",2
"NR4A1",2
"INPPL1",2
"ARRB1",2
"GNB2L1",2
"ESR2",2
"CFTR",2
"CDH1",2
"PSMA4",2
"CSNK2A1",2
"DAXX",2
"ERCC1",2
"EIF2AK2",2
"EIF2B3",2
"APOB",2
"PARP1",2
"MAP3K7",2
"IL12RB1",2
"APOA1",2
"UBC",2
"POLR1B",2
"AKT3",2
"BECN1",2
"HSPA4",2
"CHD4",2
"AP3B1",2
"RPS6KA2",2
"ASH2L",2
"ANAPC5",2
"CDK1",2
"PTPRN",2
"HDAC3",2
"AP1G1",2
"SNW1",2
"MAPK7",2
"MTOR",2
"TP53",2
"DR1",2
"NHP2L1",2
"COPS5",2
"BMI1",2
"MDM2",2
"BRCC3",2
"POLR2A",2
"HERC2",2
"ACTB",2
"BCL10",2
"CHD3",2
"EIF2S2",2
"RECQL4",2
"SUZ12",2
"BID",2
"ETV5",2
"PHF19",2
"PSMA2",2
"GRB2",2
"SMAD7",2
"CDK2",2
"LCK",2
"SPOP",2
"APEX1",2
"MDC1",2
"RPL27",2
"VCP",2
"EGR2",2
"HSP90AA1",2
"NDUFS3",2
"EGLN3",2
