"node","type"
"11599.NCAP_HANTV",0
"TSC2",1
"neural tube closure",6
"GTPase activator activity",6
"protein binding",6
"nucleus",6
"cytoplasm",6
"lysosome",6
"Golgi apparatus",6
"cytosol",6
"negative regulation of protein kinase activity",6
"protein import into nucleus",6
"endocytosis",6
"heart development",6
"protein localization",6
"negative regulation of cell population proliferation",6
"negative regulation of phosphatidylinositol 3-kinase signaling",6
"postsynaptic density",6
"membrane",6
"viral process",6
"vesicle-mediated transport",6
"positive regulation of macroautophagy",6
"phosphatase binding",6
"regulation of endocytosis",6
"negative regulation of Wnt signaling pathway",6
"small GTPase binding",6
"negative regulation of TOR signaling",6
"TSC1-TSC2 complex",6
"protein homodimerization activity",6
"anoikis",6
"protein kinase B signaling",6
"positive regulation of GTPase activity",6
"regulation of insulin receptor signaling pathway",6
"negative regulation of insulin receptor signaling pathway",6
"insulin-like growth factor receptor signaling pathway",6
"perinuclear region of cytoplasm",6
"positive chemotaxis",6
"regulation of small GTPase mediated signal transduction",6
"regulation of cell cycle",6
"Hsp90 protein binding",6
"negative regulation of protein kinase B signaling",6
"negative regulation of mitophagy",6
