"V1","V2"
"AP3B1","axon cytoplasm"
"AP3B1","skin epidermis development"
"AP3B1","establishment of protein localization to mitochondrial membrane involved in mitochondrial fission"
"AP3B1","lung morphogenesis"
"AP3B1","platelet dense granule organization"
"AP3B1","positive regulation of NK T cell differentiation"
"AP3B1","anterograde synaptic vesicle transport"
"AP3B1","antigen processing and presentation, exogenous lipid antigen via MHC class Ib"
"AP3B1","synapse"
"AP3B1","protein localization to cell surface"
"AP3B1","melanosome organization"
"AP3B1","GTP-dependent protein binding"
"AP3B1","clathrin-coated vesicle membrane"
"AP3B1","clathrin adaptor complex"
"AP3B1","AP-3 adaptor complex"
"AP3B1","protein phosphatase binding"
"AP3B1","vesicle-mediated transport"
"AP3B1","synaptic vesicle budding from endosome"
"AP3B1","membrane"
"AP3B1","anterograde axonal transport"
"AP3B1","blood coagulation"
"AP3B1","lysosome organization"
"AP3B1","inflammatory response"
"AP3B1","intracellular protein transport"
"AP3B1","protein targeting to lysosome"
"AP3B1","Golgi apparatus"
"AP3B1","lysosomal membrane"
"AP3B1","mitochondrion"
"AP3B1","cell"
"AP3B1","respiratory system process"
"AP3B1","cell morphogenesis"
"BRD4","positive regulation of histone H3-K36 trimethylation"
"BRD4","regulation of phosphorylation of RNA polymerase II C-terminal domain"
"BRD4","P-TEFb complex binding"
"BRD4","RNA polymerase II C-terminal domain binding"
"BRD4","lysine-acetylated histone binding"
"BRD4","regulation of inflammatory response"
"BRD4","positive regulation of transcription by RNA polymerase II"
"BRD4","positive regulation of transcription, DNA-templated"
"BRD4","positive regulation of I-kappaB kinase/NF-kappaB signaling"
"BRD4","positive regulation of transcription elongation from RNA polymerase II promoter"
"BRD4","enzyme binding"
"BRD4","viral process"
"BRD4","positive regulation of G2/M transition of mitotic cell cycle"
"BRD4","RNA polymerase II CTD heptapeptide repeat kinase activity"
"BRD4","cellular response to DNA damage stimulus"
"BRD4","protein phosphorylation"
"BRD4","chromatin organization"
"BRD4","nucleoplasm"
"BRD4","nucleus"
"BRD4","protein binding"
"BRD4","transcription coregulator activity"
"BRD4","chromatin binding"
"BRD4","p53 binding"
"BRD4","condensed nuclear chromosome"
"BRD4","regulation of transcription involved in G1/S transition of mitotic cell cycle"
"SDHB","4 iron, 4 sulfur cluster binding"
"SDHB","3 iron, 4 sulfur cluster binding"
"SDHB","2 iron, 2 sulfur cluster binding"
"SDHB","ubiquinone binding"
"SDHB","metal ion binding"
"SDHB","mitochondrial membrane"
"SDHB","respiratory electron transport chain"
"SDHB","aerobic respiration"
"SDHB","electron transfer activity"
"SDHB","succinate dehydrogenase (ubiquinone) activity"
"SDHB","succinate metabolic process"
"SDHB","tricarboxylic acid cycle"
"SDHB","plasma membrane"
"SDHB","mitochondrial respiratory chain complex II, succinate dehydrogenase complex (ubiquinone)"
"SDHB","mitochondrial inner membrane"
"SDHB","mitochondrion"
"SDHB","nucleoplasm"
"SDHB","protein binding"
"BRD2","lysine-acetylated histone binding"
"BRD2","nuclear speck"
"BRD2","viral process"
"BRD2","spermatogenesis"
"BRD2","regulation of transcription by RNA polymerase II"
"BRD2","nucleosome assembly"
"BRD2","cytoplasm"
"BRD2","nucleoplasm"
"BRD2","protein binding"
"BRD2","chromatin binding"
"BRD2","neural tube closure"
"BRD2","BRD4"
"CWC27","catalytic step 2 spliceosome"
"CWC27","U2-type precatalytic spliceosome"
"CWC27","cyclosporin A binding"
"CWC27","protein folding"
"CWC27","nucleoplasm"
