"V1","V2"
"GTF2H1","global genome nucleotide-excision repair"
"GTF2H1","phosphorylation of RNA polymerase II C-terminal domain"
"GTF2H1","positive regulation of transcription by RNA polymerase II"
"GTF2H1","nucleotide-excision repair, DNA incision"
"GTF2H1","RNA polymerase II CTD heptapeptide repeat kinase activity"
"GTF2H1","DNA-dependent ATPase activity"
"GTF2H1","7-methylguanosine mRNA capping"
"GTF2H1","transcription elongation from RNA polymerase II promoter"
"GTF2H1","transcription initiation from RNA polymerase II promoter"
"GTF2H1","transcription by RNA polymerase II"
"GTF2H1","termination of RNA polymerase I transcription"
"GTF2H1","transcription elongation from RNA polymerase I promoter"
"GTF2H1","transcription initiation from RNA polymerase I promoter"
"GTF2H1","transcription by RNA polymerase I"
"GTF2H1","nucleotide-excision repair, DNA incision, 5'-to lesion"
"GTF2H1","nucleotide-excision repair, DNA incision, 3'-to lesion"
"GTF2H1","nucleotide-excision repair, preincision complex assembly"
"GTF2H1","nucleotide-excision repair, preincision complex stabilization"
"GTF2H1","transcription-coupled nucleotide-excision repair"
"GTF2H1","DNA repair"
"GTF2H1","transcription factor TFIIH holo complex"
"GTF2H1","nucleoplasm"
"GTF2H1","protein binding"
"GTF2H1","protein kinase activity"
"GTF2H1","chromatin binding"
"GTF2H1","nucleotide-excision repair, DNA duplex unwinding"
"GTF2H1","transcription factor TFIIH core complex"
"GTF2H1","regulation of cyclin-dependent protein serine/threonine kinase activity"
"11613.NSS_TSWV1","GTF2H1"
"11613.NSS_TSWV1","GTF2H1"
