source,target
ACTN2,GNB2L1
ACTN2,DLG1
ACTN2,HSPB1
ACTN2,PSMB5
ACTN2,GRIN2B
ACTN2,SRP9
ACTN2,MYH8
ACTN2,QARS
ACTN2,PSMA3
ACTN2,YWHAQ
ACTN2,GRIN1
ACTN2,DLG4
ACTN2,SNW1
ACTN2,ACTN2
ACTN2,ERBB2IP
ACTN2,CFTR
ACTN2,VCL
ACTN2,CSK
ACTN2,HGF
ACTN2,KRAS
ACTN2,VWF
ACTN2,GRIN2D
ACTN2,PIK3CA
ACTN2,RASGRF2
ACTN2,EGF
ACTN2,OLA1
ACTN2,APP
ACTN2,GRIN2C
ACTN2,FGB
ACTN2,FGA
ACTN2,TMOD3
ACTN2,TLN1
ACTN2,CAMK2G
ACTN2,PDGFB
ACTN2,FGG
ACTN2,CAMK2D
ACTN2,PTK2
ACTN2,FN1
ACTN2,RAC1
ACTN2,AKAP9
ACTN2,KIRREL
ACTN2,EZR
ACTN2,NRAS
ACTN2,SPTAN1
ACTN2,SRC
ACTN2,ALDOA
ACTN2,CAMK2B
ACTN2,ITGB1
ACTN2,GRIN2A
ACTN2,CAMK2A
ACTN2,RHOA
ACTN2,RASGRF1
ACTN2,HRAS
ACTN2,PIK3R1
ACTN2,TTN
ACTN2,NEFL
ACTN2,VTI1B
ACTN2,VEGFA
PML,TRIM24
PML,TULP3
PML,SPTA1
PML,UBE2I
PML,TP53
PML,WRN
PML,RPL11
PML,RUNX3
PML,SENP1
PML,TERT
PML,TRIM25
PML,YAP1
PML,STAT3
PML,RELA
PML,PML
PML,PSMA3
PML,SQSTM1
PML,RPL5
PML,TOMM20
PML,RPTOR
PML,UBC
PML,UBA52
PML,PTEN
PML,UBB
PML,RPS27A
PML,TRIM3
RPA2,RPL15
RPA2,SEC22B
RPA2,SFPQ
RPA2,SPTA1
RPA2,THOC6
RPA2,STAT3
RPA2,RPL6
RPA2,THOC1
RPA2,WRN
RPA2,UBC
RPA2,RPL7
RPA2,SPTBN1
RPA2,SMC1A
RPA2,SPTAN1
RPA2,SMC3
RPA2,TRIM28
RPA2,RPL18
RPA2,RPS9
RPA2,TRIP12
RPA2,TMPO
RPA2,YAP1
RPA2,SCAMP3
RPA2,TPD52L2
RPA2,TP53
RPA2,XRCC6
RPA2,YWHAE
RPA2,SYNCRIP
RPA2,XRCC5
RPA2,SEH1L
RPA2,SUPT16H
RPA2,RPL18A
RPA2,TEX10
RPA2,TFRC
RPA2,UBE2M
RPA2,WDR76
RPA2,SF3B2
RPA2,RPS27A
RPA2,UBE2L6
RPA2,UBB
RPA2,TYMS
RPA2,UBE2N
RPA2,TRIM25
RPA2,YWHAZ
RPA2,UBA52
RPA2,TCEA1
STAT3,TRAF6
STAT3,TRIM24
STAT3,TRIM28
STAT3,TRIM25
STAT3,TBCD
STAT3,STAT3
STAT3,SYK
STAT3,VEGFA
STAT3,TWIST1
STAT3,TP53
STAT3,YES1
ARF1,NPRL2
ARF1,RICTOR
ARF1,DNM1L
ARF1,TSC1
ARF1,RALA
ARF1,HSP90AB1
ARF1,UBC
ARF1,RAB1A
ARF1,NRAS
ARF1,VPS51
ARF1,CAND1
ARF1,CTNNB1
ARF1,IGF1R
ARF1,RAB6A
ARF1,SLC33A1
ARF1,HUWE1
ARF1,SOAT1
ARF1,RAB11B
ARF1,GGA3
ARF1,ARF1
ARF1,KRAS
ARF1,DUSP22
ARF1,TBL1XR1
ARF1,COPE
ARF1,SEC23B
ARF1,CDC73
ARF1,UBE2J1
ARF1,TRAPPC2L
ARF1,EZH2
ARF1,PTPN1
ARF1,UBE2M
ARF1,UNK
ARF1,SAR1A
ARF1,CCT3
ARF1,RALBP1
ARF1,YKT6
ARF1,GOSR2
ARF1,CPD
ARF1,EREG
ARF1,TMED2
ARF1,VAMP7
ARF1,SPTBN4
ARF1,VAMP8
ARF1,PIK3CA
ARF1,ARF6
ARF1,TMED10
ARF1,ARHGAP1
ARF1,VAMP2
ARF1,SPTBN5
ARF1,RAC1
ARF1,SPTBN1
ARF1,IGF2R
ARF1,TFRC
ARF1,DNM3
ARF1,SPTA1
ARF1,PIP5K1A
ARF1,KIF2C
ARF1,SPTAN1
ARF1,KIF4A
ARF1,SNX5
ARF1,SNX2
ARF1,DNM2
ARF1,ARHGAP21
ARF1,KIF16B
ARF1,CHN1
ARF1,CAPZB
ARF1,DCTN2
ARF1,ARRB1
ARF1,DCTN4
ARF1,KLC1
ARF1,CDKN2A
ARF1,PIK3R1
ARF1,SPTBN2
ARF1,DYNLL2
ARF1,SPTB
ARF1,VEGFA
ARF1,SEC22B
GGA3,UBC
GGA3,IGF2R
GGA3,MET
GGA3,ITGB1
