"V1","V2"
"CISH","1-phosphatidylinositol-3-kinase regulator activity"
"CISH","phosphatidylinositol phosphorylation"
"CISH","post-translational protein modification"
"CISH","regulation of phosphatidylinositol 3-kinase activity"
"CISH","interleukin-7-mediated signaling pathway"
"CISH","intracellular signal transduction"
"CISH","protein ubiquitination"
"CISH","negative regulation of signal transduction"
"CISH","protein kinase C-activating G protein-coupled receptor signaling pathway"
"CISH","phosphatidylinositol 3-kinase complex"
"CISH","plasma membrane"
"CISH","cytosol"
"CISH","cellular_component"
"CISH","protein binding"
"CISH","molecular_function"
"CISH","regulation of cell growth"
"LAMP2","lysosomal matrix"
"LAMP2","lysosomal protein catabolic process"
"LAMP2","ficolin-1-rich granule membrane"
"LAMP2","membrane microdomain"
"LAMP2","integral component of autophagosome membrane"
"LAMP2","autophagosome maturation"
"LAMP2","establishment of protein localization to organelle"
"LAMP2","extracellular exosome"
"LAMP2","protein targeting to lysosome involved in chaperone-mediated autophagy"
"LAMP2","chaperone-mediated autophagy"
"LAMP2","protein stabilization"
"LAMP2","muscle cell cellular homeostasis"
"LAMP2","membrane raft"
"LAMP2","autolysosome"
"LAMP2","neutrophil degranulation"
"LAMP2","lysosomal lumen"
"LAMP2","azurophil granule membrane"
"LAMP2","late endosome membrane"
"LAMP2","regulation of protein stability"
"LAMP2","platelet dense granule membrane"
"LAMP2","phagocytic vesicle membrane"
"LAMP2","protein domain specific binding"
"LAMP2","enzyme binding"
"LAMP2","protein import"
"LAMP2","membrane"
"LAMP2","cellular response to starvation"
"LAMP2","protein targeting"
"LAMP2","plasma membrane"
"LAMP2","late endosome"
"LAMP2","lysosomal membrane"
"LAMP2","lysosome"
"LAMP2","cell"
"LAMP2","extracellular space"
"LAMP2","protein binding"
"LAMP2","platelet degranulation"
"SUMO3","regulation of protein localization to nucleus"
"SUMO3","negative regulation of DNA binding"
"SUMO3","protein sumoylation"
"SUMO3","PML body"
"SUMO3","cytoplasm"
"SUMO3","nucleoplasm"
"SUMO3","nucleus"
"SUMO3","protein binding"
"SUMO3","kinetochore"
"SOCS6","negative regulation of T cell activation"
"SOCS6","1-phosphatidylinositol-3-kinase regulator activity"
"SOCS6","phosphatidylinositol phosphorylation"
"SOCS6","post-translational protein modification"
"SOCS6","regulation of phosphatidylinositol 3-kinase activity"
"SOCS6","regulation of growth"
"SOCS6","intracellular signal transduction"
"SOCS6","protein ubiquitination"
"SOCS6","proteasomal protein catabolic process"
"SOCS6","negative regulation of signal transduction"
"SOCS6","receptor signaling pathway via JAK-STAT"
"SOCS6","defense response"
"SOCS6","phosphatidylinositol 3-kinase complex"
"SOCS6","cytosol"
"SOCS6","cytoplasm"
"SOCS6","protein binding"
"SOCS6","immunological synapse"
"SOCS6","CISH"
"DDX58","positive regulation of interleukin-6 secretion"
"DDX58","ribonucleoprotein complex"
"DDX58","positive regulation of tumor necrosis factor secretion"
"DDX58","positive regulation of interferon-alpha secretion"
"DDX58","antiviral innate immune response"
"DDX58","cellular response to exogenous dsRNA"
"DDX58","positive regulation of response to cytokine stimulus"
"DDX58","defense response to virus"
"DDX58","positive regulation of DNA-binding transcription factor activity"
"DDX58","positive regulation of transcription by RNA polymerase II"
"DDX58","innate immune response"
"DDX58","response to exogenous dsRNA"
"DDX58","identical protein binding"
"DDX58","RIG-I signaling pathway"
"DDX58","cytoplasmic pattern recognition receptor signaling pathway in response to virus"
"DDX58","positive regulation of interferon-beta secretion"
"DDX58","regulation of type III interferon production"
"DDX58","positive regulation of interleukin-8 production"
"DDX58","positive regulation of interleukin-6 production"
"DDX58","positive regulation of interferon-beta production"
"DDX58","positive regulation of interferon-alpha production"
"DDX58","positive regulation of granulocyte macrophage colony-stimulating factor production"
"DDX58","ruffle membrane"
"DDX58","negative regulation of type I interferon production"
"DDX58","ubiquitin protein ligase binding"
"DDX58","regulation of cell migration"
"DDX58","protein deubiquitination"
"DDX58","viral process"
"DDX58","actin cytoskeleton"
"DDX58","positive regulation of gene expression"
"DDX58","response to virus"
"DDX58","detection of virus"
"DDX58","zinc ion binding"
"DDX58","bicellular tight junction"
"DDX58","plasma membrane"
"DDX58","cytosol"
"DDX58","cytoplasm"
"DDX58","ATP binding"
"DDX58","protein binding"
"DDX58","single-stranded RNA binding"
"DDX58","double-stranded RNA binding"
"DDX58","RNA helicase activity"
"DDX58","double-stranded DNA binding"
"DDX58","positive regulation of myeloid dendritic cell cytokine production"
"DDX58","positive regulation of defense response to virus by host"
"SPAG6","sperm principal piece"
"SPAG6","cell projection organization"
"SPAG6","microtubule cytoskeleton"
"SPAG6","spermatid development"
"SPAG6","axoneme"
"SPAG6","microtubule"
"SPAG6","nucleus"
"KPNA1","postsynapse to nucleus signaling pathway"
"KPNA1","glutamatergic synapse"
"KPNA1","intracellular transport of virus"
"KPNA1","nuclear import signal receptor activity"
"KPNA1","host cell nucleus"
"KPNA1","dendrite"
"KPNA1","modulation by virus of host cellular process"
"KPNA1","postsynaptic density"
"KPNA1","nuclear localization sequence binding"
"KPNA1","NLS-bearing protein import into nucleus"
"KPNA1","apoptotic DNA fragmentation"
"KPNA1","cytosol"
"KPNA1","cytoplasm"
"KPNA1","nucleoplasm"
"KPNA1","nuclear pore"
"KPNA1","nucleus"
"KPNA1","protein binding"
"KPNA1","regulation of DNA recombination"
"KPNA4","nuclear import signal receptor activity"
"KPNA4","response to hydrogen peroxide"
"KPNA4","host cell nucleus"
"KPNA4","nuclear membrane"
"KPNA4","modulation by virus of host cellular process"
"KPNA4","nuclear localization sequence binding"
"KPNA4","NLS-bearing protein import into nucleus"
"KPNA4","cytosol"
"KPNA4","nucleoplasm"
"KPNA4","nuclear pore"
"KPNA4","protein binding"
"LAMP1","regulation of organelle transport along microtubule"
"LAMP1","ficolin-1-rich granule membrane"
