source,target
PML,TRIM24
PML,RNF4
PML,RUNX2
PML,RBX1
PML,TRIM22
PML,UBE2I
PML,TP53
PML,ZMYM2
PML,TRIM25
PML,SKP1
PML,YAP1
PML,STAT1
PML,STAT3
PML,SMARCA4
PML,RELA
PML,PML
PML,PPARGC1A
PML,RXRA
PML,STAT2
PML,PPARG
PML,TES
PML,TGFB1
PML,SMURF1
PML,TGFBR2
PML,VCAM1
STAT3,TRIM24
STAT3,TRIM28
STAT3,STAT6
STAT3,STAT5B
STAT3,TRIM25
STAT3,TBCD
STAT3,TRIM11
STAT3,STAT3
STAT3,VEGFA
STAT3,TWIST1
STAT3,TES
STAT3,TNFRSF1A
STAT3,TBX21
STAT3,THPO
STAT3,TGFB1
STAT3,TLR2
STAT3,TNF
STAT3,TYK2
STAT3,TNFRSF1B
STAT3,VCAM1
STAT3,STAT4
STAT3,TP53
STAT3,ZMYM2
STAT3,STAT5A
STAT3,YES1
EP300,MTOR
EP300,PTGS2
EP300,FOS
EP300,ITGAV
EP300,YAP1
EP300,STAT1
EP300,PIAS1
EP300,STAT5A
EP300,IRF2
EP300,TRAF2
EP300,STAT3
EP300,HSPA8
EP300,IRF7
EP300,RUNX2
EP300,HDAC1
EP300,TWIST1
EP300,HSF1
EP300,PPARGC1A
EP300,STAT2
EP300,PAK2
EP300,MYC
EP300,SRC
EP300,JUN
EP300,SMARCA2
EP300,MAPK14
EP300,ESR1
EP300,MAPK1
EP300,STAT6
EP300,TBX21
EP300,FOXP3
EP300,PPARG
EP300,HDAC3
EP300,RXRA
EP300,VDR
EP300,PRMT1
EP300,TNK2
EP300,NR3C1
EP300,RPS6KB1
EP300,PRKCD
EP300,UBE2I
EP300,PPARA
EP300,ESR2
EP300,IRF1
EP300,PPARD
EP300,NFKBIA
EP300,MCM5
EP300,MAPK8
EP300,EP300
EP300,TRIM25
EP300,GNB2L1
EP300,RELA
EP300,THPO
EP300,IRF3
EP300,HIST2H3C
EP300,SKP2
EP300,MAML2
EP300,PIAS3
EP300,EPO
EP300,MBD1
EP300,MAML1
EP300,TP53
EP300,RBX1
EP300,TGFB1
EP300,SKP1
EP300,HES1
EP300,NMI
EP300,TNF
EP300,HIST1H2BJ
EP300,IL1B
EP300,IFNB1
EP300,NR1H3
EP300,GATA3
EP300,MAML3
EP300,STAT5B
EP300,MAMLD1
EP300,STAT4
EP300,HSP90AB1
EP300,HEY1
EP300,SMARCA4
EP300,HDAC4
EP300,NOTCH3
EP300,VEGFA
EP300,PML
EP300,RBPJ
ARRB2,SPTBN1
ARRB2,CAMK2D
ARRB2,STAT1
ARRB2,CTTN
ARRB2,SPTAN1
ARRB2,HSPA8
ARRB2,SRC
ARRB2,HSP90AB1
ARRB2,VCP
ARRB2,MAPK3
ARRB2,MAPK1
ARRB2,NFKBIA
ARRB2,NAA15
ARRB2,PPP2R4
ARRB2,EGFR
ARRB2,TRIM28
ARRB2,MYC
ARRB2,NAA10
ARRB2,ATG16L1
ARRB2,RTF1
ARRB2,XPO1
ARRB2,PRMT1
ARRB2,MAPK14
ARRB2,EGF
ARRB2,TRIM24
ARRB2,ATG7
ARRB2,FYN
ARRB2,CXCR3
ARRB2,CXCL12
ARRB2,RELA
ARRB2,CXCR4
ARRB2,CSNK1A1
ARRB2,LYN
BCL3,EP300
BCL3,HDAC3
BCL3,HDAC1
