source,target
MAP2K4,TNIP2
MAP2K4,ITGAM
MAP2K4,MAP2K4
MAP2K4,GNB4
MAP2K4,KRT31
MAP2K4,CHGB
MAP2K4,SRSF9
MAP2K4,XPO1
MAP2K4,COPB2
MAP2K4,WBP4
MAP2K4,SKP2
MAP2K4,HDAC1
MAP2K4,RPL8
ACTN2,GPER1
ACTN2,EDNRB
ACTN2,RPF2
ACTN2,USP14
ACTN2,UBE2D1
ACTN2,TP53BP1
ACTN2,ASB8
ACTN2,RRP1B
ACTN2,CDC25C
ACTN2,RAB11A
ACTN2,XPO7
ACTN2,RPS2
ACTN2,EPRS
ACTN2,SNAI1
ACTN2,ESR2
ACTN2,IQGAP1
ACTN2,NLE1
ACTN2,HNRNPD
ACTN2,RBX1
ACTN2,CDC7
ACTN2,DPF2
ACTN2,KRAS
ACTN2,SNAP23
ACTN2,TRIM25
ACTN2,BIRC5
ACTN2,SOX2
ACTN2,XRCC6
ACTN2,CYSLTR1
ACTN2,UBAC1
ACTN2,EZH2
ACTN2,RLN3
ACTN2,RBM8A
ACTN2,RNF4
ACTN2,RNF2
ACTN2,HNRNPK
ACTN2,RPL36
XRN1,NMS
XRN1,CCNF
XRN1,EPRS
XRN1,UBC
XRN1,NEDD8
XRN1,UBE2V1
XRN1,RPS24
XRN1,TRIM25
XRN1,ATP5G1
XRN1,NRG3
XRN1,PARK2
XRN1,PCNA
XRN1,ASB18
ALDOA,CCND3
ALDOA,CDC20
ALDOA,CD3D
ALDOA,DNM1L
ALDOA,TRIM9
ALDOA,HIST1H2BH
ALDOA,UBE2D1
ALDOA,KIAA0907
ALDOA,HIST1H4A
ALDOA,TAS2R40
ALDOA,SHMT2
ALDOA,OS9
ALDOA,EEF1G
ALDOA,HSP90AB1
ALDOA,TRIM25
ALDOA,KNG1
ALDOA,RAD21
ALDOA,UBC
ALDOA,NR2F2
ALDOA,ANAPC4
ALDOA,DCPS
ALDOA,ALDOA
ALDOA,UQCRC1
ALDOA,TSHB
ALDOA,ACTN1
ALDOA,KLHL42
ALDOA,RPS7
CITED2,HAUS1
CITED2,SF3B2
CITED2,PAXIP1
CITED2,TRIM25
APOB,NFKBIB
APOB,FGR
APOB,EGLN3
APOB,NUP50
APOB,HOXA1
APOB,CTNNB1
APOB,ZBTB16
APOB,TP63
APOB,RBBP7
APOB,ACTN1
APOB,ACTB
APOB,CXCL6
APOB,LARP7
APOB,BTRC
APOB,SRSF7
APOB,NOC2L
APOB,HEXIM1
APOB,HSP90AB1
APOB,UBA5
APOB,EZH2
APOB,FPR2
APOB,PTPN11
APOB,NCOR2
APOB,PUF60
APOB,COX7A2L
APOB,PPIE
APOB,SSTR5
APOB,AOC1
APOB,HIST1H2BL
APOB,MMP8
APOB,PHB
APOB,TGOLN2
APOB,SF3B1
APOB,HECTD1
APOB,SND1
APOB,TRIM25
APOB,UBA52
APOB,UBC
APOB,CENPO
APOB,TRIM39
APOB,RACGAP1
APOB,UBE4A
APOB,TPM3
APOB,SNW1
APOB,TAS1R3
APOB,EZR
APOB,WDR12
APOB,C4A
GRB2,SNRPE
GRB2,CUL7
GRB2,GTF3C3
GRB2,SSX2IP
GRB2,TNRC6B
GRB2,RECQL4
GRB2,MIRLET7D
GRB2,CD53
GRB2,CBX3
GRB2,RPS18
GRB2,LRRC47
GRB2,HDAC1
GRB2,RAB8A
GRB2,PLK1
GRB2,YWHAZ
GRB2,PPP1CC
GRB2,SNRNP27
GRB2,NXF1
GRB2,SUMO1
GRB2,CCND1
GRB2,NTRK1
GRB2,TAS2R14
GRB2,GOLT1B
GRB2,HSP90AA1
GRB2,RAE1
GRB2,TNIP2
GRB2,HNRNPA1
GRB2,MSI1
GRB2,RC3H2
GRB2,GTF2H2
