"V1","V2"
"BRF1","RNA polymerase III preinitiation complex assembly"
"BRF1","metal ion binding"
"BRF1","positive regulation of transcription by RNA polymerase III"
"BRF1","TBP-class protein binding"
"BRF1","tRNA transcription"
"BRF1","rRNA transcription"
"BRF1","transcription factor binding"
"BRF1","transcription initiation from RNA polymerase III promoter"
"BRF1","transcription by RNA polymerase III"
"BRF1","DNA-templated transcription, initiation"
"BRF1","nucleoplasm"
"BRF1","nucleus"
"BRF1","protein binding"
"BRF1","RNA polymerase III type 3 promoter sequence-specific DNA binding"
"BRF1","transcription factor TFIIIB complex"
"CREBZF","regulation of DNA-binding transcription factor activity"
"CREBZF","negative regulation of transcription, DNA-templated"
"CREBZF","negative regulation of gene expression, epigenetic"
"CREBZF","identical protein binding"
"CREBZF","response to virus"
"CREBZF","regulation of transcription by RNA polymerase II"
"CREBZF","transcription, DNA-templated"
"CREBZF","mitochondrion"
"CREBZF","nucleoplasm"
"CREBZF","nucleus"
"CREBZF","protein binding"
"CREBZF","DNA binding"
"CREBZF","DNA-binding transcription factor activity, RNA polymerase II-specific"
"CREBZF","nuclear chromatin"
"POU2F2","cell maturation"
"POU2F2","positive regulation of transcription by RNA polymerase II"
"POU2F2","sequence-specific DNA binding"
"POU2F2","intracellular membrane-bounded organelle"
"POU2F2","snRNA transcription by RNA polymerase II"
"POU2F2","cell differentiation"
"POU2F2","protein domain specific binding"
"POU2F2","humoral immune response"
"POU2F2","transcription by RNA polymerase II"
"POU2F2","cytoplasm"
"POU2F2","nucleoplasm"
"POU2F2","nucleus"
"POU2F2","DNA-binding transcription factor activity"
"POU2F2","immunoglobulin secretion involved in immune response"
"POU2F2","mature B cell differentiation"
"POU2F2","DNA-binding transcription activator activity, RNA polymerase II-specific"
"POU2F2","DNA-binding transcription factor activity, RNA polymerase II-specific"
"POU2F2","RNA polymerase II cis-regulatory region sequence-specific DNA binding"
"POU2F2","nuclear chromatin"
"EIF4E","regulation of translation at postsynapse, modulating synaptic transmission"
"EIF4E","postsynaptic cytosol"
"EIF4E","glutamatergic synapse"
"EIF4E","cellular response to dexamethasone stimulus"
"EIF4E","repressing transcription factor binding"
"EIF4E","extracellular exosome"
"EIF4E","perinuclear region of cytoplasm"
"EIF4E","positive regulation of mitotic cell cycle"
"EIF4E","negative regulation of neuron differentiation"
"EIF4E","cytoplasmic ribonucleoprotein granule"
"EIF4E","chromatoid body"
"EIF4E","eukaryotic initiation factor 4G binding"
"EIF4E","lung development"
"EIF4E","enzyme binding"
"EIF4E","stem cell population maintenance"
"EIF4E","negative regulation of translation"
"EIF4E","RISC complex"
"EIF4E","eukaryotic translation initiation factor 4F complex"
"EIF4E","viral process"
"EIF4E","negative regulation of autophagy"
"EIF4E","cytoplasmic stress granule"
"EIF4E","regulation of translation"
"EIF4E","translational initiation"
"EIF4E","mRNA export from nucleus"
"EIF4E","RNA export from nucleus"
"EIF4E","mRNA cap binding complex"
"EIF4E","cytosol"
"EIF4E","cytoplasm"
"EIF4E","protein binding"
"EIF4E","translation initiation factor activity"
"EIF4E","RNA binding"
"EIF4E","behavioral fear response"
"EIF4E","P-body"
"EIF4E","RNA 7-methylguanosine cap binding"
"EIF4E","RNA cap binding"
"EIF4E","G1/S transition of mitotic cell cycle"
"ALYREF","catalytic step 2 spliceosome"
"ALYREF","extracellular exosome"
"ALYREF","C5-methylcytidine-containing RNA binding"
"ALYREF","viral mRNA export from host cell nucleus"
"ALYREF","exon-exon junction complex"
"ALYREF","positive regulation of DNA-templated transcription, elongation"
"ALYREF","replication fork processing"
"ALYREF","mRNA 3'-end processing"
"ALYREF","nuclear speck"
"ALYREF","viral process"
"ALYREF","membrane"
"ALYREF","mRNA export from nucleus"
"ALYREF","RNA export from nucleus"
"ALYREF","cytosol"
"ALYREF","cytoplasm"
"ALYREF","nucleoplasm"
"ALYREF","nucleus"
"ALYREF","protein binding"
"ALYREF","RNA binding"
"ALYREF","osteoblast differentiation"
"ALYREF","nuclear chromosome, telomeric region"
"ALYREF","mRNA splicing, via spliceosome"
"ALYREF","transcription export complex"
"ALYREF","regulation of DNA recombination"
"ALYREF","EIF4E"
"TAF1L","regulation of signal transduction by p53 class mediator"
"TAF1L","lysine-acetylated histone binding"
"TAF1L","positive regulation of transcription by RNA polymerase II"
"TAF1L","positive regulation of transcription, DNA-templated"
"TAF1L","sequence-specific DNA binding"
"TAF1L","TBP-class protein binding"
"TAF1L","histone acetylation"
"TAF1L","male meiotic nuclear division"
"TAF1L","protein phosphorylation"
"TAF1L","transcription initiation from RNA polymerase II promoter"
"TAF1L","transcription by RNA polymerase II"
"TAF1L","regulation of transcription by RNA polymerase II"
"TAF1L","transcription factor TFIID complex"
"TAF1L","nucleoplasm"
"TAF1L","cellular_component"
"TAF1L","protein serine/threonine kinase activity"
"TAF1L","histone acetyltransferase activity"
"ANP32A","perinuclear region of cytoplasm"
"ANP32A","regulation of mRNA stability"
"ANP32A","regulation of apoptotic process"
"ANP32A","histone binding"
"ANP32A","intracellular signal transduction"
"ANP32A","nucleocytoplasmic transport"
"ANP32A","endoplasmic reticulum"
"ANP32A","cytoplasm"
"ANP32A","nucleoplasm"
"ANP32A","nucleus"
"ANP32A","protein binding"
"ANP32A","RNA binding"
"IL10","negative regulation of endothelial cell apoptotic process"
"IL10","positive regulation of vascular smooth muscle cell proliferation"
"IL10","negative regulation of vascular smooth muscle cell proliferation"
"IL10","negative regulation of sensory perception of pain"
"IL10","positive regulation of sprouting angiogenesis"
"IL10","regulation of complement-dependent cytotoxicity"
"IL10","negative regulation of hydrogen peroxide-induced neuron death"
"IL10","regulation of response to wounding"
"IL10","positive regulation of pri-miRNA transcription by RNA polymerase II"
"IL10","liver regeneration"
"IL10","endothelial cell apoptotic process"
"IL10","negative regulation of chemokine (C-C motif) ligand 5 production"
"IL10","cellular response to estradiol stimulus"
"IL10","cellular response to lipopolysaccharide"
"IL10","branching involved in labyrinthine layer morphogenesis"
"IL10","negative regulation of cytokine activity"
"IL10","response to glucocorticoid"
"IL10","positive regulation of DNA-binding transcription factor activity"
"IL10","negative regulation of membrane protein ectodomain proteolysis"
"IL10","regulation of synapse organization"
"IL10","negative regulation of inflammatory response"
"IL10","positive regulation of cytokine secretion"
"IL10","protein dimerization activity"
"IL10","positive regulation of receptor signaling pathway via JAK-STAT"
"IL10","negative regulation of mitotic cell cycle"
"IL10","positive regulation of transcription, DNA-templated"
"IL10","positive regulation of cell cycle"
"IL10","negative regulation of interferon-alpha biosynthetic process"
"IL10","positive regulation of MHC class II biosynthetic process"
"IL10","negative regulation of MHC class II biosynthetic process"
"IL10","regulation of isotype switching"
"IL10","negative regulation of nitric oxide biosynthetic process"
"IL10","negative regulation of neuron apoptotic process"
"IL10","negative regulation of apoptotic process"
"IL10","positive regulation of macrophage activation"
"IL10","defense response to protozoan"
"IL10","defense response to bacterium"
"IL10","negative regulation of tumor necrosis factor biosynthetic process"
"IL10","negative regulation of T cell proliferation"
"IL10","B cell proliferation"
"IL10","type 2 immune response"
"IL10","cellular response to hepatocyte growth factor stimulus"
"IL10","interleukin-12-mediated signaling pathway"
"IL10","response to carbon monoxide"
"IL10","positive regulation of heterotypic cell-cell adhesion"
