source,target
MAP2K4,MAP2K6
MAP2K4,TRIM25
MAP2K4,MAPK9
MAP2K4,MAP3K10
MAP2K4,MAPK10
MAP2K4,MAP3K3
MAP2K4,NBR1
MAP2K4,MAP2K7
MAP2K4,UBC
MAP2K4,MAP3K7
MAP2K4,MAPK14
MAP2K4,SPAG9
MAP2K4,MAP2K4
MAP2K4,MAPK1
MAP2K4,MAP3K8
MAP2K4,MAP3K1
MAP2K4,RBBP8
MAP2K4,VASP
MAP2K4,MAPK8
MAP2K4,MAP3K5
MAP2K4,MAP3K2
MAP2K4,PML
MAP2K4,MAP4K2
MAP2K4,MAP3K11
MAP2K4,TNFRSF1A
MAP2K4,MAPK13
MAP2K4,MAPK12
MAP2K4,TAB1
MAP2K4,RIPK2
MAP2K4,NOD1
MAP2K4,NFKB1
MAP2K4,MAPK8IP1
MAP2K4,MKKS
MAP2K4,TRAF2
MAP2K4,RAC2
MAP2K4,RIPK1
MAP2K4,RPS27A
MAP2K4,PAK1
MAP2K4,NOD2
MAP2K4,RAC3
MAP2K4,UBB
MAP2K4,PAK2
MAP2K4,UBE2N
MAP2K4,ROCK2
MAP2K4,TNIP2
MAP2K4,MAPK11
MAP2K4,UBE2V1
MAP2K4,TRADD
MAP2K4,MAP4K4
MAP2K4,MINK1
MAP2K4,RAC1
MAP2K4,TAB2
MAP2K4,TXN
MAP2K4,TAB3
MAP2K4,PRKCD
MAP2K4,ROCK1
MAP2K4,UBA52
MAP2K4,TNF
MAP2K4,TNIK
MAP2K4,PRKCA
MAP2K4,MAP3K12
MAP2K4,TRAF6
MAP2K4,MAP3K9
MAP2K4,PPP2R5D
MYPN,NEB
MYPN,XPO1
MYPN,TTN
MYPN,TRIM25
MYPN,PPP1CC
MYPN,NEBL
MYPN,TCAP
ACTN2,GNB2L1
ACTN2,DLG1
ACTN2,KAT2B
ACTN2,RGS9
ACTN2,TPM4
ACTN2,HSPB1
ACTN2,MOS
ACTN2,ZC2HC1C
ACTN2,ITGB3BP
ACTN2,ACTN4
ACTN2,RTP5
ACTN2,COIL
ACTN2,PSMB5
ACTN2,FAM154A
ACTN2,AGRN
ACTN2,CAPN1
ACTN2,ACTN3
ACTN2,SNAI1
ACTN2,PDLIM1
ACTN2,GRIN2B
