"node","type"
"11089.PRO_0000261386",0
"IFNB1",2
"EP300",2
"JUN",2
"PNPT1",2
"POLR2A",2
"ACTB",2
"CREBBP",2
"JAK2",2
"ARID1A",2
"NR3C1",2
"GTF2F1",2
"MAVS",2
"RELA",2
"PTPN11",2
"ATF2",2
"CXCL8",2
"SOCS3",2
"KAT2B",2
"GTF2B",2
"SMARCC1",2
"IFIT1",2
"JAK1",2
"IFIH1",2
"IRF4",2
"PTPN6",2
"GTF2A1",2
"NFKB1",2
"FOS",2
"SMARCA4",2
"TBK1",2
"MX1",2
"MYD88",2
"DDX58",2
"CCL5",2
"HMGB1",2
"MB21D1",2
"TNF",2
"IRF2",2
"IRF3",2
"IRF7",2
"TLR9",2
"GTF2E1",2
"IFNAR1",2
"IFNAR2",2
"IFNA10",2
"SMARCB1",2
"STAT1",2
"IRF1",2
"IRF5",2
"SMARCE1",2
"SOCS1",2
"IL20RA",2
"PTPN1",2
"SMARCD1",2
"IFNGR1",2
"IRF6",2
"SMARCC2",2
"IRF9",2
"IL2RA",2
"TLR4",2
"IFNA2",2
"IL10",2
"STAT2",2
"IFNA14",2
"TLR3",2
"IL3RA",2
"IFNA4",2
"IFNG",2
"GTF3A",2
"IFNL1",2
"IFNA21",2
"CXCL10",2
"IFNLR1",2
"IFNA17",2
"IL6",2
"IFNA8",2
"IFNGR2",2
"IL10RB",2
"IL17A",2
"TYK2",2
"TLR7",2
"IFNA7",2
"IFNA6",2
"IFNA16",2
"adaptive immune response",6
"T cell activation involved in immune response",6
"B cell activation involved in immune response",6
"natural killer cell activation involved in immune response",6
"cytokine activity",6
"type I interferon receptor binding",6
"extracellular region",6
"extracellular space",6
"humoral immune response",6
"cell surface receptor signaling pathway",6
"blood coagulation",6
"chloramphenicol O-acetyltransferase activity",6
"response to virus",6
"cytokine-mediated signaling pathway",6
"natural killer cell activation",6
"B cell differentiation",6
"positive regulation of peptidyl-serine phosphorylation of STAT protein",6
"cellular response to interferon-beta",6
"B cell proliferation",6
"response to exogenous dsRNA",6
"negative regulation of viral genome replication",6
"positive regulation of innate immune response",6
"regulation of MHC class I biosynthetic process",6
"negative regulation of T cell differentiation",6
"positive regulation of transcription by RNA polymerase II",6
"defense response to virus",6
"type I interferon signaling pathway",6
"cellular response to exogenous dsRNA",6
"negative regulation of T-helper 2 cell cytokine production",6
"positive regulation of apoptotic signaling pathway",6
