source,target
FLNC,KRT31
FLNC,LPAR6
FLNC,PSMA1
FLNC,FBXO9
FLNC,PPP2R5C
FLNC,RUVBL1
FLNC,C3AR1
FLNC,ZNF746
FLNC,HNRNPH1
FLNC,FGA
FLNC,KRAS
FLNC,HIST2H2AC
FLNC,IRF1
FLNC,MIR128-2
FLNC,CEP128
FLNC,FGFR3
FLNC,VDAC3
FLNC,HERC5
FLNC,MAK16
FLNC,SLC15A3
FLNC,SMURF1
FLNC,RPS2
FLNC,PCCB
FLNC,NCBP1
FLNC,SF3A3
FLNC,RBM4
FLNC,KDM5A
FLNC,P4HA1
FLNC,RPL9
FLNC,MAPK14
FLNC,BRD4
FLNC,NPY1R
FLNC,HSP90AB1
FLNC,TRIM25
FLNC,KIF11
FLNC,RPP40
FLNC,UBE3B
FLNC,UBB
ACTN2,CPSF4
ACTN2,P4HA3
ACTN2,RARA
ACTN2,RPL13A
ACTN2,POLR2D
ACTN2,FAF2
ACTN2,MIRLET7I
ACTN2,SNRPE
ACTN2,U2AF1L4
ACTN2,TP53
ACTN2,SH3KBP1
ACTN2,COIL
ACTN2,TNF
ACTN2,TGOLN2
ACTN2,UBE2M
ACTN2,LUC7L
ACTN2,SHC1
ACTN2,CDC25C
ACTN2,RPS24
ACTN2,CCDC8
ACTN2,DCP1A
ACTN2,CAND1
ACTN2,CSTF3
ACTN2,TNKS
ACTN2,QARS
ACTN2,ING3
ACTN2,INS
ACTN2,HIST1H2BB
ACTN2,CAPZB
ACTN2,RPS28
ACTN2,PPP2R1B
ACTN2,UNC93B1
ACTN2,MTHFD1L
ACTN2,RAB1A
ACTN2,DHX16
ACTN2,OSBPL6
ACTN2,EFTUD2
ACTN2,POLDIP2
ACTN2,EIF3B
ACTN2,GNB1
ACTN2,EPHA3
ACTN2,TRIM63
ACTN2,TIAM1
ACTN2,PRKCD
ACTN2,ACTN2
ACTN2,ACTB
ACTN2,NDE1
ACTN2,PLK1
ACTN2,PAPOLA
ACTN2,CFTR
ACTN2,MCM2
ACTN2,RPL10
ACTN2,PEX5
ACTN2,FN1
ACTN2,PTAFR
ACTN2,RNF138
ACTN2,KIAA1429
ACTN2,PIK3C2A
ACTN2,KLHL13
ACTN2,DGAT1
ACTN2,NOP14
ACTN2,VAMP8
ACTN2,PPP2R1A
ACTN2,NOLC1
ACTN2,MYOM2
ACTN2,RPLP0
ACTN2,PIK3CA
ACTN2,SERPINA1
ACTN2,SAFB2
ACTN2,PTEN
ACTN2,HERC3
ACTN2,CLASP1
ACTN2,NCAPG
ACTN2,ACTR3B
ACTN2,CEP97
ACTN2,UBA3
ACTN2,ZNRF1
ACTN2,EED
ACTN2,MLST8
ACTN2,EMD
ACTN2,YY1
ACTN2,PRKRA
ACTN2,HSPB8
ACTN2,FAM103A1
ACTN2,NUDT19
ACTN2,FGA
ACTN2,LPAR1
ACTN2,AGO3
ACTN2,ATG7
GATA2,MBD3
GATA2,FBXW8
GATA2,NTRK1
GATA2,VCAM1
GATA2,COPS3
GATA2,EIF3E
GATA2,HIST1H3A
GATA2,GAPVD1
GATA2,AHNAK
GATA2,UBE2W
GATA2,BCL2L1
GATA2,UBE2H
GATA2,HSD3B2
GATA2,TOLLIP
GATA2,KBTBD13
GATA2,HNRNPA2B1
GATA2,CUL3
GATA2,TCEB2
GATA2,HIST1H1A
GATA2,CUL4B
GATA2,DCTN3
GATA2,MRPS14
GATA2,FGF8
GATA2,HECTD2
GATA2,ASB14
GATA2,ARRB2
GATA2,HLA-DRA
GATA2,ITGAL
GATA2,PCBP1
GATA2,GPC3
PML,DYNLL1
PML,PDGFB
PML,RC3H1
PML,GNG5
PML,TNRC6C
PML,SCO1
PML,MIRLET7E
PML,PLS3
PML,BDKRB1
PML,CKS2
PML,AAR2
PML,ITFG1
PML,SSTR5
PML,HNRNPA1
PML,RUNX3
PML,HIST1H2BJ
PML,RPL39
PML,HNRNPA2B1
PML,USP20
PML,UTP11L
PML,RTP5
PML,KDM4B
PML,CDC5L
PML,ATP5C1
PML,VHL
PML,ENSG00000257411
PML,LGR4
PML,TERT
PML,HNRNPA3
PML,CKS1B
PML,U2AF2
PML,UBE2F
PML,UBE2N
PML,SUZ12
PML,KRT8
PML,ELL
PML,XAF1
PML,FZD8
PML,UBE3A
PML,TYMS
PML,GRAP2
PML,ARPC3
PML,RBP1
PML,CWC22
PML,ELP2
PML,AGO2
PML,RTP2
PML,TRIP12
PML,RNF14
PML,BCR
PML,MAPK8
PML,DYNC1LI1
PML,KIF22
PML,RPS27A
PML,H2AFB1
PML,PHB
PML,EWSR1
PML,P4HB
PML,UBE2L3
PML,HIST1H3A
PML,NOS1
PML,KIAA1429
PML,WDFY1
PML,CLTCL1
PML,PSMD11
PML,NUP85
PML,SNRPD3
PML,FAU
PML,UBE2M
PML,SEH1L
PML,PABPC4
PML,TPM2
PML,SMURF2
PML,HEXIM1
PML,FBXL8
PML,TRIM14
PML,SRSF6
PML,HSPA5
PML,POLR2I
PML,DCTN5
PML,HACE1
PML,OPRM1
PML,ZWINT
RPA2,ESR2
RPA2,HSP90AA1
RPA2,COL6A3
RPA2,SYMPK
RPA2,UBXN1
RPA2,NEURL2
RPA2,PSMA1
RPA2,TLR3
RPA2,GSK3B
RPA2,TERF2
RPA2,RPL6
RPA2,RPL23
RPA2,HDAC9
RPA2,DHCR7
RPA2,WWOX
RPA2,BUD31
RPA2,RABGGTB
RPA2,NTS
RPA2,ART3
RPA2,UBE2C
RPA2,RPL36AL
RPA2,RPL37A
RPA2,SRSF11
RPA2,TACR1
RPA2,SKP2
RPA2,FFAR4
RPA2,TANK
RPA2,PCP2
RPA2,MRPL18
RPA2,OLFM4
RPA2,HSPA1A
RPA2,XPO1
RPA2,RPS3
RPA2,DAP3
RPA2,SOCS2
RPA2,TRIM63
RPA2,RHOD
RPA2,RECQL4
RPA2,SPSB1
RPA2,HRG
RPA2,MRPL46
RPA2,PRDX3
RPA2,CENPC
RPA2,PRKACA
RPA2,ARCN1
RPA2,CSNK2A2
RPA2,ARHGAP35
RPA2,FBXL22
RPA2,MCTS1
RPA2,RACGAP1
RPA2,TP73
RPA2,XRCC6
RPA2,RAB3C
RPA2,HSP90B1
RPA2,TACR3
RPA2,IRAK2
RPA2,ARRB2
RPA2,SOCS3
RPA2,GSPT1
RPA2,USP9X
RPA2,CUL4B
RPA2,RLN3
RPA2,KLRG2
RPA2,LEO1
RPA2,TFRC
RPA2,UBC
RPA2,RPS6KA1
RPA2,HERC3
RPA2,DVL2
RPA2,MTOR
RPA2,GNB1
RPA2,WDR5
RPA2,PGAM1
RPA2,EGFR
RPA2,MMP8
RPA2,TYMS
RPA2,CXCR5
RPA2,FOSL2
RPA2,MAPT
RPA2,XRN2
RPA2,HEXA
RPA2,RAB7B
RPA2,SYK
RPA2,TSFM
RPA2,CDC16
RPA2,TIMELESS
RPA2,CDC27
RPA2,PIK3R3
RPA2,IKBKG
RPA2,KIF20A
RPA2,SEC31A
RPA2,TAS2R8
RPA2,ERCC8
RPA2,M6PR
RPA2,TP53
RPA2,CAND1
RPA2,KIF3A
RPA2,MYBBP1A
RPA2,CXCL11
RPA2,PKM
RPA2,VPS37C
RPA2,EIF4G1
RPA2,NEIL3
RPA2,TMED10
RPA2,SSR3
RPA2,TRAF7
RPA2,ZNF746
RPA2,NCALD
RPA2,CCL4
RPA2,PIK3R2
RPA2,GART
RPA2,OXGR1
RPA2,NEDD4
RPA2,GTF2B
RPA2,PSME3
RPA2,FBXO17
RPA2,CEP76
RPA2,UBA52
RPA2,BDKRB2
RPA2,P2RY11
RPA2,LARP1
RPA2,UBB
RPA2,GSTA2
RPA2,TRIM28
RPA2,EGF
RPA2,RNF14
RPA2,STUB1
RPA2,OBSL1
RPA2,PTGS2
RPA2,P2RY14
RPA2,FCAR
RPA2,EAF1
RPA2,RPA3
RPA2,DCTN5
RPA2,NDUFB10
RPA2,EIF2S3
RPA2,DEFB121
RPA2,ARRB1
RPA2,STX5
RPA2,RPN1
RPA2,WDR75
RPA2,EXOSC2
RPA2,CUL1
RPA2,UBE2V1
RPA2,DRD1
RPA2,RBX1
RPA2,ERG
RPA2,DDX18
STAT3,HDGF
STAT3,PRPF8
STAT3,AIFM1
STAT3,TMEM63A
STAT3,NTRK1
STAT3,PTPN1
STAT3,YWHAG
STAT3,RFC5
STAT3,UBA52
STAT3,RHOA
STAT3,RAN
STAT3,PPP2CA
STAT3,TRIM11
STAT3,YKT6
STAT3,UBE2M
STAT3,MAPK1
STAT3,FZR1
STAT3,REEP1
STAT3,HSPA1L
STAT3,MRPL11
STAT3,UIMC1
STAT3,H2AFV
STAT3,EIF4B
STAT3,RPS6
STAT3,KIAA1429
STAT3,PROS1
STAT3,HNRNPC
STAT3,LDHA
STAT3,PRDX6
STAT3,ABCE1
STAT3,RPS13
STAT3,RAB37
STAT3,RNF123
STAT3,P2RY14
STAT3,CCR7
STAT3,FN1
STAT3,PPBP
STAT3,TCTN2
STAT3,RBL2
STAT3,KIF5A
STAT3,TAS1R2
STAT3,SPSB4
STAT3,CNR2
STAT3,MRPS27
STAT3,MED30
STAT3,GSK3A
STAT3,RPS21
STAT3,NEDD4L
STAT3,YWHAB
STAT3,ITGAM
STAT3,FBXO27
STAT3,AATF
STAT3,GATA2
STAT3,ASB13
STAT3,ANXA1
STAT3,RPL38
STAT3,GTF2H1
STAT3,UBC
STAT3,POLR2K
STAT3,STAM
STAT3,TUBB
STAT3,RAB4B
STAT3,FCER1G
STAT3,SIRT6
STAT3,SRP14
STAT3,DZIP3
STAT3,HRH2
STAT3,TSPAN5
STAT3,PPP2CB
STAT3,EIF4A3
STAT3,XPO1
STAT3,RPL6
STAT3,HIST1H2BA
STAT3,MIR363
STAT3,AVPR1A
STAT3,GPR132
STAT3,GNG5
STAT3,PTPN11
STAT3,FTH1
STAT3,RPSA
STAT3,U2AF2
STAT3,NOP14
STAT3,MED14
STAT3,RECQL4
STAT3,GRM1
STAT3,KRT81
STAT3,DNMT3B
STAT3,KLHL20
STAT3,SSTR3
STAT3,TBP
STAT3,SDHA
STAT3,EWSR1
STAT3,ZNF645
STAT3,UBA6
STAT3,KLHL22
STAT3,ELAVL1
STAT3,NEDD8
STAT3,DIS3
STAT3,CTLA4
STAT3,TOR1AIP1
STAT3,UBE2H
STAT3,RAD23B
STAT3,SRGAP2
STAT3,RPL21
STAT3,LMNA
STAT3,EZR
STAT3,DYNC1H1
ARF3,CHD3
ARF3,HSP90AB1
ARF3,RNF213
ARF3,COPS6
ARF3,RPS27A
ARF3,SHFM1
ARF3,MTCH2
ARF3,PDHB
ARF3,ESR1
ARF3,RAD23B
ARF3,KMT2B
ARF3,UQCRQ
ARF3,TCEB2
ARF3,MRPS21
ARF3,IGLL5
ARF3,RTP4
ARF3,CDC73
ARF3,TRIM55
ARF3,RPL10
ARF3,CAND1
ARF3,BRS3
ARF3,HSD17B10
ARF3,IDH2
ARF3,ANAPC1
ARF3,EIF4G1
ARF3,ATG7
ARF3,UBL4A
ARF3,SKP1
ARF3,SF3B1
ARF3,DDX5
ARF3,WDR3
ARF3,PIK3C3
ARF3,TNFRSF1B
ARF3,H2AFX
ARF3,RPS16
ARF3,PSTPIP1
ARF3,GNB1
ARF3,CALML5
ARF3,NOS2
ARF3,RPLP0
ARF3,S1PR2
ARF3,DYNC1H1
ARF3,STUB1
ARF3,KRTAP10-3
ARF3,RPA2
ARF3,GNRH1
ARF3,LPAR2
ARF3,STAT1
ARF3,EPRS
ARF3,SENP3
ARF3,FN1
