"node","type"
"11176.PHOSP_NDVB1",0
"PLK1",2
"CYLD",2
"MCM2",2
"EGFR",2
"CEP250",2
"CENPK",2
"CDK11B",2
"PSMA6",2
"PSMA5",2
"HRAS",2
"SNCA",2
"HIST1H2BB",2
"KPNA2",2
"MYC",2
"NTRK1",2
"CUL4A",2
"CCNA1",2
"CCNA2",2
"GORASP1",2
"CEP135",2
"EP300",2
"NUP160",2
"KRAS",2
"CUL1",2
"ANLN",2
"ANKRD44",2
"APP",2
"MUS81",2
"MECP2",2
"H2AFX",2
"BRCA2",2
"RAB3IP",2
"BRCA1",2
"MTMR4",2
"CDC23",2
"RNF2",2
"DSN1",2
"KIF2C",2
"PSMC6",2
"CDC5L",2
"CENPA",2
"DCAF7",2
"FBXL5",2
"LCA5",2
"IKBKG",2
"DCTN1",2
"NDC80",2
"MCM7",2
"ORC3",2
"USP15",2
"AURKA",2
"CEP170",2
"PSMA4",2
"FBXW11",2
"UBC",2
"HSPA4",2
"PSMB7",2
"ANAPC5",2
"CDK1",2
"SNW1",2
"DYNC1I2",2
"TP53",2
"BIRC6",2
"COPS5",2
"MDM2",2
"CEP57",2
"CDC42",2
"PSMD8",2
"RECQL4",2
"CUL2",2
"PSMA2",2
"MIS18BP1",2
"APEX1",2
"MDC1",2
"VCP",2
"HSP90AA1",2
"MAPRE1",2
"EGLN3",2
"CEP63",2
"CDC14B",2
"PRKDC",2
"PSMB5",2
"IKBKB",2
"PSMB1",2
"PSMC2",2
"CDC16",2
"CLIP1",2
"PCNA",2
"BTRC",2
"CHEK1",2
"RXRA",2
"NME7",2
"MCM6",2
"PSMD11",2
"CNTROB",2
"RPS27",2
"DYNC1H1",2
"NR2C2",2
"MED1",2
"CEP76",2
"PSMB2",2
"PPP1CC",2
"HDAC2",2
"CTNNB1",2
"GTF3C3",2
"PSMD14",2
"PPP2CA",2
"MYBL2",2
"GABPB1",2
"CTBP1",2
"CDC25A",2
"KIF23",2
"MAD1L1",2
"H2AFZ",2
"ATM",2
"CDC25B",2
"STK3",2
"OFD1",2
"BLM",2
"BICD1",2
"CHEK2",2
"CASC5",2
"MCM4",2
"PBK",2
"CENPM",2
"CIRBP",2
"RNF126",2
"CEP290",2
"AURKB",2
"PPID",2
"CLU",2
"CNTRL",2
"PSMA8",2
"TOP3A",2
"DYNC1I1",2
"CEP131",2
"HIST2H2BE",2
"FBF1",2
"HAUS1",2
"ANAPC4",2
"BAG6",2
"RBBP8",2
"KIF11",2
"REST",2
"GTSE1",2
"FEZ1",2
"PIN1",2
"MZT1",2
"HAUS2",2
"BUB1B",2
"ANAPC7",2
"CSNK1E",2
"PPP2R1A",2
"CDC20",2
"JADE1",2
"PTEN",2
"MAVS",2
"MAPK6",2
"CEP128",2
"RELA",2
"CEP72",2
"APITD1",2
"FBXW7",2
"PARK2",2
"HIST3H3",2
"FBXO6",2
"GOLGA2",2
"CCP110",2
"DDX17",2
"GTF3C4",2
"CDC25C",2
"KIFC1",2
"NRAS",2
"MCM3",2
"NEK7",2
"PSMD6",2
"CEP70",2
"NINL",2
"NPHP1",2
"GORASP2",2
"FOXM1",2
"PSMB8",2
"TRIM25",2
"PSMB6",2
"NCAPH2",2
"AKAP9",2
"AHCTF1",2
"ODF2",2
"DVL2",2
"PCM1",2
"CEP55",2
"UBE2D1",2
"DYNLL1",2
"CPSF3L",2
"KIF4B",2
"CSN1S1",2
"FGFR1OP",2
"OPTN",2
"USP11",2
"RPGRIP1L",2
