source,target
PML,VCP
PML,TAS2R1
PML,ANAPC10
PML,PTGS2
PML,NCOR1
PML,RPL11
PML,ENO1
PML,KCTD7
PML,GNG13
PML,TP53
PML,MAPK6
PML,TGOLN2
PML,CXCL9
PML,ZNF232
PML,RPL10A
PML,H2AFX
PML,GNG8
PML,PHB2
PML,ATAD5
PML,SMAD3
PML,NMS
PML,CUL1
PML,HLA-DRA
PML,ELAVL1
PML,TAS2R41
PML,OXTR
PML,RIOK1
PML,GNGT1
PML,OSCAR
PML,EPHB3
PML,HIST1H4I
PML,TXNDC12
PML,IGF1R
PML,MCM2
PML,COMMD8
ARFIP1,XPO1
ARFIP1,MTNR1A
ARFIP1,SYCE3
ARFIP1,AURKA
ARFIP1,ACTG1
ARFIP1,HSP90AA1
ARFIP1,U2AF2
ARFIP1,METTL3
ARFIP1,MYC
ARFIP1,TDGF1
ARFIP1,REPS2
ARFIP1,NMS
ARFIP1,TAS2R41
ARFIP1,NTRK1
ALDOA,CDC20
ALDOA,CBL
ALDOA,IKBKB
ALDOA,ORC5
ALDOA,ZDHHC18
ALDOA,DNM1L
ALDOA,COQ9
ALDOA,ANKMY2
ALDOA,SCGB2A2
ALDOA,HECW2
ALDOA,ITGAV
ALDOA,DCTN6
ALDOA,HNRNPA2B1
ALDOA,ESR1
ALDOA,POMC
ALDOA,HIST1H4A
ALDOA,TRAF3IP1
ALDOA,HCRT
ALDOA,ARL2
ALDOA,FZD2
ALDOA,PTGER3
ALDOA,OS9
ALDOA,TFAP4
ALDOA,RECQL5
ALDOA,ELAVL1
ALDOA,HSP90AB1
ALDOA,MC1R
ALDOA,TNFRSF13B
ALDOA,KNG1
ALDOA,RAD21
ALDOA,ERAL1
ALDOA,FAS
ALDOA,KIAA1429
ALDOA,DCUN1D5
ALDOA,DLG4
ALDOA,CASR
ALDOA,UBC
ALDOA,ENO1
ALDOA,TCTN3
ALDOA,DUT
ALDOA,SNAP29
ALDOA,DCPS
ALDOA,PRKAR2B
ALDOA,ALDOA
ALDOA,UQCRC1
ALDOA,PTAFR
ALDOA,RPRD1A
ALDOA,KLC3
ALDOA,ACTN1
ALDOA,NDUFAF3
ALDOA,ECT2
ALDOA,MATR3
ALDOA,TRAF1
APP,NMD3
APP,P2RX1
APP,S100A7
APP,P2RY4
APP,PRDX6
APP,HIST1H2AD
APP,MMP9
APP,SYNJ1
APP,RNPS1
APP,TAB2
APP,UBE2E1
APP,DNAJC9
APP,TCEB2
APP,TUBA4A
APP,RPL23A
APP,UHRF1
APP,RNF25
APP,EDC3
APP,ZDHHC17
APP,LATS2
APP,KMT2A
APP,MAPK1
APP,SPTAN1
APP,MYH9
APP,HSP90AA1
APP,WDR46
APP,CREBBP
APP,NPW
APP,PDLIM1
APP,S100A9
APP,SPTA1
APP,CUL3
APP,GTF2A1
APP,SFRP1
APP,NPFFR2
APP,MYC
APP,AP3S1
APP,HIST1H4A
APP,PSMA1
APP,PAF1
APP,NIN
APP,HCAR1
APP,VIMP
APP,TUBB4B
APP,CCL25
APP,HSPD1
APP,VDAC1
APP,PARP1
APP,TMEM17
APP,RPL7A
APP,NUDT21
APP,NDUFS2
APP,RPL19
APP,PTPN6
APP,C7orf50
APP,NDUFAF3
APP,NDUFB1
APP,MAB21L2
APP,PDIA3
APP,KNG1
APP,NOP56
APP,SRSF6
APP,PLRG1
APP,RNF2
APP,NMS
APP,RNF4
APP,SNX5
APP,GPR143
APP,CENPI
APP,RPS27
APP,CDK2
APP,POLR2L
APP,CDC20
APP,FBXO4
APP,COPS7A
APP,AURKA
APP,RPL14
APP,SSB
APP,PPIB
APP,ZNRF2
APP,PA2G4
APP,CHD4
APP,PPP2R1B
APP,TUBB6
APP,CSNK2A2
APP,OCRL
APP,WDR18
APP,FIP1L1
APP,HSPA8
APP,SRRM2
APP,FGF11
APP,ZUFSP
APP,GJB1
APP,PDHB
APP,XRCC6
APP,EZH2
APP,TTR
APP,RPS20
APP,GPSM1
APP,UBE2M
APP,SUZ12
APP,BLM
APP,TOPBP1
APP,COTL1
APP,TAS2R20
APP,CST3
APP,HDAC3
APP,MRPL46
APP,PTTG1
APP,TRH
APP,FBXL14
APP,PRPF18
APP,PRKACA
APP,KALRN
APP,MYOM1
APP,CYFIP1
APP,GRM3
APP,DAB2
APP,MYH6
APP,PADI2
APP,PML
APP,FBXO6
APP,IMP3
APP,HIST1H4I
APP,TRIM50
APP,RAD21
APP,UBE2D2
APP,MED4
APP,KDM1A
APP,WDR77
APP,FBXO44
APP,POLR2H
APP,VWA9
APP,CCDC102B
APP,GLYCTK
APP,SNW1
APP,CYB5R3
APP,GPSM3
APP,TRIM28
APP,AR
APP,RPL9
APP,BAZ1B
APP,FER
APP,APLNR
APP,GNB3
APP,MAP3K5
APP,TAS2R46
APP,MOV10
APP,MAP2K3
APP,SMURF2
APP,MAPK8
APP,RNF32
APP,CEACAM7
APP,RPSA
APP,WDR1
APP,NPY2R
APP,APP
APP,RBBP5
APP,ZCCHC10
APP,ZC3HC1
APP,XPO1
APP,NANOG
APP,UQCRC1
APP,HIST1H2BM
APP,CP
APP,SNRPB2
APP,VSIG4
APP,TTF1
APP,GPSM2
APP,RAB1A
APP,SEC24C
APP,PNKP
APP,PHB2
APP,HIST1H2AE
APP,DYNC1H1
APP,HTR1E
APP,CUL1
APP,THOC3
APP,PSMB6
APP,DNAJC3
APP,RPL27
APP,GNG5
APP,LMO7
APP,HIF1A
APP,NCBP1
APP,PNO1
APP,MED1
APP,HDAC6
APP,HECW2
APP,EEF1A1
APP,MCFD2
APP,HIST1H2BD
APP,CHERP
APP,CEP290
APP,TSPAN3
APP,TNF
APP,RTP1
APP,C8orf33
APP,KLHL11
APP,EGLN3
APP,PFDN2
APP,SEC31A
APP,PIH1D1
APP,CORO1C
APP,PLK1
APP,ZBTB16
APP,ESR2
APP,UBE2H
APP,KHDRBS1
APP,GNB2
APP,CDKN2C
APP,SPOPL
APP,COPB1
APP,NUP214
APP,NOTCH1
APP,BUB1B
APP,H1F0
APP,NUP155
APP,SSU72
APP,LSM10
APP,UQCRC2
APP,GLO1
APP,HAUS2
APP,NPBWR1
APP,ACTBL2
APP,CETP
APP,IMP4
APP,HNRNPL
APP,ASB13
APP,CLP1
APP,CCT7
APP,HNRNPAB
APP,CKB
APP,CDC42
APP,SPSB1
APP,TCEA1
APP,DDX28
APP,WWP1
APP,GPR55
APP,NPB
APP,UBC
APP,BTBD1
APP,FKBP4
APP,HNRNPA1
APP,SKP1
APP,RPL27A
APP,STRN3
APP,SMAD3
APP,ZNF598
APP,EFTUD2
APP,HLA-DRB1
APP,MCM10
APP,SUCLG1
APP,NAE1
APP,PRKAR1B
APP,SUN2
APP,KLHL13
APP,HEXIM1
APP,PPY
APP,LCK
APP,NCBP2
APP,BTBD6
APP,SURF4
APP,TAS2R7
APP,PRPF40A
APP,RPL38
APP,BTRC
APP,NRAS
APP,TAS2R41
APP,WWOX
APP,PPP2R1A
APP,KCTD19
APP,RPS24
APP,CBX2
APP,SF3B3
APP,RNF126
APP,VCAN
APP,RPL10A
APP,PTX3
APP,CDH2
APP,RXRA
APP,MEPE
APP,UBOX5
APP,RBM39
APP,SND1
APP,BMI1
APP,PBRM1
APP,RNF14
APP,ICT1
APP,EIF3M
APP,NEDD8
APP,HAUS1
APP,KPNA2
APP,NPY4R
APP,HSPA1A
APP,UBE2S
APP,DDX24
APP,CXCL16
APP,SLC25A4
APP,FRK
APP,SNAP25
APP,MRPS22
APP,DNMT3A
APP,MAD1L1
APP,SRSF9
APP,KBTBD7
APP,RIOK1
APP,PDK1
APP,SAT1
APP,DYNC1LI1
APP,GHDC
APP,NXF1
APP,RET
APP,RBX1
APP,DYNLL1
APP,WDR61
APP,PTGS2
APP,ARID1B
APP,TTK
APP,TUFM
APP,NR2C2
APP,EGF
APP,SEC16A
APP,NHP2
APP,PSMC4
APP,LTBP1
APP,HIST1H4F
APP,RHOQ
APP,C1orf109
APP,GNG8
APP,NMUR1
APP,SMAD2
APP,VCP
APP,COPS4
APP,SKA3
APP,SRSF12
APP,NPY1R
APP,ICAM3
APP,SOX2
APP,LSM6
APP,CDC27
APP,CENPF
APP,WDR12
APP,YARS
APP,TGOLN2
APP,FN1
APP,RPS27A
APP,FAU
APP,IGF1R
APP,CEP135
APP,GTF2A2
APP,MCM2
APP,FBXW11
APP,RECQL4
APP,FTCD
APP,ACTA1
APP,PAN2
APP,RPS14
APP,SNCA
APP,CCNE2
APP,MAPK14
APP,U2AF2
EP300,SYNJ1
EP300,CTNND1
EP300,MIR9-2
EP300,TRIM50
EP300,ESR2
EP300,SMARCB1
EP300,SMAD2
EP300,HSP90AA1
EP300,CHD3
EP300,H2AFJ
EP300,NFATC1
EP300,TAS2R39
EP300,PPM1A
EP300,HSP90AB1
EP300,JUP
EP300,HSPD1
EP300,ANLN
EP300,SIRT6
EP300,REPS2
EP300,MYC
EP300,RAB5C
EP300,GAK
EP300,RAPGEF3
EP300,SMC3
EP300,PAFAH1B1
EP300,CD52
EP300,YBX1
EP300,ERBB2
EP300,NCBP1
EP300,SERBP1
EP300,EZH2
EP300,NR2C2
EP300,PHB
EP300,RCN2
EP300,FGF2
EP300,LYN
EP300,UBTF
EP300,AURKB
EP300,TCEA1
EP300,P2RY14
EP300,NUP155
EP300,SLC29A1
EP300,HIST1H4A
EP300,HNRNPR
EP300,ECI1
EP300,KISS1R
EP300,UBR5
EP300,UBA52
EP300,NOTCH1
EP300,HSPB1
EP300,PSMD11
EP300,GRB2
EP300,BARD1
EP300,PRKAR2A
EP300,CREBBP
EP300,SREBF1
EP300,PDIA3
EP300,RPS27A
EP300,NANOG
EP300,ATG16L1
EP300,PIH1D1
EP300,WDR46
EP300,ITGB1
EP300,PPARD
EP300,SNRNP70
EP300,RAD21
EP300,POLD2
EP300,PPARG
EP300,MAPK6
EP300,YWHAE
EP300,XIAP
EP300,ELAVL1
EP300,APP
EP300,ZNRF4
EP300,RNF126
EP300,TAS2R41
EP300,SOX2
EP300,COPS7A
EP300,CFTR
EP300,GTF2E1
EP300,GNAL
EP300,MAP3K5
EP300,SURF4
EP300,NXF1
EP300,INSL5
EP300,COL6A1
EP300,ACTR1A
EP300,MCM2
EP300,PRKACB
EP300,AGTR2
EP300,RPS27L
EP300,UBE2M
EP300,BIRC5
EP300,MYH9
EP300,FAM120B
EP300,DCPS
EP300,UBE2H
EP300,U2AF2
EP300,TP53
EP300,RALA
EP300,TAS2R60
EP300,OS9
EP300,NEDD8
EP300,FBXL19
EP300,PCK1
EP300,SUMO2
EP300,TTK
EP300,TCEB2
EP300,UBE2D2
EP300,UAP1
EP300,TGFB1
EP300,GPM6A
EP300,PSMD14
