"node","type"
"11069.PRO_0000037989",0
"11069.PRO_0000308295",0
"IRAK3",2
"IFNB1",2
"EP300",2
"JUN",2
"PNPT1",2
"NONO",2
"POLR2A",2
"ACTB",2
"HSP90AA1",2
"CREBBP",2
"JAK2",2
"ARID1A",2
"NR3C1",2
"GTF2F1",2
"MAVS",2
"RELA",2
"PTPN11",2
"IRAK1",2
"ATF2",2
"CXCL8",2
"SOCS3",2
"KAT2B",2
"GTF2B",2
"SMARCC1",2
"NSA2",2
"IFIT1",2
"IL1RAP",2
"JAK1",2
"IFIH1",2
"IRF4",2
"TRAF6",2
"PTPN6",2
"GTF2A1",2
"NFKB1",2
"FOS",2
"SMARCA4",2
"COPB1",2
"TBK1",2
"CDCA5",2
"MX1",2
"IRAK4",2
"MYD88",2
"IL1A",2
"ECM1",2
"DDX58",2
"CCL5",2
"HMGB1",2
"LDB1",2
"TOLLIP",2
"MB21D1",2
"TNF",2
"IRF2",2
"IRF3",2
"IRF7",2
"TLR9",2
"GTF2E1",2
"NGFR",2
"IFNAR1",2
"IFNAR2",2
"IFNA10",2
"HOXB7",2
"SMARCB1",2
"STAT1",2
"CD14",2
"IRAK2",2
"IL1RN",2
"IRF1",2
"IRF5",2
"SMARCE1",2
"NTRK3",2
"SOCS1",2
"IL20RA",2
"PTPN1",2
"SMARCD1",2
"IFNGR1",2
"IRF6",2
"FOLR1",2
"SMARCC2",2
"IRF9",2
"IL2RA",2
"ATP6V0B",2
"TLR4",2
"IL1B",2
"IFNA2",2
"IL10",2
"STAT2",2
"IL1R1",2
"IFNA14",2
"TLR3",2
"IL3RA",2
"TLR2",2
"SIGIRR",2
"IFNA4",2
"IFNG",2
"GTF3A",2
"IFNL1",2
"IFNA21",2
"CXCL10",2
"IFNLR1",2
"ADH1B",2
"IFNA17",2
"IL6",2
"IFNA8",2
"IFNGR2",2
"IL10RB",2
"IL17A",2
"TYK2",2
"ENSG00000173366",2
"TLR7",2
"IFNA7",2
"IFNA6",2
"IFNA16",2
"magnesium ion binding",6
"negative regulation of cytokine-mediated signaling pathway",6
"adaptive immune response",6
"T cell activation involved in immune response",6
"B cell activation involved in immune response",6
"natural killer cell activation involved in immune response",6
"MyD88-dependent toll-like receptor signaling pathway",6
"protein serine/threonine kinase activity",6
"cytokine activity",6
"type I interferon receptor binding",6
"ATP binding",6
"extracellular region",6
"extracellular space",6
"nucleus",6
"cytoplasm",6
"plasma membrane",6
"protein phosphorylation",6
"humoral immune response",6
"cell surface receptor signaling pathway",6
"blood coagulation",6
"chloramphenicol O-acetyltransferase activity",6
"response to virus",6
"positive regulation of macrophage tolerance induction",6
"negative regulation of macrophage cytokine production",6
"cytokine-mediated signaling pathway",6
"natural killer cell activation",6
"B cell differentiation",6
"negative regulation of NF-kappaB transcription factor activity",6
"response to peptidoglycan",6
"response to lipopolysaccharide",6
"negative regulation of interleukin-12 production",6
"negative regulation of interleukin-6 production",6
"negative regulation of tumor necrosis factor production",6
"positive regulation of peptidyl-serine phosphorylation of STAT protein",6
"negative regulation of toll-like receptor signaling pathway",6
"cellular response to interferon-beta",6
"intracellular signal transduction",6
"B cell proliferation",6
"negative regulation of protein catabolic process",6
"protein homodimerization activity",6
"negative regulation of protein-containing complex disassembly",6
"regulation of protein-containing complex disassembly",6
"response to exogenous dsRNA",6
"negative regulation of MAP kinase activity",6
"negative regulation of viral genome replication",6
"positive regulation of innate immune response",6
"regulation of MHC class I biosynthetic process",6
"negative regulation of T cell differentiation",6
"negative regulation of innate immune response",6
"positive regulation of transcription by RNA polymerase II",6
"protein autophosphorylation",6
"protein heterodimerization activity",6
"positive regulation of NF-kappaB transcription factor activity",6
"defense response to virus",6
"type I interferon signaling pathway",6
"interleukin-1-mediated signaling pathway",6
"response to interleukin-1",6
"cellular response to exogenous dsRNA",6
"negative regulation of T-helper 2 cell cytokine production",6
"positive regulation of apoptotic signaling pathway",6
