source,target
BRCA1,RPRD1A
BRCA1,UBC
BRCA1,CTDP1
BRCA1,RPLP0
BRCA1,TPM1
BRCA1,SMG7
BRCA1,RPA3
BRCA1,MAPK1
BRCA1,POLR2A
BRCA1,LARS
BRCA1,PDCD6
BRCA1,NCBP2
RPA3,UBC
RPA3,SMARCA4
RPA3,LARP7
RPA3,RIOK1
RPA3,MAPK1
RPA3,MAPK6
RPA3,SPRY1
EIF3K,IFNB1
EIF3K,KIAA1429
EIF3K,HCAR1
SMARCA4,TAZ
SMARCA4,EGLN3
SMARCA4,COG7
SMARCA4,RPLP0
SFN,FNBP1L
SFN,IFNB1
SFN,H2AFV
YBX1,SVIP
YBX1,IFNB1
MAPK1,PTPRK
MAPK1,YBX1
MAPK1,LARP7
MAPK1,SMG7
MAPK1,IFNB1
MAPK1,TGFB1I1
MAPK1,NEDD4
RAP1A,GIPR
RAP1A,MAPK6
RAP1A,GLB1
RAP1A,PSG1
NCBP2,RAB11A
NCBP2,POLR2A
NCBP2,KIAA1429
NCBP2,GNB4
NCBP2,EGLN3
NEDD4,MAPK6
NEDD4,REEP4
NEDD4,UBC
NEDD4,EGLN3
NEDD4,DYNC1I2
NEDD4,SVIP
NEDD4,RIOK1
NEDD4,IFNB1
NEDD4,KIAA1429
UBOX5,HCAR1
UBOX5,SMARCA4
UBOX5,KIAA1429
UBOX5,RPRD1A
RAB11A,LARS
PRC1,UBE4A
PRC1,ENAM
PRC1,TGFB2
PDCD6,KIAA1429
PDCD6,RPA3
DYNC1I2,RPA3
DYNC1I2,DYNC1I2
DYNC1I2,SFN
UBC,UBC
UBC,UBE2Q1
UBC,SFN
UBC,RPLP0
UBC,APOBEC3B
UBC,IFNB1
UBC,MAPK1
UBC,GPC3
UBC,ADRBK1
UBC,EGLN3
UBC,LARP7
TPM1,IFNB1
DIEXF,SLC15A3
DIEXF,LARP7
DIEXF,POLR2B
DIEXF,PSG1
DIEXF,RPA3
HLA-B,RPA3
HLA-B,PRC1
HLA-B,KIAA1429
HLA-B,IFNB1
GLB1,IFNB1
GLB1,KIAA1429
LARS,PRC1
G3BP2,LARP7
G3BP2,IFNB1
G3BP2,UBC
G3BP2,SLC15A3
FAF2,PRC1
FAF2,INS
