source,target
MAP2K4,MAP2K6
MAP2K4,TRIM25
MAP2K4,MAPK9
MAP2K4,MAPK10
MAP2K4,MAP3K3
MAP2K4,NPHS1
MAP2K4,NBR1
MAP2K4,MAP2K7
MAP2K4,UBC
MAP2K4,MAP3K7
MAP2K4,MAPK14
MAP2K4,SPAG9
MAP2K4,MAP3K4
MAP2K4,MAP2K4
MAP2K4,MAPK1
MAP2K4,MAP3K8
MAP2K4,MAP3K1
MAP2K4,RBBP8
MAP2K4,VASP
MAP2K4,MAPK8
MAP2K4,MAP3K5
MAP2K4,MAP3K2
MAP2K4,PML
MAP2K4,MAP4K2
MAP2K4,MAP3K11
MAP2K4,TNFRSF1A
MAP2K4,MAPK13
MAP2K4,MAPK12
MAP2K4,TAB1
MAP2K4,RIPK2
MAP2K4,NOD1
MAP2K4,NFKB1
MAP2K4,MKKS
MAP2K4,TRAF2
MAP2K4,RAC2
MAP2K4,RIPK1
MAP2K4,RPS27A
MAP2K4,PAK1
MAP2K4,NOD2
MAP2K4,RAC3
MAP2K4,UBB
MAP2K4,PAK2
MAP2K4,UBE2N
MAP2K4,ROCK2
MAP2K4,TNIP2
MAP2K4,MAPK11
MAP2K4,UBE2V1
MAP2K4,TRADD
MAP2K4,MAP4K4
MAP2K4,MINK1
MAP2K4,RAC1
MAP2K4,TAB2
MAP2K4,TXN
MAP2K4,TAB3
MAP2K4,PRKCD
MAP2K4,ROCK1
MAP2K4,UBA52
MAP2K4,TNF
MAP2K4,TNIK
MAP2K4,PRKCA
MAP2K4,VEGFC
MAP2K4,MAP3K12
MAP2K4,TRAF6
MAP2K4,MAP3K9
MAP2K4,PPP2R5D
FLNC,SAP30BP
FLNC,VCAM1
FLNC,RNF4
FLNC,SPDL1
FLNC,MTDH
FLNC,PLEKHO1
FLNC,MAP2K4
FLNC,NUAK2
FLNC,MCM5
FLNC,NCAPD2
FLNC,OBSL1
FLNC,MYC
FLNC,TNFAIP1
FLNC,USP53
FLNC,MCM2
FLNC,MECOM
FLNC,SMOX
FLNC,INPPL1
FLNC,PHB
FLNC,NUP88
FLNC,IQCB1
FLNC,FN1
FLNC,RPS6KA2
FLNC,KCMF1
FLNC,NPM1
FLNC,NUP133
FLNC,PSMD13
FLNC,OTUD4
