"node","type"
"11234.MATRX_MEASC",0
"11234.FUS_MEASC",0
"11234.HEMA_MEASC",0
"11234.V_MEASC",0
"11234.L_MEASC",0
"11234.NCAP_MEASC",0
"11234.C_MEASC",0
"SFXN3",1
"C3",1
"TLR2",1
"MYOM2",1
"IFIH1",1
"AKT3",1
"SFXN5",1
"LY96",1
"TLR3",1
"T",1
"PLK1",1
"SOCS5",1
"CD46",1
"STAT2",1
"SFXN1",1
"HSPA5",1
"FOXK1",1
"SOCS1",1
"SOCS3",1
"FOXK2",1
"NLRP3",1
"SFXN4",1
"TLR9",1
"STAT1",1
"TLR1",1
"SFXN2",1
"TLR4",1
"CDSN",1
"TLR7",1
"AKT2",1
"SOCS6",1
"GSTP1",1
"CISH",1
"mitochondrial genome maintenance",6
"mitotic sister chromatid segregation",6
"G2/M transition of mitotic cell cycle",6
"negative regulation of transcription by RNA polymerase II",6
"establishment of mitotic spindle orientation",6
"Golgi membrane",6
"activation of MAPK activity",6
"mitotic cell cycle",6
"mitotic cytokinesis",6
"magnesium ion binding",6
"response to reactive oxygen species",6
"kinetochore",6
"chromatin",6
"nuclear chromatin",6
"synaptonemal complex",6
"spindle pole",6
"condensed nuclear chromosome outer kinetochore",6
"transcription regulatory region sequence-specific DNA binding",6
"RNA polymerase II regulatory region sequence-specific DNA binding",6
"RNA polymerase II cis-regulatory region sequence-specific DNA binding",6
"RNA polymerase II core promoter sequence-specific DNA binding",6
"DNA-binding transcription factor activity, RNA polymerase II-specific",6
"DNA-binding transcription repressor activity, RNA polymerase II-specific",6
"DNA-binding transcription activator activity, RNA polymerase II-specific",6
"lipopolysaccharide binding",6
"cornified envelope",6
"amyloid-beta binding",6
"luteolysis",6
"regulation of cell growth",6
"microtubule bundle formation",6
"virus receptor activity",6
"response to hypoxia",6
"cellular glucose homeostasis",6
"ruffle",6
"immunological synapse",6
"microglial cell activation",6
"cell activation",6
"phosphotyrosine residue binding",6
"positive regulation of type IIa hypersensitivity",6
"lipopolysaccharide immune receptor activity",6
"phagocytic cup",6
"regulation of protein phosphorylation",6
"positive regulation of protein phosphorylation",6
"negative regulation of endothelial cell proliferation",6
"positive regulation of endothelial cell proliferation",6
"positive regulation of activation of membrane attack complex",6
"positive regulation of mesenchymal cell proliferation",6
"extraocular skeletal muscle development",6
"inner acrosomal membrane",6
"activation of innate immune response",6
"toll-like receptor signaling pathway",6
"positive regulation of defense response to virus by host",6
"response to molecule of bacterial origin",6
"adaptive immune response",6
"B cell proliferation involved in immune response",6
"cytokine secretion involved in immune response",6
"T cell mediated immunity",6
"nitric oxide production involved in inflammatory response",6
"positive regulation of immunoglobulin production",6
"negative regulation of acute inflammatory response",6
"regulation of dendritic cell cytokine production",6
