"V1","V2"
"PLK1","regulation of protein localization to cell cortex"
"PLK1","positive regulation of ubiquitin protein ligase activity"
"PLK1","regulation of cell cycle G2/M phase transition"
"PLK1","regulation of mitotic cell cycle phase transition"
"PLK1","regulation of mitotic spindle assembly"
"PLK1","positive regulation of protein localization to nucleus"
"PLK1","ciliary basal body-plasma membrane docking"
"PLK1","protein localization to nuclear envelope"
"PLK1","signal transduction involved in G2 DNA damage checkpoint"
"PLK1","protein localization to chromatin"
"PLK1","synaptonemal complex disassembly"
"PLK1","regulation of cell cycle"
"PLK1","positive regulation of ubiquitin-protein transferase activity"
"PLK1","spindle midzone"
"PLK1","nuclear envelope disassembly"
"PLK1","positive regulation of proteolysis"
"PLK1","negative regulation of cyclin-dependent protein serine/threonine kinase activity"
"PLK1","establishment of protein localization"
"PLK1","homologous chromosome segregation"
"PLK1","regulation of protein binding"
"PLK1","negative regulation of apoptotic process"
"PLK1","identical protein binding"
"PLK1","centriolar satellite"
"PLK1","regulation of cytokinesis"
"PLK1","positive regulation of proteasomal ubiquitin-dependent protein catabolic process"
"PLK1","protein destabilization"
"PLK1","anaphase-promoting complex-dependent catabolic process"
"PLK1","midbody"
"PLK1","regulation of mitotic metaphase/anaphase transition"
"PLK1","protein kinase binding"
"PLK1","peptidyl-serine phosphorylation"
"PLK1","protein ubiquitination"
"PLK1","female meiosis chromosome segregation"
"PLK1","kinase activity"
"PLK1","microtubule cytoskeleton"
"PLK1","anaphase-promoting complex binding"
"PLK1","positive regulation of peptidyl-threonine phosphorylation"
"PLK1","regulation of G2/M transition of mitotic cell cycle"
"PLK1","microtubule binding"
"PLK1","regulation of mitotic cell cycle"
"PLK1","centrosome cycle"
"PLK1","mitotic spindle assembly checkpoint"
"PLK1","mitotic nuclear envelope disassembly"
"PLK1","sister chromatid cohesion"
"PLK1","ubiquitin-dependent protein catabolic process"
"PLK1","protein phosphorylation"
"PLK1","spindle microtubule"
"PLK1","cytosol"
"PLK1","spindle"
"PLK1","centriole"
"PLK1","centrosome"
"PLK1","cytoplasm"
"PLK1","nucleoplasm"
"PLK1","nucleus"
"PLK1","cell"
"PLK1","ATP binding"
"PLK1","protein binding"
"PLK1","protein serine/threonine kinase activity"
"PLK1","protein kinase activity"
"PLK1","microtubule bundle formation"
"PLK1","condensed nuclear chromosome outer kinetochore"
"PLK1","spindle pole"
"PLK1","synaptonemal complex"
"PLK1","chromatin"
"PLK1","kinetochore"
"PLK1","magnesium ion binding"
"PLK1","mitotic cytokinesis"
"PLK1","mitotic cell cycle"
"PLK1","establishment of mitotic spindle orientation"
"PLK1","negative regulation of transcription by RNA polymerase II"
"PLK1","G2/M transition of mitotic cell cycle"
"PLK1","mitotic sister chromatid segregation"
"11176.PHOSP_NDVB1","PLK1"
"11176.PHOSP_NDVB1","PLK1"
