source,target
PML,DYNLL1
PML,RC3H1
PML,GNG5
PML,MIRLET7E
PML,BDKRB1
PML,IL7R
PML,ZNF217
PML,DDX20
PML,AAR2
PML,ITFG1
PML,HNRNPA1
PML,RUNX3
PML,HIST1H2BJ
PML,RPL39
PML,UTP11L
PML,RTP5
PML,CDC5L
PML,VHL
PML,KBTBD8
PML,WDR45B
PML,HNRNPA3
PML,RPL35A
PML,CKS1B
PML,U2AF2
PML,UBE2N
PML,MRM1
PML,FZD8
PML,DNAJC19
PML,IGFBP5
PML,RELA
PML,AGO2
PML,MAPK8
PML,SKI
PML,RPS27A
PML,H2AFB1
PML,PHB
PML,EWSR1
PML,HIST1H3A
PML,RPS11
PML,KIAA1429
PML,CLTCL1
PML,TUBB2B
PML,PSMD11
PML,NUP85
PML,SNRPD3
PML,SNIP1
PML,PPP1R18
PML,TPM2
PML,HEXIM1
PML,TRIM14
PML,SRSF6
PML,HSPA5
PML,HACE1
PML,PPA1
PML,RNPS1
RPA2,SART3
RPA2,ESR2
RPA2,HSP90AA1
RPA2,ASB9
RPA2,UBXN1
RPA2,GSK3B
RPA2,ALDH1B1
RPA2,TERF2
RPA2,RPL23
RPA2,NOS1AP
RPA2,WWOX
RPA2,UBE2C
RPA2,RPL36AL
RPA2,SERPINC1
RPA2,GLDC
RPA2,TACR1
RPA2,SKP2
RPA2,FFAR4
RPA2,TANK
RPA2,XPO1
RPA2,RPS3
RPA2,DAP3
RPA2,SOCS2
RPA2,TRIM63
RPA2,PYGB
RPA2,RECQL4
RPA2,SEC13
RPA2,ADCY5
RPA2,YTHDF3
RPA2,SPSB1
RPA2,PRKACA
RPA2,FBXL22
RPA2,MCTS1
RPA2,MAP1LC3B
RPA2,RACGAP1
RPA2,TP73
RPA2,XRCC6
RPA2,POLR3C
RPA2,PPIB
RPA2,ARRB2
RPA2,TP53BP1
RPA2,USP9X
RPA2,CUL4B
RPA2,RLN3
RPA2,RNF114
RPA2,UBC
RPA2,PRPF6
RPA2,DVL2
RPA2,MTOR
RPA2,GNB1
RPA2,EGFR
RPA2,CXCR5
RPA2,UBA7
RPA2,MAPT
RPA2,CDC16
RPA2,TIMELESS
RPA2,PIK3R3
RPA2,IKBKG
RPA2,TAS2R8
RPA2,TP53
RPA2,CAND1
RPA2,PTPRK
RPA2,CXCL11
RPA2,PKM
RPA2,ZNF746
RPA2,NCALD
RPA2,PIK3R2
RPA2,GART
RPA2,GTF2B
RPA2,PSME3
RPA2,FBXO17
RPA2,UBA52
RPA2,BDKRB2
RPA2,AMELX
RPA2,UBB
RPA2,EGF
RPA2,STUB1
RPA2,OBSL1
RPA2,RPA3
RPA2,FAN1
RPA2,CACNG8
RPA2,EIF2S3
RPA2,UTS2R
RPA2,STX5
RPA2,SPIN1
RPA2,WDR75
RPA2,UBE2V1
RPA2,RBX1
RPA2,DDX18
ARF1,PARD6A
ARF1,SFN
ARF1,DAPK1
ARF1,EEF1A1
ARF1,DAP3
ARF1,THOC6
ARF1,EGFR
ARF1,SF3B2
ARF1,GSK3B
ARF1,WWOX
ARF1,CBLB
ARF1,GFAP
ARF1,SQSTM1
ARF1,UBA7
ARF1,CSNK1A1
ARF1,MRPL49
ARF1,VAMP3
ARF1,SPIN1
ARF1,SNX9
ARF1,SRC
ARF1,RPS8
ARF1,UBE2E1
ARF1,ERCC3
ARF1,RTP1
ARF1,SSTR2
ARF1,TAF15
ARF1,ARF1
ARF1,ATP1A1
ARF1,ARF6
ARF1,DVL3
ARF1,EEF1D
ARF1,CARS
ARF1,HDAC3
ARF1,NOL11
ARF1,MDM2
ARF1,MRPL9
ARF1,CCT5
ARF1,WWP1
ARF1,TBL3
ARF1,GAPVD1
ARF1,CDC73
ARF1,GNB1
ARF1,DARS
ARF1,PRPF8
ARF1,RECQL4
ARF1,RIOK1
ARF1,MGEA5
ARF1,AAAS
ARF1,NME1-NME2
ARF1,PRKCA
ARF1,DRD2
ARF1,RNF123
ARF1,COPS6
ARF1,NCOR2
ARF1,KRAS
ARF1,ELAVL1
ARF1,CXCR5
ARF1,TRIM32
ARF1,PSMB6
ARF1,ASB14
ARF1,SKI
ARF1,NOP56
ARF1,AP2M1
ARF1,RAP2B
ARF1,SNRPE
ARF1,RPSA
ARF1,MAPK1
ARF1,QSOX1
ARF1,UTS2R
ARF1,KIF18A
ARF1,SPTBN4
ARF1,EZH2
ARF1,PIK3CA
ARF1,CUL3
ARF1,HUWE1
ARF1,COPS5
ARF1,SYNCRIP
ARF1,KLHL5
ARF1,GPR39
ARF1,NAT2
ARF1,TRIP13
ARF1,RELA
ARF1,NXF1
ARF1,CDA
ARF1,TRIP4
ARF1,STOM
GGA3,RPA1
GGA3,FDFT1
GGA3,PAFAH1B1
GGA3,MAGI1
GGA3,PDS5A
GGA3,POU2F2
GGA3,LTB4R
GGA3,TGOLN2
GGA3,REEP1
GGA3,MAPK1
GGA3,CXCR2
GGA3,C1QBP
GGA3,SYNE1
GGA3,ADCY6
GGA3,NME1
GGA3,MED23
GGA3,POLR2F
XRN1,NXF1
XRN1,HSP90AA1
XRN1,COPS6
XRN1,NFKBIB
XRN1,HIST1H2BB
XRN1,HEBP1
XRN1,TCTN3
XRN1,RNF31
XRN1,TOP2A
XRN1,NSA2
XRN1,PSMB2
XRN1,FOXP3
XRN1,CKAP5
XRN1,NPY2R
XRN1,NTRK1
XRN1,PLCB4
XRN1,RASA1
XRN1,MYH2
XRN1,RHOB
XRN1,LCE1B
XRN1,MYC
XRN1,TRIM25
XRN1,HELZ2
APP,DYNLL2
APP,EIF3L
APP,STRAP
APP,HSPA8
APP,ADAM10
APP,MRPL24
APP,PGAM5
APP,GNG5
APP,ACTL6A
APP,BIRC3
APP,MED9
APP,CCL5
APP,CREB1
APP,SOX2
APP,NSA2
APP,MRPS15
