"node","type"
"12092.PRO_0000039952",0
"12092.PRO_0000039947",0
"12092.PRO_0000039948",0
"RTN2",1
"RTN1",1
"HSP90AA1",1
"RTN4",1
"BECN1",1
"IKBKB",1
"autophagosome assembly",6
"G2/M transition of mitotic cell cycle",6
"Golgi membrane",6
"phagophore assembly site",6
"autophagy of mitochondrion",6
"mitophagy",6
"blastocyst formation",6
"positive regulation of protein phosphorylation",6
"stimulatory C-type lectin receptor signaling pathway",6
"antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent",6
"MyD88-independent toll-like receptor signaling pathway",6
"RNA binding",6
"protein kinase activity",6
"protein serine/threonine kinase activity",6
"protein binding",6
"ATP binding",6
"extracellular region",6
"cell",6
"nucleus",6
"nuclear envelope",6
"nucleoplasm",6
"cytoplasm",6
"mitochondrion",6
"endosome",6
"autophagosome",6
"endoplasmic reticulum",6
"endoplasmic reticulum membrane",6
"Golgi apparatus",6
"cytosol",6
"plasma membrane",6
"protein folding",6
"protein phosphorylation",6
"mitochondrial transport",6
"endocytosis",6
"receptor-mediated endocytosis",6
"autophagy",6
"apoptotic process",6
"inflammatory response",6
"cellular defense response",6
"response to unfolded protein",6
"cellular response to nitrogen starvation",6
"telomere maintenance via telomerase",6
"mitotic metaphase plate congression",6
"I-kappaB kinase/NF-kappaB signaling",6
"I-kappaB phosphorylation",6
"axonal fasciculation",6
"IkappaB kinase activity",6
"IkappaB kinase complex",6
"response to heat",6
"response to cold",6
"response to virus",6
"cytoplasmic side of plasma membrane",6
"cell surface",6
"endosome membrane",6
"regulation of G2/M transition of mitotic cell cycle",6
"positive regulation of epithelial cell migration",6
"regulation of tumor necrosis factor-mediated signaling pathway",6
"positive regulation of phosphatidylinositol 3-kinase signaling",6
"postsynaptic density",6
"terminal cisterna",6
"membrane",6
"viral process",6
"macroautophagy",6
"protein deubiquitination",6
"ATPase activity",6
"peptidyl-serine phosphorylation",6
"cytokine-mediated signaling pathway",6
"extrinsic component of membrane",6
"protein kinase binding",6
"cerebral cortex radial glia guided migration",6
"central nervous system neuron axonogenesis",6
"MHC class II protein complex binding",6
"establishment of cell polarity",6
"integral component of endoplasmic reticulum membrane",6
"nitric-oxide synthase regulator activity",6
"negative regulation of cell growth",6
"T-tubule",6
"negative regulation of axon extension",6
"cortical actin cytoskeleton organization",6
"TPR domain binding",6
