"V1","V2"
"IFNA6","IFNA16"
"IFNA7","IFNA16"
"IFNA7","IFNA6"
"ENSG00000173366","TLR7"
"TYK2","IFNA16"
"TYK2","IFNA6"
"TYK2","IFNA7"
"IL17A","TLR7"
"IL10RB","TYK2"
"IFNGR2","TYK2"
"IFNA8","IFNA16"
"IFNA8","IFNA6"
"IFNA8","IFNA7"
"IFNA8","TYK2"
"IL6","TLR7"
"IL6","ENSG00000173366"
"IL6","TYK2"
"IL6","IL17A"
"IL6","IL10RB"
"IL6","IFNGR2"
"IFNA17","IFNA16"
"IFNA17","IFNA6"
"IFNA17","IFNA7"
"IFNA17","TYK2"
"IFNA17","IL10RB"
"IFNA17","IFNGR2"
"IFNA17","IFNA8"
"IFNLR1","IFNA6"
"IFNLR1","TYK2"
"IFNLR1","IL10RB"
"IFNLR1","IFNA17"
"CXCL10","IL17A"
"CXCL10","IL6"
"IFNA21","IFNA16"
"IFNA21","IFNA6"
"IFNA21","IFNA7"
"IFNA21","TYK2"
"IFNA21","IL10RB"
"IFNA21","IFNGR2"
"IFNA21","IFNA8"
"IFNA21","IFNA17"
"IFNA21","IFNLR1"
"IFNL1","TYK2"
"IFNL1","IL10RB"
"IFNL1","IFNGR2"
"IFNL1","IFNLR1"
"IFNG","IL17A"
"IFNG","IL10RB"
"IFNG","IFNGR2"
"IFNG","IL6"
"IFNG","CXCL10"
"IFNA4","IFNA16"
"IFNA4","IFNA6"
"IFNA4","IFNA7"
"IFNA4","TYK2"
"IFNA4","IFNA8"
"IFNA4","IFNA17"
"IFNA4","IFNA21"
"TLR2","IL17A"
"TLR2","IL6"
"TLR2","CXCL10"
"TLR2","IFNG"
"IL3RA","IL6"
"IL3RA","IFNA17"
"IL3RA","IFNA21"
"IL3RA","IFNL1"
"IL3RA","IFNG"
"TLR3","TLR7"
"TLR3","IL6"
"TLR3","CXCL10"
"TLR3","IFNL1"
"IFNA14","IFNA16"
"IFNA14","IFNA6"
"IFNA14","IFNA7"
"IFNA14","TYK2"
"IFNA14","IFNA8"
"IFNA14","IFNA17"
"IFNA14","IFNA21"
"IFNA14","IFNA4"
"IL1R1","TLR7"
"IL1R1","IL6"
"IL1R1","SIGIRR"
"IL1R1","TLR2"
"IL1R1","TLR3"
"STAT2","IFNA16"
"STAT2","IFNA6"
"STAT2","IFNA7"
"STAT2","TLR7"
"STAT2","TYK2"
"STAT2","IL10RB"
"STAT2","IFNA8"
"STAT2","IFNA17"
"STAT2","IFNLR1"
"STAT2","IFNA21"
"STAT2","IFNL1"
"STAT2","IFNA4"
"STAT2","IFNA14"
"IL10","TLR7"
"IL10","ENSG00000173366"
"IL10","TYK2"
"IL10","IL17A"
"IL10","IL10RB"
"IL10","IFNGR2"
"IL10","IL6"
"IL10","IFNLR1"
"IL10","CXCL10"
"IL10","IFNG"
"IL10","TLR2"
"IL10","IL3RA"
"IL10","TLR3"
"IL10","IL1R1"
"IL10","STAT2"
"IFNA2","IFNA16"
"IFNA2","IFNA6"
"IFNA2","IFNA7"
"IFNA2","TYK2"
"IFNA2","IL10RB"
"IFNA2","IFNGR2"
"IFNA2","IFNA8"
"IFNA2","IFNA17"
"IFNA2","IFNLR1"
"IFNA2","IFNA21"
"IFNA2","IFNA4"
"IFNA2","IL3RA"
"IFNA2","IFNA14"
"IFNA2","STAT2"
"IL1B","TLR7"
"IL1B","TYK2"
"IL1B","IL17A"
"IL1B","IL6"
"IL1B","CXCL10"
"IL1B","IFNG"
"IL1B","TLR2"
"IL1B","TLR3"
"IL1B","IL1R1"
"IL1B","IL10"
"TLR4","TLR7"
"TLR4","IL17A"
"TLR4","IL6"
"TLR4","CXCL10"
"TLR4","IFNG"
"TLR4","SIGIRR"
"TLR4","TLR2"
"TLR4","IL1R1"
"TLR4","IL10"
"TLR4","IL1B"
"IL2RA","TYK2"
"IL2RA","IL6"
"IL2RA","IFNG"
"IL2RA","IL3RA"
"IL2RA","IL10"
"IL2RA","IFNA2"
"IRF9","IFNA16"
"IRF9","IFNA6"
"IRF9","IFNA7"
"IRF9","TYK2"
"IRF9","IFNA8"
"IRF9","IFNA17"
"IRF9","IFNA21"
"IRF9","IFNA4"
"IRF9","IFNA14"
"IRF9","STAT2"
"IRF9","IFNA2"
"SMARCC2","GTF3A"
"SMARCC2","STAT2"
"IRF6","GTF3A"
"IRF6","STAT2"
"IRF6","IRF9"
"IRF6","SMARCC2"
"IFNGR1","TYK2"
"IFNGR1","IFNGR2"
"IFNGR1","IL6"
"IFNGR1","IFNA17"
"IFNGR1","IFNA21"
"IFNGR1","IFNL1"
"IFNGR1","IFNG"
"IFNGR1","IL10"
"IFNGR1","IFNA2"
"SMARCD1","GTF3A"
"SMARCD1","SMARCC2"
"SMARCD1","IRF6"
"PTPN1","IFNA16"
"PTPN1","IFNA6"
"PTPN1","IFNA7"
"PTPN1","TYK2"
"PTPN1","IFNGR2"
"PTPN1","IFNA8"
"PTPN1","IFNA17"
"PTPN1","IFNA21"
"PTPN1","IFNG"
"PTPN1","IFNA4"
"PTPN1","IFNA14"
"PTPN1","STAT2"
"PTPN1","IFNA2"
"PTPN1","IL1B"
"PTPN1","IFNGR1"
"IL20RA","TYK2"
"IL20RA","IL10RB"
"IL20RA","IFNL1"
"IL20RA","IL10"
"SOCS1","IFNA16"
"SOCS1","IFNA6"
"SOCS1","IFNA7"
"SOCS1","TYK2"
"SOCS1","IFNGR2"
"SOCS1","IFNA8"
"SOCS1","IL6"
"SOCS1","IFNA17"
"SOCS1","IFNA21"
"SOCS1","IFNG"
"SOCS1","IFNA4"
"SOCS1","TLR3"
"SOCS1","IFNA14"
"SOCS1","STAT2"
"SOCS1","IFNA2"
"SOCS1","TLR4"
"SOCS1","IL2RA"
"SOCS1","IFNGR1"
"NTRK3","PTPN1"
"SMARCE1","GTF3A"
"SMARCE1","STAT2"
"SMARCE1","SMARCC2"
"SMARCE1","IRF6"
"SMARCE1","SMARCD1"
"IRF5","IFNA21"
"IRF5","GTF3A"
"IRF5","STAT2"
"IRF5","IL10"
"IRF5","IRF9"
"IRF5","SMARCC2"
"IRF5","IRF6"
"IRF5","SMARCD1"
"IRF5","SMARCE1"
"IRF1","IFNA16"
"IRF1","IFNA6"
"IRF1","IFNA7"
"IRF1","IFNA8"
"IRF1","IL6"
"IRF1","IFNA17"
"IRF1","CXCL10"
"IRF1","IFNA21"
"IRF1","GTF3A"
"IRF1","IFNG"
"IRF1","IFNA4"
"IRF1","TLR3"
"IRF1","IFNA14"
"IRF1","STAT2"
"IRF1","IFNA2"
"IRF1","IL1B"
"IRF1","TLR4"
"IRF1","IRF9"
"IRF1","SMARCC2"
"IRF1","IRF6"
"IRF1","SMARCD1"
"IRF1","SMARCE1"
"IRF1","IRF5"
"IL1RN","IL6"
"IL1RN","IL1R1"
"IL1RN","IL10"
"IL1RN","IL1B"
"IRAK2","TLR7"
"IRAK2","TLR2"
