source,target
PML,RANBP2
PML,TRIM22
PML,RPL11
PML,RUNX1
PML,TRIM25
PML,PML
PML,TRIM27
PML,RPL5
PML,RNF123
PML,RPTOR
PML,RAE1
PML,SMURF1
PML,TGFBR2
PML,POM121
PML,TPR
PML,UBC
PML,VCAM1
PML,POM121C
PML,UBA52
PML,PTEN
PML,RPS27A
APP,INS
APP,ATXN3
APP,RPS26
APP,SRSF3
APP,C17orf85
APP,CPEB1
APP,STUB1
APP,RPL30
APP,MYC
APP,RPL37
APP,CHEK2
APP,EIF4E2
APP,CASP3
APP,MAB21L2
APP,CNOT7
APP,TGFBR2
APP,RPS14
APP,RNF2
APP,COPS5
APP,MKNK1
APP,DHX58
APP,LRPPRC
APP,ZCCHC6
APP,RIOK2
APP,RPL12
APP,SMURF1
APP,UBE2M
APP,G3BP1
APP,CD74
APP,LARP7
APP,RPS19
APP,LIMD1
APP,RPS11
APP,ASS1
APP,XRCC3
APP,APP
APP,HSPD1
APP,RPS27A
APP,RPL36
APP,PTBP1
APP,RRAGB
APP,RPL23
APP,MAPK11
APP,EIF1AX
APP,RPS16
APP,EIF2S2
APP,RPS20
APP,PABPC3
APP,RPL11
APP,GSPT2
APP,IRS1
APP,RPS10
APP,EIF4E
APP,EIF3G
APP,KRAS
APP,ESR2
APP,EIF1
APP,CASP6
APP,EIF3F
APP,EIF2A
APP,RPL3L
APP,OBSL1
APP,HNRNPA1
APP,RPS12
APP,CASP4
APP,NUP50
APP,TRIM25
APP,HSPA9
APP,RPS18
APP,KIAA1429
APP,EIF6
APP,RPL31
APP,YWHAB
APP,EIF3M
APP,MCC
APP,DUSP21
APP,RIOK1
APP,RPL34
APP,NPM1
APP,YTHDF2
APP,STAU1
APP,RPS21
APP,EIF5
APP,RPS25
APP,SRPK2
APP,TARDBP
APP,ATG16L1
APP,RPS9
APP,RPL37A
APP,RPS6KB1
APP,YWHAZ
APP,MAPK1
APP,MTNR1B
APP,MAPK3
APP,SOD1
APP,FMR1
APP,CASP8
APP,CAPN1
APP,P2RY6
APP,GRK5
APP,FN1
APP,NTRK1
LSM1,PAN2
LSM1,LSM14A
LSM1,XRN1
