source,target
MAP2K4,TRIM25
MAP2K4,MAPK9
MAP2K4,MAP2K7
MAP2K4,UBC
MAP2K4,MAP3K7
MAP2K4,MAPK14
MAP2K4,MAP2K4
MAP2K4,MAPK1
MAP2K4,MAP3K8
MAP2K4,MAP3K1
MAP2K4,MAPK8
MAP2K4,MAP3K5
MAP2K4,PML
MAP2K4,TNFRSF1A
MAP2K4,MAPK13
MAP2K4,MAPK12
MAP2K4,TAB1
MAP2K4,RIPK2
MAP2K4,NOD1
MAP2K4,NFKB1
MAP2K4,MAPK8IP1
MAP2K4,TRAF2
MAP2K4,RIPK1
MAP2K4,RPS27A
MAP2K4,NOD2
MAP2K4,UBB
MAP2K4,PAK2
MAP2K4,UBE2N
MAP2K4,MAPK11
MAP2K4,UBE2V1
MAP2K4,TRADD
MAP2K4,MAP4K4
MAP2K4,RAC1
MAP2K4,TAB2
MAP2K4,TXN
MAP2K4,TAB3
MAP2K4,PRKCD
MAP2K4,UBA52
MAP2K4,TNF
MAP2K4,PRKCA
MAP2K4,TRAF6
MAP2K4,PPP2R5D
FNTA,TGFB1
FNTA,MTOR
FNTA,STAT2
FNTA,VAV2
FNTA,XRCC3
FNTA,HDAC6
FNTA,GNGT1
FNTA,PGGT1B
PML,TRIM24
PML,TDG
PML,RNF4
PML,RUNX2
PML,RBX1
PML,TRIM22
PML,UBE2I
PML,TP53
PML,SIRT1
PML,TRIB3
PML,RPL11
PML,UBE2U
PML,RUNX1
PML,SFXN3
PML,SPI1
PML,TRIM69
PML,SP1
PML,ZBTB16
PML,RB1
PML,SETDB1
PML,ZMYM2
PML,SIN3A
PML,TRIM25
PML,TP53BP1
PML,SKP1
PML,VDAC2
PML,SUZ12
PML,YAP1
PML,STAT1
PML,STAT3
PML,UBE3A
PML,SMARCA4
PML,RELA
PML,PML
PML,SQSTM1
PML,PPARGC1A
PML,UQCRQ
PML,SMAD3
PML,RXRA
PML,RNF123
PML,RNF111
PML,STAT2
PML,PPARG
PML,SIAH2
PML,SMAD2
PML,TOMM20
PML,TES
PML,SKI
PML,RBCK1
PML,SIAH1
PML,TGFB1
PML,TRIM21
PML,SMURF2
PML,RPTOR
PML,TRIM5
PML,SMURF1
PML,TGFBR2
PML,UBC
PML,TRIM8
PML,VCAM1
PML,POM121C
PML,UBA52
PML,PTAFR
PML,PTEN
PML,UBB
PML,RPS27A
PML,TRIM14
RPA2,SDF4
RPA2,SFPQ
RPA2,VCP
RPA2,TUBB4B
RPA2,STAT3
RPA2,UBE2A
RPA2,UBC
RPA2,SPTBN1
RPA2,SMC1A
RPA2,SNAI1
RPA2,TAF15
RPA2,SPTAN1
RPA2,TPM2
RPA2,SMC3
RPA2,SMARCC2
RPA2,TP53BP1
RPA2,TRIM28
RPA2,YTHDF3
RPA2,RPS9
RPA2,TRIP12
RPA2,YAP1
RPA2,SCAMP3
RPA2,TP53
RPA2,RPRD1B
RPA2,ZNF598
RPA2,UBE2M
RPA2,UBE2B
RPA2,RPS27A
RPA2,UBE2L6
RPA2,UBB
RPA2,WDR48
RPA2,UBE2N
RPA2,TRIM25
RPA2,UBA7
RPA2,USP1
RPA2,SERTAD1
RPA2,UBE2V2
RPA2,UBA52
RPA2,XRCC3
STAT3,TRAF6
STAT3,TRIM24
STAT3,ZNF829
STAT3,VPS39
STAT3,TRIM28
STAT3,WDFY3
STAT3,TMEM206
STAT3,TRIM59
STAT3,STAT6
STAT3,ZNF281
STAT3,TSHR
STAT3,ZNF557
STAT3,SULT2A1
STAT3,TIRAP
STAT3,TM4SF19
STAT3,STAT5B
STAT3,TRPV5
STAT3,VASN
STAT3,TRIP10
STAT3,USP22
STAT3,TRIM25
STAT3,TBCD
STAT3,TDG
STAT3,ZFHX3
STAT3,STMN1
STAT3,TRIM11
STAT3,TCEAL1
STAT3,STAT3
STAT3,ZFPM2
STAT3,SYK
STAT3,USP28
STAT3,ZC3H7A
STAT3,VEGFA
STAT3,TMUB1
STAT3,TBC1D22B
STAT3,TBC1D15
STAT3,TWIST1
STAT3,TES
STAT3,SUPT20H
STAT3,TNFRSF1A
STAT3,TBX21
STAT3,THPO
STAT3,TIMP1
STAT3,TGFB1
STAT3,TLR2
STAT3,WNT5A
STAT3,TNF
STAT3,TLR9
STAT3,TSLP
STAT3,TYK2
STAT3,SUZ12
STAT3,TNFRSF1B
STAT3,VCAM1
STAT3,VIM
STAT3,STAT4
STAT3,TP53
STAT3,ZMYM2
STAT3,STAT5A
STAT3,TLR4
STAT3,TNFSF11
STAT3,ZEB1
STAT3,TCP1
STAT3,YES1
ARFIP2,SARS
ARFIP2,CDKN2A
ARFIP2,ING5
ARFIP2,STAT3
ARFIP2,HGS
ARFIP2,BICD1
ARFIP2,PDLIM5
ARFIP2,ARFIP2
ARFIP2,CSK
ARFIP2,ATXN3
ARFIP2,TMEM17
ARFIP2,EWSR1
ARFIP2,MOV10
ARFIP2,BICD2
ARFIP2,SNX1
ARFIP2,RAC1
ARFIP2,CDH1
ARFIP2,ARL1
ARFIP2,SOCS2
ARFIP2,CDC42
ARFIP1,YAP1
ARFIP1,SARS
ARFIP1,IDE
ARFIP1,HSPA8
ARFIP1,PFKP
ARFIP1,TSNAX
ARFIP1,GART
ARFIP1,DNM1L
ARFIP1,STAT3
ARFIP1,TBC1D15
ARFIP1,SHMT1
ARFIP1,TSTA3
ARFIP1,PSMG3
ARFIP1,ECH1
ARFIP1,SHMT2
ARFIP1,ATP6V1C1
ARFIP1,PRMT3
ARFIP1,CDH1
ARFIP1,ARFIP2
ARFIP1,LUC7L2
ARFIP1,SLC2A4
ARFIP1,SEC24A
ARFIP1,PAFAH1B2
ARFIP1,TMEM17
ARFIP1,CLPB
ARFIP1,ARL1
ARFIP1,OCIAD2
APP,TCL1B
APP,ITGA2
APP,HAGH
APP,NTRK3
APP,TRIM41
APP,TAB2
APP,COMMD2
APP,ATP6V1E1
APP,KAT5
APP,INS
APP,IFIT3
APP,TRIM63
APP,HSPA4
APP,S1PR1
APP,CDKN1A
APP,PKM
APP,PTK6
APP,UBE3C
APP,ATXN3
APP,TANK
APP,HSP90AA1
APP,LRRC59
APP,GGA1
APP,SRSF3
APP,DCUN1D2
APP,ATP5A1
APP,STUB1
APP,TACO1
APP,CUL3
APP,MYC
APP,MAP2K4
APP,VCP
APP,TSLP
APP,PSAT1
APP,CA9
APP,DECR1
APP,UBAC1
APP,IARS2
APP,CUL7
APP,USP2
APP,CASP3
APP,ECI2
APP,IL7
APP,CDK5
APP,OPA1
APP,TGFBR2
APP,IL26
APP,GNB5
APP,NDUFA4
APP,FGFR2
APP,ATP5C1
APP,RNF115
APP,UBQLN1
APP,STAT5B
APP,RNF2
APP,COPS5
APP,PAK2
APP,TMEM126B
APP,SLC22A6
APP,LRPPRC
APP,VPS29
APP,PARK2
APP,FGB
APP,ETV5
APP,LY86
APP,NDUFS1
APP,MTMR14
APP,HSPA8
APP,IFNA8
APP,CD36
APP,PDHB
APP,BTK
APP,PCBP1
APP,SMURF1
APP,FBXW11
APP,UBE2M
APP,G3BP1
APP,RPA2
APP,BCL2L11
APP,AURKA
APP,OAS2
APP,NDUFS3
APP,LNX1
APP,CDC20
APP,TRIM69
APP,DEPTOR
APP,HDAC4
APP,SIGIRR
APP,ZNF92
APP,SAMHD1
APP,DLK2
APP,MICU1
APP,TUBG1
APP,CHCHD6
APP,SOCS5
APP,COX4I1
APP,TRIB3
APP,TMUB1
APP,ETFB
APP,TEK
APP,CTF1
APP,CUL4B
APP,BMX
APP,SYK
APP,MAP3K5
APP,XAF1
APP,MBD1
APP,RNF138
APP,NDUFA5
APP,MDM2
APP,MRPS6
APP,XRCC3
APP,APP
APP,HSPD1
APP,BDNF
APP,HIGD2A
APP,MAPK8IP1
APP,RPS27A
APP,STOML2
APP,RCOR3
APP,EPHA2
APP,PRKCD
APP,ASB6
APP,IDO1
APP,ITGA2B
APP,HGS
APP,CTNNB1
APP,PRKAB1
APP,IFNA16
APP,KDR
APP,FANCI
APP,ATP5O
APP,TRAIP
APP,MAPK11
APP,CDK18
APP,NXT2
APP,EIF2S2
APP,HCK
APP,IFI6
APP,PIK3R5
APP,ECSIT
APP,PPARG
APP,CAV1
APP,BCKDK
APP,CDC7
APP,CDC37
APP,SNX1
APP,CCT8
APP,RNF41
APP,C2orf47
APP,RPL11
APP,GSPT2
APP,IRS1
APP,ATAT1
APP,IFIH1
APP,PUS7L
APP,DDX19B
APP,FGA
APP,ECH1
APP,KRAS
APP,TBCD
APP,POMC
APP,TIMMDC1
APP,SMARCB1
APP,NR1H3
APP,ESR2
APP,OCIAD2
APP,GSK3B
APP,VIM
APP,MCM5
APP,RBPJ
APP,FBXL7
APP,PIK3R2
APP,BIK
APP,PHGDH
APP,TBC1D7
APP,PPP2R4
APP,UBE2E2
APP,NME3
APP,VHL
APP,CACNG2
APP,CCND3
APP,EIF2A
APP,PDK3
APP,PYCR2
APP,ETS1
APP,GAPDH
APP,DNAAF2
APP,UBE3A
APP,DYRK1A
APP,ATG7
APP,SMAD3
APP,TARBP2
APP,DNM2
APP,NAE1
APP,LACTB
APP,UQCRC1
APP,POU2F1
APP,SURF2
APP,HIRIP3
APP,BGN
APP,SOCS3
APP,UCHL1
APP,JUN
APP,PCBD2
APP,TRIM25
APP,SHMT2
APP,VDAC2
APP,SCAMP3
APP,MX1
APP,SHC1
APP,NRAS
APP,UBE2I
APP,FLOT2
APP,IKBIP
APP,HSPA9
APP,IL15
APP,SNX27
APP,RTF1
APP,NARF
APP,TBK1
APP,EGFR
APP,NDUFV1
APP,KIAA1429
APP,YWHAG
APP,SND1
APP,HADH
APP,WASH2P
APP,ICT1
APP,GFAP
APP,CCL26
APP,IL20RB
APP,RCAN1
APP,CCT7
APP,PIM1
APP,TES
APP,HSD17B10
APP,KRTAP10-7
APP,BRWD1
APP,IGBP1
APP,LIPT1
APP,TRAF6
APP,MTCP1
APP,LUC7L2
APP,RBX1
APP,FGG
APP,GSN
APP,PDIA3
APP,PTGS2
APP,STAU1
APP,SDF4
APP,TUFM
APP,CISD2
