"node","type"
"694009.NS7A_CVHSA",0
"694009.PRO_0000037311",0
"694009.PRO_0000037314",0
"694009.NCAP_CVHSA",0
"694009.PRO_0000037315",0
"694009.AP3A_CVHSA",0
"694009.PRO_0000037309",0
"694009.ORF9B_CVHSA",0
"SGTA",1
"TGFB1",1
"CD79A",1
"FGL2",1
"SPECC1",1
"SMAD7",1
"SMAD2",1
"STAT3",1
"SMAD6",1
"BCL2L1",1
"PPP1CA",1
"SMAD3",1
"CAV1",1
"SMAD4",1
"JUN",1
"SMAD9",1
"XPO1",1
"SMAD5",1
"ribosomal subunit export from nucleus",6
"ribosomal large subunit export from nucleus",6
"ribosomal small subunit export from nucleus",6
"negative regulation of transcription by RNA polymerase II",6
"Golgi membrane",6
"protein phosphatase type 1 complex",6
"MAPK cascade",6
"inactivation of MAPK activity",6
"nuclear chromosome",6
"kinetochore",6
"nuclear chromosome, telomeric region",6
"nuclear chromatin",6
"transcription regulatory region sequence-specific DNA binding",6
"RNA polymerase II cis-regulatory region sequence-specific DNA binding",6
"DNA-binding transcription factor activity, RNA polymerase II-specific",6
"cis-regulatory region sequence-specific DNA binding",6
"RNA polymerase II transcription factor binding",6
"RNA polymerase II activating transcription factor binding",6
"RNA polymerase II repressing transcription factor binding",6
"transcription coactivator binding",6
"DNA-binding transcription repressor activity, RNA polymerase II-specific",6
"DNA-binding transcription activator activity, RNA polymerase II-specific",6
"angiogenesis",6
"ovarian follicle development",6
"vasculogenesis",6
"fibrillar center",6
"ureteric bud development",6
"branching involved in ureteric bud morphogenesis",6
"temperature homeostasis",6
"response to hypoxia",6
"in utero embryonic development",6
"gastrulation with mouth forming second",6
"endoderm formation",6
"mesoderm formation",6
"eye photoreceptor cell differentiation",6
"somitogenesis",6
"microglial cell activation",6
"release of cytochrome c from mitochondria",6
"epithelial to mesenchymal transition",6
"neural tube closure",6
"Mullerian duct regression",6
"liver development",6
"negative regulation of protein phosphorylation",6
"positive regulation of protein phosphorylation",6
"negative regulation of endothelial cell proliferation",6
"positive regulation of endothelial cell proliferation",6
"heart looping",6
"negative regulation of cytokine-mediated signaling pathway",6
"osteoblast fate commitment",6
"chondrocyte differentiation",6
"osteoblast development",6
"acrosomal membrane",6
"caveolar macromolecular signaling complex",6
"hematopoietic progenitor cell differentiation",6
"connective tissue replacement involved in inflammatory response wound healing",6
"adaptive immune response",6
"T cell activation via T cell receptor contact with antigen bound to MHC molecule on antigen presenting cell",6
"immunoglobulin production involved in immunoglobulin mediated immune response",6
"immune system development",6
"platelet degranulation",6
"negative regulation of dendritic cell antigen processing and presentation",6
"negative regulation of macrophage antigen processing and presentation",6
"negative regulation of T cell cytokine production",6
"response to ischemia",6
"regulation of the force of heart contraction by chemical signal",6
"outflow tract septum morphogenesis",6
"outflow tract morphogenesis",6
"heart valve morphogenesis",6
"aortic valve morphogenesis",6
"mitral valve morphogenesis",6
"pulmonary valve morphogenesis",6
"atrioventricular valve formation",6
"epithelial to mesenchymal transition involved in endocardial cushion formation",6
"left ventricular cardiac muscle tissue morphogenesis",6
"positive regulation of cell proliferation involved in heart valve morphogenesis",6
"ventricular septum development",6
"brainstem development",6
"DNA binding",6
"chromatin binding",6
"double-stranded DNA binding",6
"DNA-binding transcription factor activity",6
"transcription coregulator activity",6
"transcription coactivator activity",6
"RNA binding",6
"antigen binding",6
"phosphoprotein phosphatase activity",6
"protein serine/threonine phosphatase activity",6
"nuclear receptor activity",6
"transmembrane signaling receptor activity",6
"nuclear export signal receptor activity",6
"GTPase activator activity",6
"signaling receptor binding",6
"patched binding",6
"type II transforming growth factor beta receptor binding",6
"cytokine activity",6
"transforming growth factor beta receptor binding",6
"extracellular matrix structural constituent",6
"protein binding",6
"collagen binding",6
"extracellular region",6
"fibrinogen complex",6
"extracellular space",6
"intracellular",6
"cell",6
"nucleus",6
"nuclear envelope",6
"nuclear inner membrane",6
"annulate lamellae",6
"nucleoplasm",6
"transcription factor complex",6
"nuclear euchromatin",6
"nucleolus",6
"cytoplasm",6
"mitochondrion",6
"mitochondrial outer membrane",6
"mitochondrial inner membrane",6
"mitochondrial matrix",6
"endosome",6
"multivesicular body",6
"endoplasmic reticulum",6
"endoplasmic reticulum membrane",6
"Golgi apparatus",6
"Golgi lumen",6
"lipid droplet",6
"centrosome",6
"microtubule organizing center",6
"cytosol",6
"plasma membrane",6
"integral component of plasma membrane",6
"caveola",6
"microvillus",6
"adherens junction",6
"focal adhesion",6
"cilium",6
"cell cortex",6
"glycogen metabolic process",6
"regulation of glycogen biosynthetic process",6
"regulation of glycogen catabolic process",6
"regulation of transcription, DNA-templated",6
"regulation of transcription by RNA polymerase II",6
"transcription by RNA polymerase II",6
"protein phosphorylation",6
"protein dephosphorylation",6
"proteolysis",6
"protein import into nucleus",6
"protein export from nucleus",6
"posttranslational protein targeting to endoplasmic reticulum membrane",6
"triglyceride metabolic process",6
"ATP biosynthetic process",6
"phosphate-containing compound metabolic process",6
"calcium ion transport",6
"lipid transport",6
"cellular calcium ion homeostasis",6
"cellular iron ion homeostasis",6
"endocytosis",6
"nucleocytoplasmic transport",6
"activation of cysteine-type endopeptidase activity involved in apoptotic process",6
"regulation of smooth muscle contraction",6
"defense response",6
"acute-phase response",6
"inflammatory response",6
"immune response",6
"cell cycle",6
"cell cycle arrest",6
"mitotic cell cycle checkpoint",6
"signal transduction",6
"epidermal growth factor receptor signaling pathway",6
"transforming growth factor beta receptor signaling pathway",6
"common-partner SMAD protein phosphorylation",6
"SMAD protein complex assembly",6
"receptor signaling pathway via JAK-STAT",6
"Ras protein signal transduction",6
"germ cell development",6
"spermatogenesis",6
"single fertilization",6
"zygotic specification of dorsal/ventral axis",6
"gastrulation",6
"nervous system development",6
"axon guidance",6
"salivary gland morphogenesis",6
"endoderm development",6
"heart development",6
"skeletal muscle tissue development",6
"aging",6
"lactation",6
"learning",6
"circadian rhythm",6
"beta-catenin binding",6
"growth factor activity",6
"protein localization",6
"transcription factor binding",6
"protein phosphatase 1 binding",6
"peptidase activity",6
"zinc ion binding",6
"cell population proliferation",6
"positive regulation of cell population proliferation",6
"negative regulation of cell population proliferation",6
"Ran GTPase binding",6
"male gonad development",6
"intrinsic apoptotic signaling pathway in response to DNA damage",6
"apoptotic mitochondrial changes",6
"response to radiation",6
"fertilization",6
"response to wounding",6
"response to mechanical stimulus",6
"response to virus",6
"response to bacterium",6
"response to glucose",6
"post-embryonic development",6
"embryonic pattern specification",6
"external side of plasma membrane",6
"anterior/posterior pattern specification",6
