source,target
RPA2,RPS20
RPA2,GRM6
RPA2,PTPRU
RPA2,TUBB4B
RPA2,PABPN1
RPA2,MTA2
RPA2,SRSF1
RPA2,PTGES3
RPA2,TOP2A
RPA2,ZDHHC17
RPA2,PIH1D1
RPA2,DNTTIP2
RPA2,KCTD3
RPA2,DENND5B
RPA2,PCNA
RPA2,PSMA7
RPA2,MAPK9
RPA2,UBE2M
RPA2,CCL13
RPA2,HIST1H4K
RPA2,ARFGAP1
RPA2,MYO1B
RPA2,TRIM21
RPA2,TACR1
RPA2,HRAS
RPA2,MYC
RPA2,PTGS2
RPA2,ASB5
RPA2,CYLD
RPA2,ECH1
RPA2,TNF
RPA2,TOP2B
RPA2,PDIA3
RPA2,SYNCRIP
RPA2,UBE2E1
RPA2,GNGT1
RPA2,AKT3
RPA2,TRIM25
RPA2,FLOT1
RPA2,NUP107
RPA2,HIST1H2BG
RPA2,GNL3L
RPA2,PTEN
RPA2,ZNF598
RPA2,ATP6V1F
RPA2,EGLN3
RPA2,MAD2L1
RPA2,CCR10
RPA2,ANAPC7
RPA2,IPO4
RPA2,UBE2B
RPA2,RANBP2
RPA2,ESR2
RPA2,UBE2L6
RPA2,PSMC2
RPA2,PCBP1
RPA2,FBXL16
RPA2,SUMO2
RPA2,POLR2K
RPA2,TUBB3
RPA2,TYK2
RPA2,UBC
RPA2,RARA
RPA2,KIF11
RPA2,RNF123
RPA2,RNPS1
RPA2,VAMP2
RPA2,FBXO7
RPA2,TP53
RPA2,MRM1
RPA2,UBE2C
RPA2,CDC20
RPA2,WDR36
RPA2,TAS1R1
RPA2,CDK6
RPA2,VIM
RPA2,DAPK1
RPA2,RPL13
RPA2,HERC5
RPA2,RNF114
RPA2,TAS2R30
RPA2,RPL7L1
RPA2,PTPN14
RPA2,WDR26
RPA2,UBE3C
RPA2,HMMR
RPA2,LONRF1
RPA2,CDC5L
RPA2,GALNT7
RPA2,UBE2G1
RPA2,ZBTB16
RPA2,NELFB
STAT3,HSD17B10
STAT3,KLHL20
STAT3,SLC4A7
STAT3,PDIA6
STAT3,FOXO3
STAT3,UBA52
STAT3,ILF2
STAT3,ASB5
STAT3,ITGA11
