"V1","V2"
"EIF4E","regulation of translation at postsynapse, modulating synaptic transmission"
"EIF4E","postsynaptic cytosol"
"EIF4E","glutamatergic synapse"
"EIF4E","cellular response to dexamethasone stimulus"
"EIF4E","repressing transcription factor binding"
"EIF4E","extracellular exosome"
"EIF4E","perinuclear region of cytoplasm"
"EIF4E","positive regulation of mitotic cell cycle"
"EIF4E","negative regulation of neuron differentiation"
"EIF4E","cytoplasmic ribonucleoprotein granule"
"EIF4E","chromatoid body"
"EIF4E","eukaryotic initiation factor 4G binding"
"EIF4E","lung development"
"EIF4E","enzyme binding"
"EIF4E","stem cell population maintenance"
"EIF4E","negative regulation of translation"
"EIF4E","RISC complex"
"EIF4E","eukaryotic translation initiation factor 4F complex"
"EIF4E","viral process"
"EIF4E","negative regulation of autophagy"
"EIF4E","cytoplasmic stress granule"
"EIF4E","regulation of translation"
"EIF4E","translational initiation"
"EIF4E","mRNA export from nucleus"
"EIF4E","RNA export from nucleus"
"EIF4E","mRNA cap binding complex"
"EIF4E","cytosol"
"EIF4E","cytoplasm"
"EIF4E","protein binding"
"EIF4E","translation initiation factor activity"
"EIF4E","RNA binding"
"EIF4E","behavioral fear response"
"EIF4E","P-body"
"EIF4E","RNA 7-methylguanosine cap binding"
"EIF4E","RNA cap binding"
"EIF4E","G1/S transition of mitotic cell cycle"
"CDK9","positive regulation of histone H2B ubiquitination"
"CDK9","positive regulation of mRNA 3'-UTR binding"
"CDK9","negative regulation of mRNA polyadenylation"
"CDK9","7SK snRNA binding"
"CDK9","cellular response to cytokine stimulus"
"CDK9","negative regulation of cell cycle arrest"
"CDK9","phosphorylation of RNA polymerase II C-terminal domain"
"CDK9","regulation of muscle cell differentiation"
"CDK9","positive regulation of viral transcription"
"CDK9","positive regulation of transcription by RNA polymerase II"
"CDK9","transcription regulatory region DNA binding"
"CDK9","snRNA transcription by RNA polymerase II"
"CDK9","response to drug"
"CDK9","cytoplasmic ribonucleoprotein granule"
"CDK9","positive regulation of histone phosphorylation"
"CDK9","positive regulation of transcription elongation from RNA polymerase II promoter"
"CDK9","replication fork processing"
"CDK9","regulation of histone modification"
"CDK9","cyclin binding"
"CDK9","protein kinase binding"
"CDK9","PML body"
"CDK9","kinase activity"
"CDK9","membrane"
"CDK9","positive regulation of cardiac muscle hypertrophy"
"CDK9","RNA polymerase II CTD heptapeptide repeat kinase activity"
"CDK9","cell population proliferation"
"CDK9","transcription factor binding"
"CDK9","cyclin/CDK positive transcription elongation factor complex"
"CDK9","transcription elongation factor complex"
"CDK9","regulation of mitotic cell cycle"
"CDK9","protein phosphorylation"
"CDK9","transcription elongation from RNA polymerase II promoter"
"CDK9","transcription initiation from RNA polymerase II promoter"
"CDK9","transcription by RNA polymerase II"
"CDK9","regulation of DNA repair"
"CDK9","DNA repair"
"CDK9","chromosome"
"CDK9","nucleoplasm"
"CDK9","nucleus"
"CDK9","ATP binding"
"CDK9","protein binding"
"CDK9","cyclin-dependent protein serine/threonine kinase activity"
"CDK9","protein serine/threonine kinase activity"
"CDK9","protein kinase activity"
"CDK9","chromatin binding"
"CDK9","DNA binding"
"CDK9","transcription coactivator binding"
"CDK9","RNA polymerase II cis-regulatory region sequence-specific DNA binding"
"CDK9","nuclear chromatin"
"CDK9","cyclin-dependent protein kinase holoenzyme complex"
"CDK9","EIF4E"
"MAPT","regulation of response to DNA damage stimulus"
"MAPT","cellular response to brain-derived neurotrophic factor stimulus"
"MAPT","cellular response to nerve growth factor stimulus"
"MAPT","amyloid fibril formation"
"MAPT","positive regulation of diacylglycerol kinase activity"
"MAPT","negative regulation of tubulin deacetylation"
"MAPT","axon cytoplasm"
"MAPT","positive regulation of cellular protein localization"
"MAPT","negative regulation of establishment of protein localization to mitochondrion"
"MAPT","neurofibrillary tangle assembly"
"MAPT","phosphatidylinositol bisphosphate binding"
"MAPT","positive regulation of protein localization to synapse"
"MAPT","positive regulation of neuron death"
"MAPT","regulation of long-term synaptic depression"
"MAPT","regulation of cellular response to heat"
"MAPT","microtubule lateral binding"
"MAPT","histone-dependent DNA binding"
"MAPT","axonal transport"
"MAPT","supramolecular fiber organization"
"MAPT","neurofibrillary tangle"
"MAPT","glial cell projection"
"MAPT","negative regulation of mitochondrial fission"
"MAPT","regulation of mitochondrial fission"
"MAPT","plus-end-directed organelle transport along microtubule"
"MAPT","lipoprotein particle binding"
"MAPT","regulation of microtubule cytoskeleton organization"
"MAPT","axon development"
"MAPT","Hsp90 protein binding"
"MAPT","protein phosphatase 2A binding"
"MAPT","protein polymerization"
"MAPT","chaperone binding"
"MAPT","regulation of calcium-mediated signaling"
"MAPT","synapse organization"
"MAPT","generation of neurons"
"MAPT","intracellular distribution of mitochondria"
"MAPT","regulation of synaptic plasticity"
"MAPT","astrocyte activation"
"MAPT","microtubule polymerization"
"MAPT","positive regulation of axon extension"
"MAPT","tubulin complex"
"MAPT","membrane raft"
"MAPT","main axon"
"MAPT","cell body"
"MAPT","sequence-specific DNA binding"
"MAPT","dendritic spine"
"MAPT","neuronal cell body"
"MAPT","neuron projection"
"MAPT","identical protein binding"
"MAPT","somatodendritic compartment"
"MAPT","cytoplasmic ribonucleoprotein granule"
"MAPT","phosphatidylinositol binding"
"MAPT","cellular response to reactive oxygen species"
"MAPT","cellular response to heat"
"MAPT","dynactin binding"
"MAPT","nuclear periphery"
"MAPT","apolipoprotein binding"
"MAPT","stress granule assembly"
"MAPT","negative regulation of kinase activity"
"MAPT","regulation of chromosome organization"
"MAPT","positive regulation of superoxide anion generation"
"MAPT","neuron projection development"
"MAPT","cytoplasmic microtubule organization"
"MAPT","positive regulation of microtubule polymerization"
"MAPT","regulation of microtubule polymerization"
"MAPT","regulation of microtubule polymerization or depolymerization"
"MAPT","protein-macromolecule adaptor activity"
"MAPT","axolemma"
"MAPT","growth cone"
"MAPT","dendrite"
"MAPT","axon"
"MAPT","central nervous system neuron development"
"MAPT","protein kinase binding"
"MAPT","enzyme binding"
"MAPT","axonal transport of mitochondrion"
"MAPT","SH3 domain binding"
"MAPT","nuclear speck"
"MAPT","rRNA metabolic process"
"MAPT","membrane"
"MAPT","microtubule cytoskeleton"
"MAPT","negative regulation of mitochondrial membrane potential"
"MAPT","negative regulation of gene expression"
"MAPT","regulation of autophagy"
"MAPT","response to lead ion"
"MAPT","microtubule binding"
"MAPT","memory"
"MAPT","cell-cell signaling"
"MAPT","activation of cysteine-type endopeptidase activity involved in apoptotic process"
"MAPT","internal protein amino acid acetylation"
"MAPT","plasma membrane"
"MAPT","microtubule"
"MAPT","cytosol"
"MAPT","mitochondrion"
"MAPT","cytoplasm"
"MAPT","nucleus"
"MAPT","cell"
"MAPT","extracellular region"
"MAPT","protein binding"
"MAPT","actin binding"
"MAPT","RNA binding"
